Year,iso_code3,ef_lndu_conv_forests_primary_to_grasslands_gg_co2_ha
2020,AFG,0.124776
2021,AFG,0.124776
2022,AFG,0.124776
2023,AFG,0.124776
2024,AFG,0.124776
2025,AFG,0.124776
2026,AFG,0.124776
2027,AFG,0.124776
2028,AFG,0.124776
2029,AFG,0.124776
2030,AFG,0.124776
2031,AFG,0.124776
2032,AFG,0.124776
2033,AFG,0.124776
2034,AFG,0.124776
2035,AFG,0.124776
2036,AFG,0.124776
2037,AFG,0.124776
2038,AFG,0.124776
2039,AFG,0.124776
2040,AFG,0.124776
2041,AFG,0.124776
2042,AFG,0.124776
2043,AFG,0.124776
2044,AFG,0.124776
2045,AFG,0.124776
2046,AFG,0.124776
2047,AFG,0.124776
2048,AFG,0.124776
2049,AFG,0.124776
2050,AFG,0.124776
2020,AGO,0.081736
2021,AGO,0.081736
2022,AGO,0.081736
2023,AGO,0.081736
2024,AGO,0.081736
2025,AGO,0.081736
2026,AGO,0.081736
2027,AGO,0.081736
2028,AGO,0.081736
2029,AGO,0.081736
2030,AGO,0.081736
2031,AGO,0.081736
2032,AGO,0.081736
2033,AGO,0.081736
2034,AGO,0.081736
2035,AGO,0.081736
2036,AGO,0.081736
2037,AGO,0.081736
2038,AGO,0.081736
2039,AGO,0.081736
2040,AGO,0.081736
2041,AGO,0.081736
2042,AGO,0.081736
2043,AGO,0.081736
2044,AGO,0.081736
2045,AGO,0.081736
2046,AGO,0.081736
2047,AGO,0.081736
2048,AGO,0.081736
2049,AGO,0.081736
2050,AGO,0.081736
2020,ALB,0.232323
2021,ALB,0.232323
2022,ALB,0.232323
2023,ALB,0.232323
2024,ALB,0.232323
2025,ALB,0.232323
2026,ALB,0.232323
2027,ALB,0.232323
2028,ALB,0.232323
2029,ALB,0.232323
2030,ALB,0.232323
2031,ALB,0.232323
2032,ALB,0.232323
2033,ALB,0.232323
2034,ALB,0.232323
2035,ALB,0.232323
2036,ALB,0.232323
2037,ALB,0.232323
2038,ALB,0.232323
2039,ALB,0.232323
2040,ALB,0.232323
2041,ALB,0.232323
2042,ALB,0.232323
2043,ALB,0.232323
2044,ALB,0.232323
2045,ALB,0.232323
2046,ALB,0.232323
2047,ALB,0.232323
2048,ALB,0.232323
2049,ALB,0.232323
2050,ALB,0.232323
2020,ARG,0.141721
2021,ARG,0.141721
2022,ARG,0.141721
2023,ARG,0.141721
2024,ARG,0.141721
2025,ARG,0.141721
2026,ARG,0.141721
2027,ARG,0.141721
2028,ARG,0.141721
2029,ARG,0.141721
2030,ARG,0.141721
2031,ARG,0.141721
2032,ARG,0.141721
2033,ARG,0.141721
2034,ARG,0.141721
2035,ARG,0.141721
2036,ARG,0.141721
2037,ARG,0.141721
2038,ARG,0.141721
2039,ARG,0.141721
2040,ARG,0.141721
2041,ARG,0.141721
2042,ARG,0.141721
2043,ARG,0.141721
2044,ARG,0.141721
2045,ARG,0.141721
2046,ARG,0.141721
2047,ARG,0.141721
2048,ARG,0.141721
2049,ARG,0.141721
2050,ARG,0.141721
2020,AUS,0.600182
2021,AUS,0.600182
2022,AUS,0.600182
2023,AUS,0.600182
2024,AUS,0.600182
2025,AUS,0.600182
2026,AUS,0.600182
2027,AUS,0.600182
2028,AUS,0.600182
2029,AUS,0.600182
2030,AUS,0.600182
2031,AUS,0.600182
2032,AUS,0.600182
2033,AUS,0.600182
2034,AUS,0.600182
2035,AUS,0.600182
2036,AUS,0.600182
2037,AUS,0.600182
2038,AUS,0.600182
2039,AUS,0.600182
2040,AUS,0.600182
2041,AUS,0.600182
2042,AUS,0.600182
2043,AUS,0.600182
2044,AUS,0.600182
2045,AUS,0.600182
2046,AUS,0.600182
2047,AUS,0.600182
2048,AUS,0.600182
2049,AUS,0.600182
2050,AUS,0.600182
2020,AUT,0.258611
2021,AUT,0.258611
2022,AUT,0.258611
2023,AUT,0.258611
2024,AUT,0.258611
2025,AUT,0.258611
2026,AUT,0.258611
2027,AUT,0.258611
2028,AUT,0.258611
2029,AUT,0.258611
2030,AUT,0.258611
2031,AUT,0.258611
2032,AUT,0.258611
2033,AUT,0.258611
2034,AUT,0.258611
2035,AUT,0.258611
2036,AUT,0.258611
2037,AUT,0.258611
2038,AUT,0.258611
2039,AUT,0.258611
2040,AUT,0.258611
2041,AUT,0.258611
2042,AUT,0.258611
2043,AUT,0.258611
2044,AUT,0.258611
2045,AUT,0.258611
2046,AUT,0.258611
2047,AUT,0.258611
2048,AUT,0.258611
2049,AUT,0.258611
2050,AUT,0.258611
2020,AZE,0.413607
2021,AZE,0.413607
2022,AZE,0.413607
2023,AZE,0.413607
2024,AZE,0.413607
2025,AZE,0.413607
2026,AZE,0.413607
2027,AZE,0.413607
2028,AZE,0.413607
2029,AZE,0.413607
2030,AZE,0.413607
2031,AZE,0.413607
2032,AZE,0.413607
2033,AZE,0.413607
2034,AZE,0.413607
2035,AZE,0.413607
2036,AZE,0.413607
2037,AZE,0.413607
2038,AZE,0.413607
2039,AZE,0.413607
2040,AZE,0.413607
2041,AZE,0.413607
2042,AZE,0.413607
2043,AZE,0.413607
2044,AZE,0.413607
2045,AZE,0.413607
2046,AZE,0.413607
2047,AZE,0.413607
2048,AZE,0.413607
2049,AZE,0.413607
2050,AZE,0.413607
2020,BDI,0.0753
2021,BDI,0.0753
2022,BDI,0.0753
2023,BDI,0.0753
2024,BDI,0.0753
2025,BDI,0.0753
2026,BDI,0.0753
2027,BDI,0.0753
2028,BDI,0.0753
2029,BDI,0.0753
2030,BDI,0.0753
