Year,iso_code3,frac_lndu_initial_other
1992,ABW,0.06052085847728138
1993,ABW,0.061728544608861124
1994,ABW,0.06083506913766858
1995,ABW,0.06045560379868231
1996,ABW,0.059826048650149385
1997,ABW,0.06006770711346872
1998,ABW,0.0603427128547329
1999,ABW,0.06153350166197824
2000,ABW,0.06026125660302202
2001,ABW,0.060362376292562636
2002,ABW,0.06011093883895897
2003,ABW,0.06085697873323218
2004,ABW,0.06021289764981894
2005,ABW,0.061010429181357545
2006,ABW,0.06337343840275016
2007,ABW,0.06284921543184868
2008,ABW,0.06237177475269323
2009,ABW,0.061118686568286514
2010,ABW,0.06218936821234529
2011,ABW,0.06093804348676531
2012,ABW,0.062292676383031494
2013,ABW,0.061923664670944546
2014,ABW,0.06262388527851455
2019,ABW,0.06389253102825865
2020,ABW,0.0653392868177892
2021,ABW,0.0653392868177892
2022,ABW,0.0653392868177892
2023,ABW,0.0653392868177892
2024,ABW,0.0653392868177892
2025,ABW,0.0653392868177892
2026,ABW,0.0653392868177892
2027,ABW,0.0653392868177892
2028,ABW,0.0653392868177892
2029,ABW,0.0653392868177892
2030,ABW,0.0653392868177892
2031,ABW,0.0653392868177892
2032,ABW,0.0653392868177892
2033,ABW,0.0653392868177892
2034,ABW,0.0653392868177892
2035,ABW,0.0653392868177892
2036,ABW,0.0653392868177892
2037,ABW,0.0653392868177892
2038,ABW,0.0653392868177892
2039,ABW,0.0653392868177892
2040,ABW,0.0653392868177892
2041,ABW,0.0653392868177892
2042,ABW,0.0653392868177892
2043,ABW,0.0653392868177892
2044,ABW,0.0653392868177892
2045,ABW,0.0653392868177892
2046,ABW,0.0653392868177892
2047,ABW,0.0653392868177892
2048,ABW,0.0653392868177892
2049,ABW,0.0653392868177892
2050,ABW,0.0653392868177892
1992,AFG,0.46424040261489674
1993,AFG,0.4573504483474787
1994,AFG,0.45563092737066174
1995,AFG,0.45794519379978554
1996,AFG,0.45778756193550313
1997,AFG,0.4576770225865896
1998,AFG,0.45673925911430646
1999,AFG,0.4591867303247414
2000,AFG,0.46205736324936136
2001,AFG,0.4694066263034914
2002,AFG,0.46587390253072886
2003,AFG,0.45299025628660505
2004,AFG,0.4565496746009288
2005,AFG,0.44957238857637666
2006,AFG,0.45026968021835295
2007,AFG,0.44833731195563026
2008,AFG,0.45212523454670983
2009,AFG,0.44477399404369306
2010,AFG,0.44786858618186914
2011,AFG,0.45035926690742395
2012,AFG,0.4457223471359729
2013,AFG,0.44524126061496694
2014,AFG,0.4426478678420711
2019,AFG,0.45044189278564
2020,AFG,0.44406943315074227
2021,AFG,0.44406943315074227
2022,AFG,0.44406943315074227
2023,AFG,0.44406943315074227
2024,AFG,0.44406943315074227
2025,AFG,0.44406943315074227
