Year,Nation,iso_code3,pij_lndu_croplands_to_forests_secondary
2021,Afghanistan,AFG,0.0
2022,Afghanistan,AFG,0.0
2023,Afghanistan,AFG,0.0
2024,Afghanistan,AFG,0.0
2025,Afghanistan,AFG,0.0
2026,Afghanistan,AFG,0.0
2027,Afghanistan,AFG,0.0
2028,Afghanistan,AFG,0.0
2029,Afghanistan,AFG,0.0
2030,Afghanistan,AFG,0.0
2031,Afghanistan,AFG,0.0
2032,Afghanistan,AFG,0.0
2033,Afghanistan,AFG,0.0
2034,Afghanistan,AFG,0.0
2035,Afghanistan,AFG,0.0
2036,Afghanistan,AFG,0.0
2037,Afghanistan,AFG,0.0
2038,Afghanistan,AFG,0.0
2039,Afghanistan,AFG,0.0
2040,Afghanistan,AFG,0.0
2041,Afghanistan,AFG,0.0
2042,Afghanistan,AFG,0.0
2043,Afghanistan,AFG,0.0
2044,Afghanistan,AFG,0.0
2045,Afghanistan,AFG,0.0
2046,Afghanistan,AFG,0.0
2047,Afghanistan,AFG,0.0
2048,Afghanistan,AFG,0.0
2049,Afghanistan,AFG,0.0
2050,Afghanistan,AFG,0.0
2021,Algeria,DZA,0.002454831847810166
2022,Algeria,DZA,0.0030294773097626826
2023,Algeria,DZA,0.003604122771715199
2024,Algeria,DZA,0.004178768233667716
2025,Algeria,DZA,0.004753413695620232
2026,Algeria,DZA,0.0053280591575727496
2027,Algeria,DZA,0.005902704619525265
2028,Algeria,DZA,0.006477350081477782
2029,Algeria,DZA,0.007051995543430298
2030,Algeria,DZA,0.007626641005382816
2031,Algeria,DZA,0.00820128646733533
2032,Algeria,DZA,0.008775931929287849
2033,Algeria,DZA,0.009350577391240364
2034,Algeria,DZA,0.009925222853192882
2035,Algeria,DZA,0.010499868315145398
2036,Algeria,DZA,0.011074513777097915
2037,Algeria,DZA,0.011649159239050431
2038,Algeria,DZA,0.012223804701002948
2039,Algeria,DZA,0.012798450162955465
2040,Algeria,DZA,0.01337309562490798
2041,Algeria,DZA,0.013947741086860498
2042,Algeria,DZA,0.014522386548813012
2043,Algeria,DZA,0.01509703201076553
2044,Algeria,DZA,0.015671677472718047
2045,Algeria,DZA,0.016246322934670564
2046,Algeria,DZA,0.01682096839662308
2047,Algeria,DZA,0.017395613858575597
2048,Algeria,DZA,0.017970259320528113
2049,Algeria,DZA,0.01854490478248063
2050,Algeria,DZA,0.019119550244433143
2021,Andorra,AND,0.0
2022,Andorra,AND,0.0
2023,Andorra,AND,0.0
2024,Andorra,AND,0.0
2025,Andorra,AND,0.0
2026,Andorra,AND,0.0
2027,Andorra,AND,0.0
2028,Andorra,AND,0.0
2029,Andorra,AND,0.0
2030,Andorra,AND,0.0
2031,Andorra,AND,0.0
2032,Andorra,AND,0.0
2033,Andorra,AND,0.0
