Year,iso_code3,pij_lndu_forests_mangroves_to_forests_mangroves
2019,AFG,0.9903844962269428
2020,AFG,0.990422443311378
2021,AFG,0.990422443311378
2022,AFG,0.990422443311378
2023,AFG,0.990422443311378
2024,AFG,0.990422443311378
2025,AFG,0.990422443311378
2026,AFG,0.990422443311378
2027,AFG,0.990422443311378
2028,AFG,0.990422443311378
2029,AFG,0.990422443311378
2030,AFG,0.990422443311378
2031,AFG,0.990422443311378
2032,AFG,0.990422443311378
2033,AFG,0.990422443311378
2034,AFG,0.990422443311378
2035,AFG,0.990422443311378
2036,AFG,0.990422443311378
2037,AFG,0.990422443311378
2038,AFG,0.990422443311378
2039,AFG,0.990422443311378
2040,AFG,0.990422443311378
2041,AFG,0.990422443311378
2042,AFG,0.990422443311378
2043,AFG,0.990422443311378
2044,AFG,0.990422443311378
2045,AFG,0.990422443311378
2046,AFG,0.990422443311378
2047,AFG,0.990422443311378
2048,AFG,0.990422443311378
2049,AFG,0.990422443311378
2050,AFG,0.990422443311378
2019,AGO,0.9915284601485832
2020,AGO,0.9916162936136964
2021,AGO,0.9916162936136964
2022,AGO,0.9916162936136964
2023,AGO,0.9916162936136964
2024,AGO,0.9916162936136964
2025,AGO,0.9916162936136964
2026,AGO,0.9916162936136964
2027,AGO,0.9916162936136964
2028,AGO,0.9916162936136964
2029,AGO,0.9916162936136964
2030,AGO,0.9916162936136964
2031,AGO,0.9916162936136964
2032,AGO,0.9916162936136964
2033,AGO,0.9916162936136964
2034,AGO,0.9916162936136964
2035,AGO,0.9916162936136964
2036,AGO,0.9916162936136964
2037,AGO,0.9916162936136964
2038,AGO,0.9916162936136964
2039,AGO,0.9916162936136964
2040,AGO,0.9916162936136964
2041,AGO,0.9916162936136964
2042,AGO,0.9916162936136964
2043,AGO,0.9916162936136964
2044,AGO,0.9916162936136964
2045,AGO,0.9916162936136964
2046,AGO,0.9916162936136964
2047,AGO,0.9916162936136964
2048,AGO,0.9916162936136964
2049,AGO,0.9916162936136964
2050,AGO,0.9916162936136964
2019,ALB,0.9903585926808632
2020,ALB,0.9903923222356548
2021,ALB,0.9903923222356548
2022,ALB,0.9903923222356548
2023,ALB,0.9903923222356548
2024,ALB,0.9903923222356548
2025,ALB,0.9903923222356548
2026,ALB,0.9903923222356548
2027,ALB,0.9903923222356548
2028,ALB,0.9903923222356548
2029,ALB,0.9903923222356548
2030,ALB,0.9903923222356548
2031,ALB,0.9903923222356548
2032,ALB,0.9903923222356548
2033,ALB,0.9903923222356548
2034,ALB,0.9903923222356548
2035,ALB,0.9903923222356548
2036,ALB,0.9903923222356548
2037,ALB,0.9903923222356548
2038,ALB,0.9903923222356548
2039,ALB,0.9903923222356548
2040,ALB,0.9903923222356548
2041,ALB,0.9903923222356548
2042,ALB,0.9903923222356548
2043,ALB,0.9903923222356548
2044,ALB,0.9903923222356548
2045,ALB,0.9903923222356548
2046,ALB,0.9903923222356548
2047,ALB,0.9903923222356548
2048,ALB,0.9903923222356548
2049,ALB,0.9903923222356548
2050,ALB,0.9903923222356548
2019,ARG,0.990355833899949
2020,ARG,0.9903921510218672
2021,ARG,0.9903921510218672
2022,ARG,0.9903921510218672
2023,ARG,0.9903921510218672
2024,ARG,0.9903921510218672
2025,ARG,0.9903921510218672
2026,ARG,0.9903921510218672
2027,ARG,0.9903921510218672
2028,ARG,0.9903921510218672
2029,ARG,0.9903921510218672
2030,ARG,0.9903921510218672
2031,ARG,0.9903921510218672
2032,ARG,0.9903921510218672
2033,ARG,0.9903921510218672
2034,ARG,0.9903921510218672
2035,ARG,0.9903921510218672
2036,ARG,0.9903921510218672
2037,ARG,0.9903921510218672
2038,ARG,0.9903921510218672
