Year,iso_code3,pij_lndu_forests_mangroves_to_forests_secondary
2019,AFG,0.001369490202668
2020,AFG,0.0013640313669536
2021,AFG,0.0013640313669536
2022,AFG,0.0013640313669536
2023,AFG,0.0013640313669536
2024,AFG,0.0013640313669536
2025,AFG,0.0013640313669536
2026,AFG,0.0013640313669536
2027,AFG,0.0013640313669536
2028,AFG,0.0013640313669536
2029,AFG,0.0013640313669536
2030,AFG,0.0013640313669536
2031,AFG,0.0013640313669536
2032,AFG,0.0013640313669536
2033,AFG,0.0013640313669536
2034,AFG,0.0013640313669536
2035,AFG,0.0013640313669536
2036,AFG,0.0013640313669536
2037,AFG,0.0013640313669536
2038,AFG,0.0013640313669536
2039,AFG,0.0013640313669536
2040,AFG,0.0013640313669536
2041,AFG,0.0013640313669536
2042,AFG,0.0013640313669536
2043,AFG,0.0013640313669536
2044,AFG,0.0013640313669536
2045,AFG,0.0013640313669536
2046,AFG,0.0013640313669536
2047,AFG,0.0013640313669536
2048,AFG,0.0013640313669536
2049,AFG,0.0013640313669536
2050,AFG,0.0013640313669536
2019,AGO,0.0015892813369973
2020,AGO,0.0016790438887927
2021,AGO,0.0016790438887927
2022,AGO,0.0016790438887927
2023,AGO,0.0016790438887927
2024,AGO,0.0016790438887927
2025,AGO,0.0016790438887927
2026,AGO,0.0016790438887927
2027,AGO,0.0016790438887927
2028,AGO,0.0016790438887927
2029,AGO,0.0016790438887927
2030,AGO,0.0016790438887927
2031,AGO,0.0016790438887927
2032,AGO,0.0016790438887927
2033,AGO,0.0016790438887927
2034,AGO,0.0016790438887927
2035,AGO,0.0016790438887927
2036,AGO,0.0016790438887927
2037,AGO,0.0016790438887927
2038,AGO,0.0016790438887927
2039,AGO,0.0016790438887927
2040,AGO,0.0016790438887927
2041,AGO,0.0016790438887927
2042,AGO,0.0016790438887927
2043,AGO,0.0016790438887927
2044,AGO,0.0016790438887927
2045,AGO,0.0016790438887927
2046,AGO,0.0016790438887927
2047,AGO,0.0016790438887927
2048,AGO,0.0016790438887927
2049,AGO,0.0016790438887927
2050,AGO,0.0016790438887927
2019,ALB,0.0013700817732502
2020,ALB,0.0013670135145772
2021,ALB,0.0013670135145772
2022,ALB,0.0013670135145772
2023,ALB,0.0013670135145772
2024,ALB,0.0013670135145772
2025,ALB,0.0013670135145772
2026,ALB,0.0013670135145772
2027,ALB,0.0013670135145772
2028,ALB,0.0013670135145772
2029,ALB,0.0013670135145772
2030,ALB,0.0013670135145772
2031,ALB,0.0013670135145772
2032,ALB,0.0013670135145772
2033,ALB,0.0013670135145772
2034,ALB,0.0013670135145772
2035,ALB,0.0013670135145772
2036,ALB,0.0013670135145772
2037,ALB,0.0013670135145772
2038,ALB,0.0013670135145772
2039,ALB,0.0013670135145772
2040,ALB,0.0013670135145772
2041,ALB,0.0013670135145772
2042,ALB,0.0013670135145772
2043,ALB,0.0013670135145772
2044,ALB,0.0013670135145772
2045,ALB,0.0013670135145772
2046,ALB,0.0013670135145772
2047,ALB,0.0013670135145772
2048,ALB,0.0013670135145772
2049,ALB,0.0013670135145772
2050,ALB,0.0013670135145772
2019,ARG,0.0013703432358498
2020,ARG,0.0013658053105227
2021,ARG,0.0013658053105227
2022,ARG,0.0013658053105227
2023,ARG,0.0013658053105227
2024,ARG,0.0013658053105227
2025,ARG,0.0013658053105227
2026,ARG,0.0013658053105227
2027,ARG,0.0013658053105227
2028,ARG,0.0013658053105227
2029,ARG,0.0013658053105227
2030,ARG,0.0013658053105227
2031,ARG,0.0013658053105227
2032,ARG,0.0013658053105227
2033,ARG,0.0013658053105227
2034,ARG,0.0013658053105227
2035,ARG,0.0013658053105227
2036,ARG,0.0013658053105227
2037,ARG,0.0013658053105227
2038,ARG,0.0013658053105227
2039,ARG,0.0013658053105227
2040,ARG,0.0013658053105227
2041,ARG,0.0013658053105227
2042,ARG,0.0013658053105227
2043,ARG,0.0013658053105227
2044,ARG,0.0013658053105227
2045,ARG,0.0013658053105227
2046,ARG,0.0013658053105227
2047,ARG,0.0013658053105227
2048,ARG,0.0013658053105227
2049,ARG,0.0013658053105227
2050,ARG,0.0013658053105227
2019,ATG,0.0
2020,ATG,0.0
2021,ATG,0.0
2022,ATG,0.0
2023,ATG,0.0
2024,ATG,0.0
2025,ATG,0.0
2026,ATG,0.0
2027,ATG,0.0
2028,ATG,0.0
2029,ATG,0.0
2030,ATG,0.0
2031,ATG,0.0
2032,ATG,0.0
2033,ATG,0.0
2034,ATG,0.0
2035,ATG,0.0
2036,ATG,0.0
2037,ATG,0.0
2038,ATG,0.0
2039,ATG,0.0
2040,ATG,0.0
2041,ATG,0.0
2042,ATG,0.0
2043,ATG,0.0
2044,ATG,0.0
2045,ATG,0.0
2046,ATG,0.0
2047,ATG,0.0
2048,ATG,0.0
2049,ATG,0.0
2050,ATG,0.0
2019,AUS,0.0051290630120269
2020,AUS,0.0023624759766102
2021,AUS,0.0023624759766102
2022,AUS,0.0023624759766102
2023,AUS,0.0023624759766102
2024,AUS,0.0023624759766102
2025,AUS,0.0023624759766102
2026,AUS,0.0023624759766102
2027,AUS,0.0023624759766102
2028,AUS,0.0023624759766102
2029,AUS,0.0023624759766102
2030,AUS,0.0023624759766102
2031,AUS,0.0023624759766102
2032,AUS,0.0023624759766102
2033,AUS,0.0023624759766102
2034,AUS,0.0023624759766102
2035,AUS,0.0023624759766102
2036,AUS,0.0023624759766102
2037,AUS,0.0023624759766102
2038,AUS,0.0023624759766102
2039,AUS,0.0023624759766102
2040,AUS,0.0023624759766102
2041,AUS,0.0023624759766102
2042,AUS,0.0023624759766102
2043,AUS,0.0023624759766102
2044,AUS,0.0023624759766102
2045,AUS,0.0023624759766102
2046,AUS,0.0023624759766102
2047,AUS,0.0023624759766102
2048,AUS,0.0023624759766102
2049,AUS,0.0023624759766102
2050,AUS,0.0023624759766102
2019,AUT,0.0013702280962231
2020,AUT,0.0013631505251771
2021,AUT,0.0013631505251771
2022,AUT,0.0013631505251771
2023,AUT,0.0013631505251771
2024,AUT,0.0013631505251771
2025,AUT,0.0013631505251771
2026,AUT,0.0013631505251771
2027,AUT,0.0013631505251771
2028,AUT,0.0013631505251771
2029,AUT,0.0013631505251771
2030,AUT,0.0013631505251771
2031,AUT,0.0013631505251771
2032,AUT,0.0013631505251771
2033,AUT,0.0013631505251771
2034,AUT,0.0013631505251771
2035,AUT,0.0013631505251771
2036,AUT,0.0013631505251771
2037,AUT,0.0013631505251771
2038,AUT,0.0013631505251771
2039,AUT,0.0013631505251771
2040,AUT,0.0013631505251771
2041,AUT,0.0013631505251771
2042,AUT,0.0013631505251771
2043,AUT,0.0013631505251771
2044,AUT,0.0013631505251771
2045,AUT,0.0013631505251771
2046,AUT,0.0013631505251771
2047,AUT,0.0013631505251771
2048,AUT,0.0013631505251771
2049,AUT,0.0013631505251771
2050,AUT,0.0013631505251771
2019,AZE,0.0013701257898824
2020,AZE,0.0013616744391415
2021,AZE,0.0013616744391415
2022,AZE,0.0013616744391415
2023,AZE,0.0013616744391415
2024,AZE,0.0013616744391415
2025,AZE,0.0013616744391415
2026,AZE,0.0013616744391415
2027,AZE,0.0013616744391415
2028,AZE,0.0013616744391415
2029,AZE,0.0013616744391415
2030,AZE,0.0013616744391415
2031,AZE,0.0013616744391415
2032,AZE,0.0013616744391415
2033,AZE,0.0013616744391415
2034,AZE,0.0013616744391415
2035,AZE,0.0013616744391415
2036,AZE,0.0013616744391415
2037,AZE,0.0013616744391415
2038,AZE,0.0013616744391415
2039,AZE,0.0013616744391415
2040,AZE,0.0013616744391415
2041,AZE,0.0013616744391415
2042,AZE,0.0013616744391415
2043,AZE,0.0013616744391415
2044,AZE,0.0013616744391415
2045,AZE,0.0013616744391415
2046,AZE,0.0013616744391415
2047,AZE,0.0013616744391415
2048,AZE,0.0013616744391415
2049,AZE,0.0013616744391415
2050,AZE,0.0013616744391415
2019,BDI,0.0013696060295817
2020,BDI,0.0013669921489612
2021,BDI,0.0013669921489612
2022,BDI,0.0013669921489612
2023,BDI,0.0013669921489612
2024,BDI,0.0013669921489612
2025,BDI,0.0013669921489612
2026,BDI,0.0013669921489612
2027,BDI,0.0013669921489612
2028,BDI,0.0013669921489612
2029,BDI,0.0013669921489612
2030,BDI,0.0013669921489612
2031,BDI,0.0013669921489612
2032,BDI,0.0013669921489612
2033,BDI,0.0013669921489612
2034,BDI,0.0013669921489612
2035,BDI,0.0013669921489612
2036,BDI,0.0013669921489612
2037,BDI,0.0013669921489612
2038,BDI,0.0013669921489612
2039,BDI,0.0013669921489612
2040,BDI,0.0013669921489612
2041,BDI,0.0013669921489612
2042,BDI,0.0013669921489612
2043,BDI,0.0013669921489612
2044,BDI,0.0013669921489612
2045,BDI,0.0013669921489612
2046,BDI,0.0013669921489612
2047,BDI,0.0013669921489612
2048,BDI,0.0013669921489612
2049,BDI,0.0013669921489612
2050,BDI,0.0013669921489612
2019,BEL,0.0013695523718559
2020,BEL,0.0013651834315769
2021,BEL,0.0013651834315769
2022,BEL,0.0013651834315769
