Year,iso_code3,pij_lndu_forests_primary_to_forests_primary
2015,AFG,0.5092058391757361
2016,AFG,0.5082008466910058
2017,AFG,0.5093472448341619
2018,AFG,0.4994867101406398
2015,AGO,0.9900015311605648
2016,AGO,0.9918666805373588
2017,AGO,0.9916211225654038
2018,AGO,0.9917091088880609
2015,ALB,0.9989559576723912
2016,ALB,0.9987576306921044
2017,ALB,0.9984723973616868
2018,ALB,0.9983658614942994
2015,ARG,0.9948325085032232
2016,ARG,0.9947097553041868
2017,ARG,0.9948964873954104
2018,ARG,0.9948951038307704
2015,ATG,0.500446294976418
2016,ATG,0.4995472207430833
2017,ATG,0.5005731965085707
2018,ATG,0.500504124939787
2015,AUS,0.990000719901062
2016,AUS,0.9900023198319636
2017,AUS,0.9900014719810588
2018,AUS,0.9931033043384064
2015,AUT,0.99956654507266
2016,AUT,0.5082082953626545
2017,AUT,0.9932337431226298
2018,AUT,0.998555902183724
2015,AZE,0.9924195945774272
2016,AZE,0.9900039371144308
2017,AZE,0.5093546407439592
2018,AZE,0.9900001382754228
2015,BDI,0.9999894661690883
2016,BDI,0.5082116195861085
2017,BDI,0.990001464618368
2018,BDI,0.5092919580293526
2015,BEL,0.990000066747122
2016,BEL,0.9999843955214368
2017,BEL,0.999989580670408
2018,BEL,0.9914096719623448
2015,BEN,0.9933776451853156
2016,BEN,0.508205886418982
2017,BEN,0.9922490443492064
2018,BEN,0.5092926011413963
2015,BFA,0.5092240155860529
2016,BFA,0.5082063709105821
2017,BFA,0.5093545321182529
2018,BFA,0.5092914924232336
2015,BGD,0.9984543873215848
2016,BGD,0.9900133638730604
2017,BGD,0.999572032635836
2018,BGD,0.9991342076064283
2015,BGR,0.9998278460454922
2016,BGR,0.9999721022997398
2017,BGR,0.9900000267970605
2018,BGR,0.5092925238546645
2015,BHS,0.9943619392245756
2016,BHS,0.9999660550444204
2017,BHS,0.9954749886205296
2018,BHS,0.999214269591273
2015,BIH,0.9999897443940712
2016,BIH,0.9999783498246436
2017,BIH,0.996480251554441
2018,BIH,0.5092914530569133
2015,BLR,0.999990798669172
2016,BLR,0.990000039295245
2017,BLR,0.9999727772090063
2018,BLR,0.9943548567852376
2015,BLZ,0.9945092136497364
2016,BLZ,0.991357095231142
2017,BLZ,0.9934650509507196
2018,BLZ,0.996009632488093
2015,BOL,0.99520586906532
2016,BOL,0.9938486895571615
2017,BOL,0.994492711445764
2018,BOL,0.9952816054575456
2015,BRA,0.9966395919898016
2016,BRA,0.9955755095405336
2017,BRA,0.9956434262448204
2018,BRA,0.9935963340486804
2015,BRN,0.5092239019652689
2016,BRN,0.9999899518615336
2017,BRN,0.5093546313948607
2018,BRN,0.999989998477436
2015,BWA,0.5092255393671422
2016,BWA,0.5082093420201852
2017,BWA,0.5093550067196891
2018,BWA,0.5092930478205866
2015,CAF,0.9993349626383126
2016,CAF,0.999276134426585
2017,CAF,0.9994266102818932
