Year,Nation,iso_code3,pij_lndu_other_to_croplands
2021,Afghanistan,AFG,0.0034354839633826
2022,Afghanistan,AFG,0.0033367017628226
2023,Afghanistan,AFG,0.0032379195622627
2024,Afghanistan,AFG,0.0031391373617028
2025,Afghanistan,AFG,0.0030403551611429
2026,Afghanistan,AFG,0.0029415729605829
2027,Afghanistan,AFG,0.002842790760023
2028,Afghanistan,AFG,0.0027440085594631
2029,Afghanistan,AFG,0.0026452263589032
2030,Afghanistan,AFG,0.0025464441583433
2031,Afghanistan,AFG,0.0024476619577833
2032,Afghanistan,AFG,0.0023488797572234
2033,Afghanistan,AFG,0.0022500975566635
2034,Afghanistan,AFG,0.0021513153561036
2035,Afghanistan,AFG,0.0020525331555436
2036,Afghanistan,AFG,0.0019537509549837
2037,Afghanistan,AFG,0.0018549687544238
2038,Afghanistan,AFG,0.0017561865538639
2039,Afghanistan,AFG,0.0016574043533039
2040,Afghanistan,AFG,0.001558622152744
2041,Afghanistan,AFG,0.0014598399521841
2042,Afghanistan,AFG,0.0013610577516242
2043,Afghanistan,AFG,0.0012622755510643
2044,Afghanistan,AFG,0.0011634933505043
2045,Afghanistan,AFG,0.0010647111499444
2046,Afghanistan,AFG,0.0009659289493845
2047,Afghanistan,AFG,0.0008671467488246
2048,Afghanistan,AFG,0.0007683645482646
2049,Afghanistan,AFG,0.0006695823477047
2050,Afghanistan,AFG,0.0005708001471448
2021,Algeria,DZA,0.0001094476287898
2022,Algeria,DZA,0.0001093844680272
2023,Algeria,DZA,0.0001093213072646
2024,Algeria,DZA,0.000109258146502
2025,Algeria,DZA,0.0001091949857395
2026,Algeria,DZA,0.0001091318249769
2027,Algeria,DZA,0.0001090686642143
2028,Algeria,DZA,0.0001090055034517
2029,Algeria,DZA,0.0001089423426892
2030,Algeria,DZA,0.0001088791819266
2031,Algeria,DZA,0.00010881602116399999
2032,Algeria,DZA,0.0001087528604014
2033,Algeria,DZA,0.0001086896996389
2034,Algeria,DZA,0.0001086265388763
2035,Algeria,DZA,0.0001085633781137
2036,Algeria,DZA,0.0001085002173511
2037,Algeria,DZA,0.0001084370565886
2038,Algeria,DZA,0.00010837389582600001
2039,Algeria,DZA,0.0001083107350634
2040,Algeria,DZA,0.0001082475743008
2041,Algeria,DZA,0.0001081844135383
2042,Algeria,DZA,0.0001081212527757
2043,Algeria,DZA,0.0001080580920131
2044,Algeria,DZA,0.0001079949312505
2045,Algeria,DZA,0.00010793177048799999
2046,Algeria,DZA,0.0001078686097254
2047,Algeria,DZA,0.0001078054489628
2048,Algeria,DZA,0.0001077422882002
2049,Algeria,DZA,0.0001076791274377
