Year,Nation,iso_code3,pij_lndu_other_to_forests_secondary
2021,Afghanistan,AFG,0.0
2022,Afghanistan,AFG,0.0
2023,Afghanistan,AFG,0.0
2024,Afghanistan,AFG,0.0
2025,Afghanistan,AFG,0.0
2026,Afghanistan,AFG,0.0
2027,Afghanistan,AFG,0.0
2028,Afghanistan,AFG,0.0
2029,Afghanistan,AFG,0.0
2030,Afghanistan,AFG,0.0
2031,Afghanistan,AFG,0.0
2032,Afghanistan,AFG,0.0
2033,Afghanistan,AFG,0.0
2034,Afghanistan,AFG,0.0
2035,Afghanistan,AFG,0.0
2036,Afghanistan,AFG,0.0
2037,Afghanistan,AFG,0.0
2038,Afghanistan,AFG,0.0
2039,Afghanistan,AFG,0.0
2040,Afghanistan,AFG,0.0
2041,Afghanistan,AFG,0.0
2042,Afghanistan,AFG,0.0
2043,Afghanistan,AFG,0.0
2044,Afghanistan,AFG,0.0
2045,Afghanistan,AFG,0.0
2046,Afghanistan,AFG,0.0
2047,Afghanistan,AFG,0.0
2048,Afghanistan,AFG,0.0
2049,Afghanistan,AFG,0.0
2050,Afghanistan,AFG,0.0
2021,Algeria,DZA,9.883953136278368e-05
2022,Algeria,DZA,9.883953760624715e-05
2023,Algeria,DZA,9.883954384971067e-05
2024,Algeria,DZA,9.883955009317416e-05
2025,Algeria,DZA,9.883955633663768e-05
2026,Algeria,DZA,9.883956258010119e-05
2027,Algeria,DZA,9.883956882356469e-05
2028,Algeria,DZA,9.88395750670282e-05
2029,Algeria,DZA,9.883958131049172e-05
2030,Algeria,DZA,9.88395875539552e-05
2031,Algeria,DZA,9.883959379741873e-05
2032,Algeria,DZA,9.883960004088221e-05
2033,Algeria,DZA,9.883960628434572e-05
2034,Algeria,DZA,9.883961252780924e-05
2035,Algeria,DZA,9.883961877127271e-05
2036,Algeria,DZA,9.883962501473625e-05
2037,Algeria,DZA,9.883963125819976e-05
2038,Algeria,DZA,9.883963750166324e-05
2039,Algeria,DZA,9.883964374512675e-05
2040,Algeria,DZA,9.883964998859026e-05
2041,Algeria,DZA,9.883965623205376e-05
2042,Algeria,DZA,9.883966247551728e-05
2043,Algeria,DZA,9.883966871898078e-05
2044,Algeria,DZA,9.883967496244427e-05
2045,Algeria,DZA,9.883968120590777e-05
2046,Algeria,DZA,9.883968744937128e-05
2047,Algeria,DZA,9.88396936928348e-05
2048,Algeria,DZA,9.883969993629829e-05
2049,Algeria,DZA,9.88397061797618e-05
2050,Algeria,DZA,9.883971242322529e-05
2021,Andorra,AND,0.0
2022,Andorra,AND,0.0
2023,Andorra,AND,0.0
2024,Andorra,AND,0.0
2025,Andorra,AND,0.0
2026,Andorra,AND,0.0
2027,Andorra,AND,0.0
2028,Andorra,AND,0.0
2029,Andorra,AND,0.0
