Year,iso_code3,pij_lndu_wetlands_to_forests_secondary
2015,AFG,0.0
2016,AFG,0.0
2017,AFG,0.0
2018,AFG,0.0
2015,AGO,0.0001433959826633
2016,AGO,0.0
2017,AGO,0.0018704060909668
2018,AGO,0.0016798593737264
2015,ALB,0.0
2016,ALB,0.000596545267941
2017,ALB,0.0018117170622714
2018,ALB,0.0008006344010832
2015,ARG,0.0010891243204225
2016,ARG,0.0013611262632724
2017,ARG,0.0010323879352108
2018,ARG,0.000949637943996
2015,ATG,0.0
2016,ATG,0.0
2017,ATG,0.0
2018,ATG,0.0
2015,AUS,1.1980780485636846e-05
2016,AUS,2.3270558538778775e-05
2017,AUS,2.623642805058265e-05
2018,AUS,0.0003280120910913
2015,AUT,0.0084547113635518
2016,AUT,0.0097948373466172
2017,AUT,0.0
2018,AUT,0.0093444261190444
2015,AZE,0.0
2016,AZE,0.0
2017,AZE,0.004931766760494
2018,AZE,0.0111632114125292
2015,BDI,0.0
2016,BDI,0.006819300880833
2017,BDI,0.0
2018,BDI,0.0
2015,BEL,0.0
2016,BEL,0.0057479396946463
2017,BEL,0.0057999643698271
2018,BEL,0.0050066038127309
2015,BEN,0.0
2016,BEN,0.0
2017,BEN,0.0
2018,BEN,5.319594919328314e-05
2015,BFA,7.442711074706228e-06
2016,BFA,0.0
2017,BFA,0.0
2018,BFA,0.0
2015,BGD,0.0016990477919121
2016,BGD,0.0006542667418098
2017,BGD,0.001589236146034
2018,BGD,0.0011545630488922
2015,BGR,0.0026097081409595
2016,BGR,0.0022283290269313
2017,BGR,0.0
2018,BGR,0.0
2015,BHS,0.0
2016,BHS,0.0002213214225093
2017,BHS,0.0
2018,BHS,0.0036132208987147
2015,BIH,8.01022367871719e-06
2016,BIH,0.0245129227410556
2017,BIH,0.0
2018,BIH,0.0096097697460496
2015,BLR,0.005610187756812
2016,BLR,0.0099985025301855
2017,BLR,0.0051769908532732
2018,BLR,6.097136785480549e-05
2015,BLZ,0.0
2016,BLZ,0.0008375196087663
2017,BLZ,0.009045403455891
2018,BLZ,0.009737633372982
2015,BOL,0.0008580279556847
2016,BOL,0.0001327042142613
2017,BOL,0.000122440411694
2018,BOL,0.0010108336476883
