Year,iso_code3,pij_lndu_wetlands_to_forests_secondary
2019,AFG,0.0
2020,AFG,0.0
2021,AFG,0.0
2022,AFG,0.0
2023,AFG,0.0
2024,AFG,0.0
2025,AFG,0.0
2026,AFG,0.0
2027,AFG,0.0
2028,AFG,0.0
2029,AFG,0.0
2030,AFG,0.0
2031,AFG,0.0
2032,AFG,0.0
2033,AFG,0.0
2034,AFG,0.0
2035,AFG,0.0
2036,AFG,0.0
2037,AFG,0.0
2038,AFG,0.0
2039,AFG,0.0
2040,AFG,0.0
2041,AFG,0.0
2042,AFG,0.0
2043,AFG,0.0
2044,AFG,0.0
2045,AFG,0.0
2046,AFG,0.0
2047,AFG,0.0
2048,AFG,0.0
2049,AFG,0.0
2050,AFG,0.0
2019,AGO,0.0016063056625094
2020,AGO,0.0010599934219732
2021,AGO,0.0010599934219732
2022,AGO,0.0010599934219732
2023,AGO,0.0010599934219732
2024,AGO,0.0010599934219732
2025,AGO,0.0010599934219732
2026,AGO,0.0010599934219732
2027,AGO,0.0010599934219732
2028,AGO,0.0010599934219732
2029,AGO,0.0010599934219732
2030,AGO,0.0010599934219732
2031,AGO,0.0010599934219732
2032,AGO,0.0010599934219732
2033,AGO,0.0010599934219732
2034,AGO,0.0010599934219732
2035,AGO,0.0010599934219732
2036,AGO,0.0010599934219732
2037,AGO,0.0010599934219732
2038,AGO,0.0010599934219732
2039,AGO,0.0010599934219732
2040,AGO,0.0010599934219732
2041,AGO,0.0010599934219732
2042,AGO,0.0010599934219732
2043,AGO,0.0010599934219732
2044,AGO,0.0010599934219732
2045,AGO,0.0010599934219732
2046,AGO,0.0010599934219732
2047,AGO,0.0010599934219732
2048,AGO,0.0010599934219732
2049,AGO,0.0010599934219732
2050,AGO,0.0010599934219732
2019,ALB,0.0012469849034025
2020,ALB,0.0008911763269396
2021,ALB,0.0008911763269396
2022,ALB,0.0008911763269396
2023,ALB,0.0008911763269396
2024,ALB,0.0008911763269396
2025,ALB,0.0008911763269396
2026,ALB,0.0008911763269396
2027,ALB,0.0008911763269396
2028,ALB,0.0008911763269396
2029,ALB,0.0008911763269396
2030,ALB,0.0008911763269396
2031,ALB,0.0008911763269396
2032,ALB,0.0008911763269396
2033,ALB,0.0008911763269396
2034,ALB,0.0008911763269396
2035,ALB,0.0008911763269396
2036,ALB,0.0008911763269396
2037,ALB,0.0008911763269396
2038,ALB,0.0008911763269396
2039,ALB,0.0008911763269396
2040,ALB,0.0008911763269396
2041,ALB,0.0008911763269396
2042,ALB,0.0008911763269396
2043,ALB,0.0008911763269396
2044,ALB,0.0008911763269396
2045,ALB,0.0008911763269396
2046,ALB,0.0008911763269396
2047,ALB,0.0008911763269396
2048,ALB,0.0008911763269396
2049,ALB,0.0008911763269396
