iso_code3,Nation,pop_lvst_initial_buffalo,Year
ALB,Albania,0,2023
ALB,Albania,0,2024
ALB,Albania,0,2025
ALB,Albania,0,2026
ALB,Albania,0,2027
ALB,Albania,0,2028
ALB,Albania,0,2029
ALB,Albania,0,2030
ALB,Albania,0,2031
ALB,Albania,0,2032
ALB,Albania,0,2033
ALB,Albania,0,2034
ALB,Albania,0,2035
ALB,Albania,0,2036
ALB,Albania,0,2037
ALB,Albania,0,2038
ALB,Albania,0,2039
ALB,Albania,0,2040
ALB,Albania,0,2041
ALB,Albania,0,2042
ALB,Albania,0,2043
ALB,Albania,0,2044
ALB,Albania,0,2045
ALB,Albania,0,2046
ALB,Albania,0,2047
ALB,Albania,0,2048
ALB,Albania,0,2049
ALB,Albania,0,2050
ARM,Armenia,727,2023
ARM,Armenia,727,2024
ARM,Armenia,727,2025
ARM,Armenia,727,2026
ARM,Armenia,727,2027
ARM,Armenia,727,2028
ARM,Armenia,727,2029
ARM,Armenia,727,2030
ARM,Armenia,727,2031
ARM,Armenia,727,2032
ARM,Armenia,727,2033
ARM,Armenia,727,2034
ARM,Armenia,727,2035
ARM,Armenia,727,2036
ARM,Armenia,727,2037
ARM,Armenia,727,2038
ARM,Armenia,727,2039
ARM,Armenia,727,2040
ARM,Armenia,727,2041
ARM,Armenia,727,2042
ARM,Armenia,727,2043
ARM,Armenia,727,2044
ARM,Armenia,727,2045
ARM,Armenia,727,2046
ARM,Armenia,727,2047
ARM,Armenia,727,2048
ARM,Armenia,727,2049
ARM,Armenia,727,2050
AUS,Australia,0,2023
AUS,Australia,0,2024
AUS,Australia,0,2025
AUS,Australia,0,2026
AUS,Australia,0,2027
AUS,Australia,0,2028
AUS,Australia,0,2029
AUS,Australia,0,2030
AUS,Australia,0,2031
AUS,Australia,0,2032
AUS,Australia,0,2033
AUS,Australia,0,2034
AUS,Australia,0,2035
AUS,Australia,0,2036
AUS,Australia,0,2037
AUS,Australia,0,2038
AUS,Australia,0,2039
AUS,Australia,0,2040
AUS,Australia,0,2041
AUS,Australia,0,2042
AUS,Australia,0,2043
AUS,Australia,0,2044
AUS,Australia,0,2045
AUS,Australia,0,2046
AUS,Australia,0,2047
AUS,Australia,0,2048
AUS,Australia,0,2049
AUS,Australia,0,2050
AZE,Azerbaijan,119900,2023
AZE,Azerbaijan,119900,2024
AZE,Azerbaijan,119900,2025
AZE,Azerbaijan,119900,2026
AZE,Azerbaijan,119900,2027
AZE,Azerbaijan,119900,2028
AZE,Azerbaijan,119900,2029
AZE,Azerbaijan,119900,2030
AZE,Azerbaijan,119900,2031
AZE,Azerbaijan,119900,2032
AZE,Azerbaijan,119900,2033
AZE,Azerbaijan,119900,2034
AZE,Azerbaijan,119900,2035
AZE,Azerbaijan,119900,2036
AZE,Azerbaijan,119900,2037
AZE,Azerbaijan,119900,2038
AZE,Azerbaijan,119900,2039
AZE,Azerbaijan,119900,2040
AZE,Azerbaijan,119900,2041
AZE,Azerbaijan,119900,2042
AZE,Azerbaijan,119900,2043
AZE,Azerbaijan,119900,2044
AZE,Azerbaijan,119900,2045
AZE,Azerbaijan,119900,2046
AZE,Azerbaijan,119900,2047
AZE,Azerbaijan,119900,2048
AZE,Azerbaijan,119900,2049
AZE,Azerbaijan,119900,2050
BGD,Bangladesh,1508000,2023
