iso_code3,Nation,Year,pop_lvst_initial_chickens
AFG,Afghanistan,2023,13140000.0
AFG,Afghanistan,2024,13140000.0
AFG,Afghanistan,2025,13140000.0
AFG,Afghanistan,2026,13140000.0
AFG,Afghanistan,2027,13140000.0
AFG,Afghanistan,2028,13140000.0
AFG,Afghanistan,2029,13140000.0
AFG,Afghanistan,2030,13140000.0
AFG,Afghanistan,2031,13140000.0
AFG,Afghanistan,2032,13140000.0
AFG,Afghanistan,2033,13140000.0
AFG,Afghanistan,2034,13140000.0
AFG,Afghanistan,2035,13140000.0
AFG,Afghanistan,2036,13140000.0
AFG,Afghanistan,2037,13140000.0
AFG,Afghanistan,2038,13140000.0
AFG,Afghanistan,2039,13140000.0
AFG,Afghanistan,2040,13140000.0
AFG,Afghanistan,2041,13140000.0
AFG,Afghanistan,2042,13140000.0
AFG,Afghanistan,2043,13140000.0
AFG,Afghanistan,2044,13140000.0
AFG,Afghanistan,2045,13140000.0
AFG,Afghanistan,2046,13140000.0
AFG,Afghanistan,2047,13140000.0
AFG,Afghanistan,2048,13140000.0
AFG,Afghanistan,2049,13140000.0
AFG,Afghanistan,2050,13140000.0
AGO,Angola,2023,44590000.0
AGO,Angola,2024,44590000.0
AGO,Angola,2025,44590000.0
AGO,Angola,2026,44590000.0
AGO,Angola,2027,44590000.0
AGO,Angola,2028,44590000.0
AGO,Angola,2029,44590000.0
AGO,Angola,2030,44590000.0
AGO,Angola,2031,44590000.0
AGO,Angola,2032,44590000.0
AGO,Angola,2033,44590000.0
AGO,Angola,2034,44590000.0
AGO,Angola,2035,44590000.0
AGO,Angola,2036,44590000.0
AGO,Angola,2037,44590000.0
AGO,Angola,2038,44590000.0
AGO,Angola,2039,44590000.0
AGO,Angola,2040,44590000.0
AGO,Angola,2041,44590000.0
AGO,Angola,2042,44590000.0
AGO,Angola,2043,44590000.0
AGO,Angola,2044,44590000.0
AGO,Angola,2045,44590000.0
AGO,Angola,2046,44590000.0
AGO,Angola,2047,44590000.0
AGO,Angola,2048,44590000.0
AGO,Angola,2049,44590000.0
AGO,Angola,2050,44590000.0
ALB,Albania,2023,5345000.0
ALB,Albania,2024,5345000.0
ALB,Albania,2025,5345000.0
ALB,Albania,2026,5345000.0
ALB,Albania,2027,5345000.0
ALB,Albania,2028,5345000.0
ALB,Albania,2029,5345000.0
ALB,Albania,2030,5345000.0
ALB,Albania,2031,5345000.0
ALB,Albania,2032,5345000.0
ALB,Albania,2033,5345000.0
ALB,Albania,2034,5345000.0
ALB,Albania,2035,5345000.0
ALB,Albania,2036,5345000.0
ALB,Albania,2037,5345000.0
ALB,Albania,2038,5345000.0
ALB,Albania,2039,5345000.0
ALB,Albania,2040,5345000.0
ALB,Albania,2041,5345000.0
ALB,Albania,2042,5345000.0
ALB,Albania,2043,5345000.0
ALB,Albania,2044,5345000.0
ALB,Albania,2045,5345000.0
ALB,Albania,2046,5345000.0
ALB,Albania,2047,5345000.0
ALB,Albania,2048,5345000.0
ALB,Albania,2049,5345000.0
ALB,Albania,2050,5345000.0
ARE,United Arab Emirates,2023,26250000.0
ARE,United Arab Emirates,2024,26250000.0
ARE,United Arab Emirates,2025,26250000.0
ARE,United Arab Emirates,2026,26250000.0
ARE,United Arab Emirates,2027,26250000.0
ARE,United Arab Emirates,2028,26250000.0
ARE,United Arab Emirates,2029,26250000.0
ARE,United Arab Emirates,2030,26250000.0
ARE,United Arab Emirates,2031,26250000.0
ARE,United Arab Emirates,2032,26250000.0
ARE,United Arab Emirates,2033,26250000.0
ARE,United Arab Emirates,2034,26250000.0
ARE,United Arab Emirates,2035,26250000.0
ARE,United Arab Emirates,2036,26250000.0
ARE,United Arab Emirates,2037,26250000.0
ARE,United Arab Emirates,2038,26250000.0
ARE,United Arab Emirates,2039,26250000.0
ARE,United Arab Emirates,2040,26250000.0
ARE,United Arab Emirates,2041,26250000.0
ARE,United Arab Emirates,2042,26250000.0
ARE,United Arab Emirates,2043,26250000.0
ARE,United Arab Emirates,2044,26250000.0
ARE,United Arab Emirates,2045,26250000.0
ARE,United Arab Emirates,2046,26250000.0
ARE,United Arab Emirates,2047,26250000.0
ARE,United Arab Emirates,2048,26250000.0
ARE,United Arab Emirates,2049,26250000.0
ARE,United Arab Emirates,2050,26250000.0
ARG,Argentina,2023,121593000.0
ARG,Argentina,2024,121593000.0
ARG,Argentina,2025,121593000.0
ARG,Argentina,2026,121593000.0
ARG,Argentina,2027,121593000.0
ARG,Argentina,2028,121593000.0
ARG,Argentina,2029,121593000.0
ARG,Argentina,2030,121593000.0
ARG,Argentina,2031,121593000.0
ARG,Argentina,2032,121593000.0
ARG,Argentina,2033,121593000.0
ARG,Argentina,2034,121593000.0
ARG,Argentina,2035,121593000.0
ARG,Argentina,2036,121593000.0
ARG,Argentina,2037,121593000.0
