iso_code3,Nation,pop_lvst_initial_horses,Year
AFG,Afghanistan,28792,2023
AFG,Afghanistan,28792,2024
AFG,Afghanistan,28792,2025
AFG,Afghanistan,28792,2026
AFG,Afghanistan,28792,2027
AFG,Afghanistan,28792,2028
AFG,Afghanistan,28792,2029
AFG,Afghanistan,28792,2030
AFG,Afghanistan,28792,2031
AFG,Afghanistan,28792,2032
AFG,Afghanistan,28792,2033
AFG,Afghanistan,28792,2034
AFG,Afghanistan,28792,2035
AFG,Afghanistan,28792,2036
AFG,Afghanistan,28792,2037
AFG,Afghanistan,28792,2038
AFG,Afghanistan,28792,2039
AFG,Afghanistan,28792,2040
AFG,Afghanistan,28792,2041
AFG,Afghanistan,28792,2042
AFG,Afghanistan,28792,2043
AFG,Afghanistan,28792,2044
AFG,Afghanistan,28792,2045
AFG,Afghanistan,28792,2046
AFG,Afghanistan,28792,2047
AFG,Afghanistan,28792,2048
AFG,Afghanistan,28792,2049
AFG,Afghanistan,28792,2050
ALB,Albania,26000,2023
ALB,Albania,26000,2024
ALB,Albania,26000,2025
ALB,Albania,26000,2026
ALB,Albania,26000,2027
ALB,Albania,26000,2028
ALB,Albania,26000,2029
ALB,Albania,26000,2030
ALB,Albania,26000,2031
ALB,Albania,26000,2032
ALB,Albania,26000,2033
ALB,Albania,26000,2034
ALB,Albania,26000,2035
ALB,Albania,26000,2036
ALB,Albania,26000,2037
ALB,Albania,26000,2038
ALB,Albania,26000,2039
ALB,Albania,26000,2040
ALB,Albania,26000,2041
ALB,Albania,26000,2042
ALB,Albania,26000,2043
ALB,Albania,26000,2044
ALB,Albania,26000,2045
ALB,Albania,26000,2046
ALB,Albania,26000,2047
ALB,Albania,26000,2048
ALB,Albania,26000,2049
ALB,Albania,26000,2050
DZA,Algeria,49430,2023
DZA,Algeria,49430,2024
DZA,Algeria,49430,2025
DZA,Algeria,49430,2026
DZA,Algeria,49430,2027
DZA,Algeria,49430,2028
DZA,Algeria,49430,2029
DZA,Algeria,49430,2030
DZA,Algeria,49430,2031
DZA,Algeria,49430,2032
DZA,Algeria,49430,2033
DZA,Algeria,49430,2034
DZA,Algeria,49430,2035
DZA,Algeria,49430,2036
DZA,Algeria,49430,2037
DZA,Algeria,49430,2038
DZA,Algeria,49430,2039
DZA,Algeria,49430,2040
DZA,Algeria,49430,2041
DZA,Algeria,49430,2042
DZA,Algeria,49430,2043
DZA,Algeria,49430,2044
DZA,Algeria,49430,2045
DZA,Algeria,49430,2046
DZA,Algeria,49430,2047
DZA,Algeria,49430,2048
DZA,Algeria,49430,2049
DZA,Algeria,49430,2050
AGO,Angola,1013,2023
AGO,Angola,1013,2024
AGO,Angola,1013,2025
AGO,Angola,1013,2026
AGO,Angola,1013,2027
AGO,Angola,1013,2028
AGO,Angola,1013,2029
AGO,Angola,1013,2030
AGO,Angola,1013,2031
AGO,Angola,1013,2032
AGO,Angola,1013,2033
AGO,Angola,1013,2034
AGO,Angola,1013,2035
AGO,Angola,1013,2036
AGO,Angola,1013,2037
AGO,Angola,1013,2038
AGO,Angola,1013,2039
AGO,Angola,1013,2040
AGO,Angola,1013,2041
AGO,Angola,1013,2042
AGO,Angola,1013,2043
AGO,Angola,1013,2044
AGO,Angola,1013,2045
AGO,Angola,1013,2046
AGO,Angola,1013,2047
AGO,Angola,1013,2048
AGO,Angola,1013,2049
AGO,Angola,1013,2050
ATG,Antigua and Barbuda,494,2023
ATG,Antigua and Barbuda,494,2024
ATG,Antigua and Barbuda,494,2025
ATG,Antigua and Barbuda,494,2026
ATG,Antigua and Barbuda,494,2027
ATG,Antigua and Barbuda,494,2028
ATG,Antigua and Barbuda,494,2029
ATG,Antigua and Barbuda,494,2030
ATG,Antigua and Barbuda,494,2031
ATG,Antigua and Barbuda,494,2032
ATG,Antigua and Barbuda,494,2033
ATG,Antigua and Barbuda,494,2034
ATG,Antigua and Barbuda,494,2035
ATG,Antigua and Barbuda,494,2036
ATG,Antigua and Barbuda,494,2037
ATG,Antigua and Barbuda,494,2038
ATG,Antigua and Barbuda,494,2039
ATG,Antigua and Barbuda,494,2040
ATG,Antigua and Barbuda,494,2041
ATG,Antigua and Barbuda,494,2042
ATG,Antigua and Barbuda,494,2043
ATG,Antigua and Barbuda,494,2044
ATG,Antigua and Barbuda,494,2045
ATG,Antigua and Barbuda,494,2046
ATG,Antigua and Barbuda,494,2047
ATG,Antigua and Barbuda,494,2048
ATG,Antigua and Barbuda,494,2049
ATG,Antigua and Barbuda,494,2050
ARG,Argentina,2462982,2023
ARG,Argentina,2462982,2024
ARG,Argentina,2462982,2025
ARG,Argentina,2462982,2026
ARG,Argentina,2462982,2027
ARG,Argentina,2462982,2028
ARG,Argentina,2462982,2029
ARG,Argentina,2462982,2030
ARG,Argentina,2462982,2031
ARG,Argentina,2462982,2032
ARG,Argentina,2462982,2033
ARG,Argentina,2462982,2034
ARG,Argentina,2462982,2035
ARG,Argentina,2462982,2036
ARG,Argentina,2462982,2037
ARG,Argentina,2462982,2038
ARG,Argentina,2462982,2039
ARG,Argentina,2462982,2040
ARG,Argentina,2462982,2041
ARG,Argentina,2462982,2042
ARG,Argentina,2462982,2043
ARG,Argentina,2462982,2044
ARG,Argentina,2462982,2045
ARG,Argentina,2462982,2046
ARG,Argentina,2462982,2047
ARG,Argentina,2462982,2048
ARG,Argentina,2462982,2049
ARG,Argentina,2462982,2050
ARM,Armenia,13888,2023
ARM,Armenia,13888,2024
ARM,Armenia,13888,2025
ARM,Armenia,13888,2026
ARM,Armenia,13888,2027
ARM,Armenia,13888,2028
ARM,Armenia,13888,2029
ARM,Armenia,13888,2030
ARM,Armenia,13888,2031
ARM,Armenia,13888,2032
ARM,Armenia,13888,2033
ARM,Armenia,13888,2034
ARM,Armenia,13888,2035
ARM,Armenia,13888,2036
ARM,Armenia,13888,2037
ARM,Armenia,13888,2038
ARM,Armenia,13888,2039
ARM,Armenia,13888,2040
ARM,Armenia,13888,2041
ARM,Armenia,13888,2042
ARM,Armenia,13888,2043
ARM,Armenia,13888,2044
ARM,Armenia,13888,2045
ARM,Armenia,13888,2046
ARM,Armenia,13888,2047
ARM,Armenia,13888,2048
ARM,Armenia,13888,2049
ARM,Armenia,13888,2050
AUS,Australia,250605,2023
AUS,Australia,250605,2024
AUS,Australia,250605,2025
AUS,Australia,250605,2026
AUS,Australia,250605,2027
AUS,Australia,250605,2028
AUS,Australia,250605,2029
AUS,Australia,250605,2030
AUS,Australia,250605,2031
AUS,Australia,250605,2032
AUS,Australia,250605,2033
AUS,Australia,250605,2034
AUS,Australia,250605,2035
AUS,Australia,250605,2036
AUS,Australia,250605,2037
AUS,Australia,250605,2038
AUS,Australia,250605,2039
AUS,Australia,250605,2040
AUS,Australia,250605,2041
