iso_code3,Nation,Year,pop_lvst_initial_mules
AFG,Afghanistan,2011,25000
AFG,Afghanistan,2012,24000
AFG,Afghanistan,2013,21000
AFG,Afghanistan,2014,24000
AFG,Afghanistan,2015,24500
AFG,Afghanistan,2016,24900
AFG,Afghanistan,2017,24000
AFG,Afghanistan,2018,23769
AFG,Afghanistan,2019,24198
AFG,Afghanistan,2020,24107
AFG,Afghanistan,2021,24037
AFG,Afghanistan,2022,23968
ALB,Albania,2011,7000
ALB,Albania,2012,7000
ALB,Albania,2013,5000
ALB,Albania,2014,5500
ALB,Albania,2015,0
ALB,Albania,2016,0
ALB,Albania,2017,0
ALB,Albania,2018,0
ALB,Albania,2019,0
ALB,Albania,2020,0
ALB,Albania,2021,0
ALB,Albania,2022,0
DZA,Algeria,2011,34255
DZA,Algeria,2012,33000
DZA,Algeria,2013,31410
DZA,Algeria,2014,30190
DZA,Algeria,2015,20913
DZA,Algeria,2016,19983
DZA,Algeria,2017,19247
DZA,Algeria,2018,16808
DZA,Algeria,2019,15997
DZA,Algeria,2020,17305
DZA,Algeria,2021,17518
DZA,Algeria,2022,16396
ARG,Argentina,2011,185000
ARG,Argentina,2012,185000
ARG,Argentina,2013,185000
ARG,Argentina,2014,185000
ARG,Argentina,2015,138782
ARG,Argentina,2016,86283
ARG,Argentina,2017,45243
ARG,Argentina,2018,45648
ARG,Argentina,2019,46593
ARG,Argentina,2020,47182
ARG,Argentina,2021,44305
ARG,Argentina,2022,41930
ARM,Armenia,2011,45
ARM,Armenia,2012,58
ARM,Armenia,2013,76
ARM,Armenia,2014,77
ARM,Armenia,2015,74
ARM,Armenia,2016,56
ARM,Armenia,2017,36
ARM,Armenia,2018,25
ARM,Armenia,2019,38
ARM,Armenia,2020,24
ARM,Armenia,2021,25
ARM,Armenia,2022,17
AZE,Azerbaijan,2011,117
AZE,Azerbaijan,2012,82
AZE,Azerbaijan,2013,88
AZE,Azerbaijan,2014,82
AZE,Azerbaijan,2015,103
AZE,Azerbaijan,2016,79
AZE,Azerbaijan,2017,62
AZE,Azerbaijan,2018,53
AZE,Azerbaijan,2019,53
AZE,Azerbaijan,2020,57
AZE,Azerbaijan,2021,55
AZE,Azerbaijan,2022,54
BRB,Barbados,2011,2000
BRB,Barbados,2012,2000
BRB,Barbados,2013,2000
BRB,Barbados,2014,2000
BRB,Barbados,2015,2000
BRB,Barbados,2016,2000
BRB,Barbados,2017,2000
BRB,Barbados,2018,2000
BRB,Barbados,2019,2000
BRB,Barbados,2020,2000
BRB,Barbados,2021,2000
BRB,Barbados,2022,2000
BLZ,Belize,2011,4650
BLZ,Belize,2012,4650
BLZ,Belize,2013,4650
BLZ,Belize,2014,4600
BLZ,Belize,2015,4588
BLZ,Belize,2016,4583
BLZ,Belize,2017,4582
BLZ,Belize,2018,4584
BLZ,Belize,2019,4593
BLZ,Belize,2020,4589
BLZ,Belize,2021,4588
BLZ,Belize,2022,4587
BTN,Bhutan,2011,5550
BTN,Bhutan,2012,5388
BTN,Bhutan,2013,5474
BTN,Bhutan,2014,5500
BTN,Bhutan,2015,5455
BTN,Bhutan,2016,4766
BTN,Bhutan,2017,4751
BTN,Bhutan,2018,4734
BTN,Bhutan,2019,4987
BTN,Bhutan,2020,4989
BTN,Bhutan,2021,4984
BTN,Bhutan,2022,4979
BOL,Bolivia (Plurinational State of),2011,82000
BOL,Bolivia (Plurinational State of),2012,82000
BOL,Bolivia (Plurinational State of),2013,82000
BOL,Bolivia (Plurinational State of),2014,83000
BOL,Bolivia (Plurinational State of),2015,82913
BOL,Bolivia (Plurinational State of),2016,82904
BOL,Bolivia (Plurinational State of),2017,82838
BOL,Bolivia (Plurinational State of),2018,82823
BOL,Bolivia (Plurinational State of),2019,82970
BOL,Bolivia (Plurinational State of),2020,83021
BOL,Bolivia (Plurinational State of),2021,83096
BOL,Bolivia (Plurinational State of),2022,83171
BWA,Botswana,2011,3100
BWA,Botswana,2012,3200
BWA,Botswana,2013,3200
BWA,Botswana,2014,3200
BWA,Botswana,2015,3219
BWA,Botswana,2016,3239
BWA,Botswana,2017,3255
BWA,Botswana,2018,3270
BWA,Botswana,2019,3287
BWA,Botswana,2020,3306
BWA,Botswana,2021,3323
BWA,Botswana,2022,3340
BRA,Brazil,2011,1269403
BRA,Brazil,2012,1221756
BRA,Brazil,2013,1239000
BRA,Brazil,2014,1256000
BRA,Brazil,2015,1258881
BRA,Brazil,2016,1256877
BRA,Brazil,2017,1245352
BRA,Brazil,2018,1223729
BRA,Brazil,2019,1202724
BRA,Brazil,2020,1200778
BRA,Brazil,2021,1193099
BRA,Brazil,2022,1185419
BGR,Bulgaria,2011,3074
BGR,Bulgaria,2012,3000
BGR,Bulgaria,2013,3000
BGR,Bulgaria,2014,1963
BGR,Bulgaria,2015,1534
BGR,Bulgaria,2016,1200
BGR,Bulgaria,2017,1500
CPV,Cabo Verde,2011,1860
CPV,Cabo Verde,2012,1860
CPV,Cabo Verde,2013,1860
CPV,Cabo Verde,2014,1870
CPV,Cabo Verde,2015,1883
CPV,Cabo Verde,2016,1892
CPV,Cabo Verde,2017,1900
CPV,Cabo Verde,2018,1907
CPV,Cabo Verde,2019,1921
CPV,Cabo Verde,2020,1922
CPV,Cabo Verde,2021,1928
CPV,Cabo Verde,2022,1933
CAN,Canada,2011,4000
CAN,Canada,2012,4000
CAN,Canada,2013,4000
CAN,Canada,2014,4000
CAN,Canada,2015,4000
CAN,Canada,2016,4000
CAN,Canada,2017,4000
CAN,Canada,2018,4000
CAN,Canada,2019,4000
CAN,Canada,2020,4000
CAN,Canada,2021,4000
CAN,Canada,2022,4000
CHL,Chile,2011,7000
CHL,Chile,2012,7000
CHL,Chile,2013,7000
CHL,Chile,2014,7000
CHL,Chile,2015,6984
CHL,Chile,2016,6950
CHL,Chile,2017,7000
CHL,Chile,2018,7004
CHL,Chile,2019,6855
CHL,Chile,2020,6843
CHL,Chile,2021,6802
CHL,Chile,2022,6760
CHN,China,2011,1710700
CHN,China,2012,1589600
CHN,China,2013,1380400
CHN,China,2014,1380400
CHN,China,2015,1173500
CHN,China,2016,1040900
CHN,China,2017,811158
CHN,China,2018,757876
CHN,China,2019,714494
CHN,China,2020,622800
CHN,China,2021,541700
CHN,China,2022,488000
"China, mainland","China, mainland",2011,1710700
"China, mainland","China, mainland",2012,1589600
"China, mainland","China, mainland",2013,1380400
"China, mainland","China, mainland",2014,1380400
"China, mainland","China, mainland",2015,1173500
"China, mainland","China, mainland",2016,1040900
"China, mainland","China, mainland",2017,811158
"China, mainland","China, mainland",2018,757876
"China, mainland","China, mainland",2019,714494
"China, mainland","China, mainland",2020,622800
"China, mainland","China, mainland",2021,541700
"China, mainland","China, mainland",2022,488000
COL,Colombia,2011,147088
COL,Colombia,2012,182900
COL,Colombia,2013,150702
COL,Colombia,2014,166329
COL,Colombia,2015,169638
COL,Colombia,2016,228765
COL,Colombia,2017,191430
COL,Colombia,2018,175828
COL,Colombia,2019,202300
COL,Colombia,2020,204220
COL,Colombia,2021,175501
COL,Colombia,2022,173875
CRI,Costa Rica,2011,5250
CRI,Costa Rica,2012,5250
CRI,Costa Rica,2013,5260
CRI,Costa Rica,2014,2730
CRI,Costa Rica,2015,5270
CRI,Costa Rica,2016,5278
CRI,Costa Rica,2017,5040
CRI,Costa Rica,2018,4928
CRI,Costa Rica,2019,4923
CRI,Costa Rica,2020,4943
CRI,Costa Rica,2021,4941
CRI,Costa Rica,2022,4938
CUB,Cuba,2011,20000
CUB,Cuba,2012,20300
CUB,Cuba,2013,20600
CUB,Cuba,2014,21100
CUB,Cuba,2015,21200
CUB,Cuba,2016,21400
CUB,Cuba,2017,21600
CUB,Cuba,2018,21700
CUB,Cuba,2019,21900
CUB,Cuba,2020,26000
CUB,Cuba,2021,19300
CUB,Cuba,2022,21600
CYP,Cyprus,2011,1500
CYP,Cyprus,2012,1500
CYP,Cyprus,2013,1500
CYP,Cyprus,2014,1500
CYP,Cyprus,2015,1500
CYP,Cyprus,2016,1500
CYP,Cyprus,2017,1500
DOM,Dominican Republic,2011,140500
DOM,Dominican Republic,2012,142000
DOM,Dominican Republic,2013,145000
DOM,Dominican Republic,2014,145000
DOM,Dominican Republic,2015,144972
DOM,Dominican Republic,2016,144956
DOM,Dominican Republic,2017,145060
DOM,Dominican Republic,2018,145477
DOM,Dominican Republic,2019,146155
DOM,Dominican Republic,2020,146475
DOM,Dominican Republic,2021,146854
DOM,Dominican Republic,2022,147233
ECU,Ecuador,2011,118864
ECU,Ecuador,2012,119529
ECU,Ecuador,2013,118462
ECU,Ecuador,2014,98259
ECU,Ecuador,2015,88123
ECU,Ecuador,2016,79287
ECU,Ecuador,2017,80111
ECU,Ecuador,2018,73681
ECU,Ecuador,2019,83008
ECU,Ecuador,2020,63013
ECU,Ecuador,2021,66913
ECU,Ecuador,2022,61914
EGY,Egypt,2011,2800
EGY,Egypt,2012,2800
EGY,Egypt,2013,2700
EGY,Egypt,2014,2716
EGY,Egypt,2015,2452
EGY,Egypt,2016,2741
EGY,Egypt,2017,2886
EGY,Egypt,2018,2973
EGY,Egypt,2019,3068
EGY,Egypt,2020,3109
EGY,Egypt,2021,3153
EGY,Egypt,2022,3207
SLV,El Salvador,2011,24000
SLV,El Salvador,2012,24100
SLV,El Salvador,2013,24100
SLV,El Salvador,2014,24000
SLV,El Salvador,2015,23960
SLV,El Salvador,2016,23941
SLV,El Salvador,2017,23938
SLV,El Salvador,2018,23940
SLV,El Salvador,2019,23927
SLV,El Salvador,2020,23904
SLV,El Salvador,2021,23888
SLV,El Salvador,2022,23871
SWZ,Eswatini,2011,100
SWZ,Eswatini,2012,105
SWZ,Eswatini,2013,110
SWZ,Eswatini,2014,110
SWZ,Eswatini,2015,106
SWZ,Eswatini,2016,105
SWZ,Eswatini,2017,107
SWZ,Eswatini,2018,108
SWZ,Eswatini,2019,108
SWZ,Eswatini,2020,107
SWZ,Eswatini,2021,108
SWZ,Eswatini,2022,109
ETH,Ethiopia,2011,368781
ETH,Ethiopia,2012,350026
ETH,Ethiopia,2013,356087
ETH,Ethiopia,2014,400329
ETH,Ethiopia,2015,405950
ETH,Ethiopia,2016,409877
ETH,Ethiopia,2017,461665
ETH,Ethiopia,2018,370552
ETH,Ethiopia,2019,357603
ETH,Ethiopia,2020,382784
ETH,Ethiopia,2021,357743
ETH,Ethiopia,2022,365896
FRA,France,2011,32783
FRA,France,2012,31082
FRA,France,2013,30968
FRA,France,2014,29461
FRA,France,2015,28868
FRA,France,2016,27915
FRA,France,2017,27001
GEO,Georgia,2011,100
GEO,Georgia,2012,100
GEO,Georgia,2013,100
GEO,Georgia,2014,100
GEO,Georgia,2015,99
GEO,Georgia,2016,98
GEO,Georgia,2017,97
GEO,Georgia,2018,95
GEO,Georgia,2019,95
GEO,Georgia,2020,95
GEO,Georgia,2021,95
GEO,Georgia,2022,94
GRC,Greece,2011,16407
GRC,Greece,2012,15373
GRC,Greece,2013,13667
GRC,Greece,2014,12201
GRC,Greece,2015,13747
GRC,Greece,2016,13205
GRC,Greece,2017,13051
GRD,Grenada,2011,50
GRD,Grenada,2012,50
GRD,Grenada,2013,50
GRD,Grenada,2014,50
GRD,Grenada,2015,50
GRD,Grenada,2016,50
GRD,Grenada,2017,50
GRD,Grenada,2018,50
GRD,Grenada,2019,50
GRD,Grenada,2020,50
GRD,Grenada,2021,50
GRD,Grenada,2022,50
GTM,Guatemala,2011,38700
GTM,Guatemala,2012,39000
GTM,Guatemala,2013,39000
GTM,Guatemala,2014,38700
GTM,Guatemala,2015,38499
GTM,Guatemala,2016,38353
GTM,Guatemala,2017,38218
GTM,Guatemala,2018,38101
GTM,Guatemala,2019,38523
GTM,Guatemala,2020,38453
GTM,Guatemala,2021,38427
GTM,Guatemala,2022,38402
GUY,Guyana,2011,155
GUY,Guyana,2012,160
GUY,Guyana,2013,160
GUY,Guyana,2014,155
GUY,Guyana,2015,153
GUY,Guyana,2016,151
GUY,Guyana,2017,151
GUY,Guyana,2018,151
GUY,Guyana,2019,153
GUY,Guyana,2020,153
GUY,Guyana,2021,153
GUY,Guyana,2022,153
HTI,Haiti,2011,80000
HTI,Haiti,2012,80000
HTI,Haiti,2013,80000
HTI,Haiti,2014,84591
HTI,Haiti,2015,87607
HTI,Haiti,2016,101093
HTI,Haiti,2017,107323
HTI,Haiti,2018,115649
HTI,Haiti,2019,96208
HTI,Haiti,2020,99399
HTI,Haiti,2021,101282
HTI,Haiti,2022,103166
HND,Honduras,2011,69750
HND,Honduras,2012,70000
HND,Honduras,2013,70000
HND,Honduras,2014,70000
HND,Honduras,2015,70011
HND,Honduras,2016,70030
HND,Honduras,2017,70057
HND,Honduras,2018,70090
HND,Honduras,2019,70197
HND,Honduras,2020,70240
HND,Honduras,2021,70283
HND,Honduras,2022,70327
HUN,Hungary,2011,180
HUN,Hungary,2012,180
HUN,Hungary,2013,200
HUN,Hungary,2014,200
HUN,Hungary,2015,186
HUN,Hungary,2016,176
HUN,Hungary,2017,177
IND,India,2011,191000
IND,India,2012,196378
IND,India,2013,200000
IND,India,2014,200000
IND,India,2015,192343
IND,India,2016,184568
IND,India,2017,174210
IND,India,2018,146234
IND,India,2019,84261
IND,India,2020,69128
IND,India,2021,105986
IND,India,2022,102331
IRN,Iran (Islamic Republic of),2011,175000
IRN,Iran (Islamic Republic of),2012,175000
IRN,Iran (Islamic Republic of),2013,175000
IRN,Iran (Islamic Republic of),2014,175000
IRN,Iran (Islamic Republic of),2015,176501
IRN,Iran (Islamic Republic of),2016,178523
IRN,Iran (Islamic Republic of),2017,180322
IRN,Iran (Islamic Republic of),2018,181356
IRN,Iran (Islamic Republic of),2019,180923
IRN,Iran (Islamic Republic of),2020,180187
IRN,Iran (Islamic Republic of),2021,180420
