iso_code3,Nation,pop_lvst_initial_pigs,Year
ALB,Albania,137304,2023
ALB,Albania,137304,2024
ALB,Albania,137304,2025
ALB,Albania,137304,2026
ALB,Albania,137304,2027
ALB,Albania,137304,2028
ALB,Albania,137304,2029
ALB,Albania,137304,2030
ALB,Albania,137304,2031
ALB,Albania,137304,2032
ALB,Albania,137304,2033
ALB,Albania,137304,2034
ALB,Albania,137304,2035
ALB,Albania,137304,2036
ALB,Albania,137304,2037
ALB,Albania,137304,2038
ALB,Albania,137304,2039
ALB,Albania,137304,2040
ALB,Albania,137304,2041
ALB,Albania,137304,2042
ALB,Albania,137304,2043
ALB,Albania,137304,2044
ALB,Albania,137304,2045
ALB,Albania,137304,2046
ALB,Albania,137304,2047
ALB,Albania,137304,2048
ALB,Albania,137304,2049
ALB,Albania,137304,2050
DZA,Algeria,4718,2023
DZA,Algeria,4718,2024
DZA,Algeria,4718,2025
DZA,Algeria,4718,2026
DZA,Algeria,4718,2027
DZA,Algeria,4718,2028
DZA,Algeria,4718,2029
DZA,Algeria,4718,2030
DZA,Algeria,4718,2031
DZA,Algeria,4718,2032
DZA,Algeria,4718,2033
DZA,Algeria,4718,2034
DZA,Algeria,4718,2035
DZA,Algeria,4718,2036
DZA,Algeria,4718,2037
DZA,Algeria,4718,2038
DZA,Algeria,4718,2039
DZA,Algeria,4718,2040
DZA,Algeria,4718,2041
DZA,Algeria,4718,2042
DZA,Algeria,4718,2043
DZA,Algeria,4718,2044
DZA,Algeria,4718,2045
DZA,Algeria,4718,2046
DZA,Algeria,4718,2047
DZA,Algeria,4718,2048
DZA,Algeria,4718,2049
DZA,Algeria,4718,2050
AGO,Angola,3553953,2023
AGO,Angola,3553953,2024
AGO,Angola,3553953,2025
AGO,Angola,3553953,2026
AGO,Angola,3553953,2027
AGO,Angola,3553953,2028
AGO,Angola,3553953,2029
AGO,Angola,3553953,2030
AGO,Angola,3553953,2031
AGO,Angola,3553953,2032
AGO,Angola,3553953,2033
AGO,Angola,3553953,2034
AGO,Angola,3553953,2035
AGO,Angola,3553953,2036
AGO,Angola,3553953,2037
AGO,Angola,3553953,2038
AGO,Angola,3553953,2039
AGO,Angola,3553953,2040
AGO,Angola,3553953,2041
AGO,Angola,3553953,2042
AGO,Angola,3553953,2043
AGO,Angola,3553953,2044
AGO,Angola,3553953,2045
AGO,Angola,3553953,2046
AGO,Angola,3553953,2047
AGO,Angola,3553953,2048
AGO,Angola,3553953,2049
AGO,Angola,3553953,2050
ATG,Antigua and Barbuda,5386,2023
ATG,Antigua and Barbuda,5386,2024
ATG,Antigua and Barbuda,5386,2025
ATG,Antigua and Barbuda,5386,2026
ATG,Antigua and Barbuda,5386,2027
ATG,Antigua and Barbuda,5386,2028
ATG,Antigua and Barbuda,5386,2029
ATG,Antigua and Barbuda,5386,2030
ATG,Antigua and Barbuda,5386,2031
ATG,Antigua and Barbuda,5386,2032
ATG,Antigua and Barbuda,5386,2033
ATG,Antigua and Barbuda,5386,2034
ATG,Antigua and Barbuda,5386,2035
ATG,Antigua and Barbuda,5386,2036
ATG,Antigua and Barbuda,5386,2037
ATG,Antigua and Barbuda,5386,2038
ATG,Antigua and Barbuda,5386,2039
ATG,Antigua and Barbuda,5386,2040
ATG,Antigua and Barbuda,5386,2041
ATG,Antigua and Barbuda,5386,2042
ATG,Antigua and Barbuda,5386,2043
ATG,Antigua and Barbuda,5386,2044
ATG,Antigua and Barbuda,5386,2045
ATG,Antigua and Barbuda,5386,2046
ATG,Antigua and Barbuda,5386,2047
ATG,Antigua and Barbuda,5386,2048
ATG,Antigua and Barbuda,5386,2049
ATG,Antigua and Barbuda,5386,2050
ARG,Argentina,5569077,2023
ARG,Argentina,5569077,2024
ARG,Argentina,5569077,2025
ARG,Argentina,5569077,2026
ARG,Argentina,5569077,2027
ARG,Argentina,5569077,2028
ARG,Argentina,5569077,2029
ARG,Argentina,5569077,2030
ARG,Argentina,5569077,2031
ARG,Argentina,5569077,2032
ARG,Argentina,5569077,2033
ARG,Argentina,5569077,2034
ARG,Argentina,5569077,2035
ARG,Argentina,5569077,2036
ARG,Argentina,5569077,2037
ARG,Argentina,5569077,2038
ARG,Argentina,5569077,2039
ARG,Argentina,5569077,2040
ARG,Argentina,5569077,2041
ARG,Argentina,5569077,2042
ARG,Argentina,5569077,2043
ARG,Argentina,5569077,2044
ARG,Argentina,5569077,2045
ARG,Argentina,5569077,2046
ARG,Argentina,5569077,2047
ARG,Argentina,5569077,2048
ARG,Argentina,5569077,2049
ARG,Argentina,5569077,2050
ARM,Armenia,166095,2023
ARM,Armenia,166095,2024
ARM,Armenia,166095,2025
ARM,Armenia,166095,2026
ARM,Armenia,166095,2027
ARM,Armenia,166095,2028
ARM,Armenia,166095,2029
ARM,Armenia,166095,2030
ARM,Armenia,166095,2031
ARM,Armenia,166095,2032
ARM,Armenia,166095,2033
ARM,Armenia,166095,2034
ARM,Armenia,166095,2035
ARM,Armenia,166095,2036
ARM,Armenia,166095,2037
ARM,Armenia,166095,2038
ARM,Armenia,166095,2039
ARM,Armenia,166095,2040
ARM,Armenia,166095,2041
ARM,Armenia,166095,2042
ARM,Armenia,166095,2043
ARM,Armenia,166095,2044
ARM,Armenia,166095,2045
ARM,Armenia,166095,2046
ARM,Armenia,166095,2047
ARM,Armenia,166095,2048
ARM,Armenia,166095,2049
ARM,Armenia,166095,2050
AUS,Australia,2598124,2023
AUS,Australia,2598124,2024
AUS,Australia,2598124,2025
AUS,Australia,2598124,2026
AUS,Australia,2598124,2027
AUS,Australia,2598124,2028
AUS,Australia,2598124,2029
AUS,Australia,2598124,2030
AUS,Australia,2598124,2031
AUS,Australia,2598124,2032
AUS,Australia,2598124,2033
AUS,Australia,2598124,2034
AUS,Australia,2598124,2035
AUS,Australia,2598124,2036
AUS,Australia,2598124,2037
AUS,Australia,2598124,2038
AUS,Australia,2598124,2039
AUS,Australia,2598124,2040
AUS,Australia,2598124,2041
AUS,Australia,2598124,2042
