Year,iso_code3,yf_agrc_nuts_tonne_ha
2020,AFG,16379.319822222224
2021,AFG,16641.38893937778
2022,AFG,16907.651162407823
2023,AFG,17178.17358100635
2024,AFG,17453.024358302453
2025,AFG,17732.27274803529
2026,AFG,18015.989112003856
2027,AFG,18304.244937795916
2028,AFG,18597.112856800653
2029,AFG,18894.666662509466
2030,AFG,19196.981329109614
2031,AFG,19504.13303037537
2032,AFG,19816.19915886138
2033,AFG,20133.25834540316
2034,AFG,20455.390478929607
2035,AFG,20782.676726592483
2036,AFG,21115.19955421796
2037,AFG,21453.042747085452
2038,AFG,21796.29143103882
2039,AFG,22145.032093935442
2040,AFG,22499.352607438406
2041,AFG,22859.34224915742
2042,AFG,23225.091725143942
2043,AFG,23596.693192746243
2044,AFG,23974.240283830186
2045,AFG,24357.828128371468
2046,AFG,24747.55337842541
2047,AFG,25143.51423248022
2048,AFG,25545.810460199904
2049,AFG,25954.5434275631
2050,AFG,26369.81612240411
2020,AGO,8074.027822222216
2021,AGO,8203.212267377772
2022,AGO,8334.463663655815
2023,AGO,8467.815082274308
2024,AGO,8603.300123590698
2025,AGO,8740.952925568148
2026,AGO,8880.80817237724
2027,AGO,9022.901103135277
2028,AGO,9167.26752078544
2029,AGO,9313.943801118008
2030,AGO,9462.966901935895
2031,AGO,9614.37437236687
2032,AGO,9768.204362324741
2033,AGO,9924.495632121936
2034,AGO,10083.287562235886
2035,AGO,10244.62016323166
2036,AGO,10408.534085843368
2037,AGO,10575.070631216864
2038,AGO,10744.271761316333
2039,AGO,10916.180109497394
2040,AGO,11090.838991249353
2041,AGO,11268.292415109343
2042,AGO,11448.585093751093
2043,AGO,11631.76245525111
2044,AGO,11817.870654535127
2045,AGO,12006.95658500769
2046,AGO,12199.067890367813
2047,AGO,12394.252976613698
2048,AGO,12592.561024239518
2049,AGO,12794.042000627349
2050,AGO,12998.746672637388
2020,ALB,73041.95591111112
2021,ALB,74210.6272056889
2022,ALB,75397.99724097991
2023,ALB,76604.3651968356
2024,ALB,77830.03503998497
2025,ALB,79075.31560062473
2026,ALB,80340.52065023473
2027,ALB,81625.96898063848
2028,ALB,82931.9844843287
2029,ALB,84258.89623607797
2030,ALB,85607.0385758552
2031,ALB,86976.75119306889
2032,ALB,88368.379212158
2033,ALB,89782.27327955252
2034,ALB,91218.78965202536
2035,ALB,92678.29028645776
2036,ALB,94161.14293104109
2037,ALB,95667.72121793777
2038,ALB,97198.40475742477
2039,ALB,98753.57923354357
2040,ALB,100333.63650128027
2041,ALB,101938.97468530075
2042,ALB,103569.99828026557
2043,ALB,105227.11825274982
2044,ALB,106910.7521447938
2045,ALB,108621.32417911051
2046,ALB,110359.26536597627
2047,ALB,112125.0136118319
2048,ALB,113919.01382962121
2049,ALB,115741.71805089514
2050,ALB,117593.58553970949
2020,ARE,159403.76213333334
2021,ARE,161954.22232746668
2022,ARE,164545.48988470613
2023,ARE,167178.21772286145
2024,ARE,169853.06920642723
2025,ARE,172570.71831373006
2026,ARE,175331.84980674976
2027,ARE,178137.15940365774
2028,ARE,180987.3539541163
2029,ARE,183883.15161738216
2030,ARE,186825.28204326026
2031,ARE,189814.48655595243
2032,ARE,192851.5183408477
2033,ARE,195937.14263430124
2034,ARE,199072.13691645005
2035,ARE,202257.29110711324
2036,ARE,205493.40776482708
2037,ARE,208781.30228906433
2038,ARE,212121.80312568933
2039,ARE,215515.75197570038
2040,ARE,218964.0040073116
2041,ARE,222467.42807142859
2042,ARE,226026.90692057146
2043,ARE,229643.33743130058
2044,ARE,233317.6308302014
2045,ARE,237050.71292348462
2046,ARE,240843.52433026038
2047,ARE,244697.02071954453
2048,ARE,248612.17305105727
2049,ARE,252589.96781987417
2050,ARE,256631.40730499217
2020,ARG,20461.20142222223
2021,ARG,20788.58064497779
2022,ARG,21121.19793529743
2023,ARG,21459.13710226219
2024,ARG,21802.483295898386
2025,ARG,22151.32302863276
2026,ARG,22505.744197090884
2027,ARG,22865.83610424434
2028,ARG,23231.68948191225
2029,ARG,23603.396513622847
2030,ARG,23981.050857840808
2031,ARG,24364.747671566267
2032,ARG,24754.583634311326
2033,ARG,25150.656972460307
2034,ARG,25553.06748401967
2035,ARG,25961.916563763985
2036,ARG,26377.307228784208
2037,ARG,26799.34414444476
2038,ARG,27228.133650755874
2039,ARG,27663.78378916797
2040,ARG,28106.40432979466
2041,ARG,28556.10679907137
2042,ARG,29013.004507856516
2043,ARG,29477.21257998222
2044,ARG,29948.847981261933
2045,ARG,30428.029548962128
2046,ARG,30914.87802174552
2047,ARG,31409.51607009345
2048,ARG,31912.068327214947
2049,ARG,32422.661420450382
2050,ARG,32941.42400317759
2020,ARM,20262.86128888889
2021,ARM,20587.06706951111
2022,ARM,20916.460142623288
2023,ARM,21251.123504905263
2024,ARM,21591.141480983748
2025,ARM,21936.599744679486
2026,ARM,22287.58534059436
2027,ARM,22644.18670604387
2028,ARM,23006.493693340573
2029,ARM,23374.597592434024
2030,ARM,23748.591153912963
2031,ARM,24128.568612375573
2032,ARM,24514.625710173586
2033,ARM,24906.859721536362
2034,ARM,25305.36947708094
2035,ARM,25710.255388714235
2036,ARM,26121.619474933665
2037,ARM,26539.565386532606
