iso_code3,Nation,Year,yf_agrc_pulses_tonne_ha
AFG,Afghanistan,2020,6503.0
AFG,Afghanistan,2021,6503.0
AFG,Afghanistan,2022,6503.0
AFG,Afghanistan,2023,6503.0
AFG,Afghanistan,2024,6503.0
AFG,Afghanistan,2025,6503.0
AFG,Afghanistan,2026,6503.0
AFG,Afghanistan,2027,6503.0
AFG,Afghanistan,2028,6503.0
AFG,Afghanistan,2029,6503.0
AFG,Afghanistan,2030,6503.0
AFG,Afghanistan,2031,6503.0
AFG,Afghanistan,2032,6503.0
AFG,Afghanistan,2033,6503.0
AFG,Afghanistan,2034,6503.0
AFG,Afghanistan,2035,6503.0
AFG,Afghanistan,2036,6503.0
AFG,Afghanistan,2037,6503.0
AFG,Afghanistan,2038,6503.0
AFG,Afghanistan,2039,6503.0
AFG,Afghanistan,2040,6503.0
AFG,Afghanistan,2041,6503.0
AFG,Afghanistan,2042,6503.0
AFG,Afghanistan,2043,6503.0
AFG,Afghanistan,2044,6503.0
AFG,Afghanistan,2045,6503.0
AFG,Afghanistan,2046,6503.0
AFG,Afghanistan,2047,6503.0
AFG,Afghanistan,2048,6503.0
AFG,Afghanistan,2049,6503.0
AFG,Afghanistan,2050,6503.0
AGO,Angola,2020,4046.0
AGO,Angola,2021,4046.0
AGO,Angola,2022,4046.0
AGO,Angola,2023,4046.0
AGO,Angola,2024,4046.0
AGO,Angola,2025,4046.0
AGO,Angola,2026,4046.0
AGO,Angola,2027,4046.0
AGO,Angola,2028,4046.0
AGO,Angola,2029,4046.0
AGO,Angola,2030,4046.0
AGO,Angola,2031,4046.0
AGO,Angola,2032,4046.0
AGO,Angola,2033,4046.0
AGO,Angola,2034,4046.0
AGO,Angola,2035,4046.0
AGO,Angola,2036,4046.0
AGO,Angola,2037,4046.0
AGO,Angola,2038,4046.0
AGO,Angola,2039,4046.0
AGO,Angola,2040,4046.0
AGO,Angola,2041,4046.0
AGO,Angola,2042,4046.0
AGO,Angola,2043,4046.0
AGO,Angola,2044,4046.0
AGO,Angola,2045,4046.0
AGO,Angola,2046,4046.0
AGO,Angola,2047,4046.0
AGO,Angola,2048,4046.0
AGO,Angola,2049,4046.0
AGO,Angola,2050,4046.0
ALB,Albania,2020,45839.166666666664
ALB,Albania,2021,45839.166666666664
ALB,Albania,2022,45839.166666666664
ALB,Albania,2023,45839.166666666664
ALB,Albania,2024,45839.166666666664
ALB,Albania,2025,45839.166666666664
ALB,Albania,2026,45839.166666666664
ALB,Albania,2027,45839.166666666664
ALB,Albania,2028,45839.166666666664
ALB,Albania,2029,45839.166666666664
ALB,Albania,2030,45839.166666666664
ALB,Albania,2031,45839.166666666664
ALB,Albania,2032,45839.166666666664
ALB,Albania,2033,45839.166666666664
ALB,Albania,2034,45839.166666666664
ALB,Albania,2035,45839.166666666664
ALB,Albania,2036,45839.166666666664
ALB,Albania,2037,45839.166666666664
ALB,Albania,2038,45839.166666666664
ALB,Albania,2039,45839.166666666664
ALB,Albania,2040,45839.166666666664
ALB,Albania,2041,45839.166666666664
ALB,Albania,2042,45839.166666666664
ALB,Albania,2043,45839.166666666664
ALB,Albania,2044,45839.166666666664
ALB,Albania,2045,45839.166666666664
ALB,Albania,2046,45839.166666666664
ALB,Albania,2047,45839.166666666664
ALB,Albania,2048,45839.166666666664
ALB,Albania,2049,45839.166666666664
ALB,Albania,2050,45839.166666666664
ARE,United Arab Emirates,2020,295524.0
ARE,United Arab Emirates,2021,295524.0
ARE,United Arab Emirates,2022,295524.0
ARE,United Arab Emirates,2023,295524.0
ARE,United Arab Emirates,2024,295524.0
ARE,United Arab Emirates,2025,295524.0
ARE,United Arab Emirates,2026,295524.0
ARE,United Arab Emirates,2027,295524.0
ARE,United Arab Emirates,2028,295524.0
ARE,United Arab Emirates,2029,295524.0
ARE,United Arab Emirates,2030,295524.0
ARE,United Arab Emirates,2031,295524.0
ARE,United Arab Emirates,2032,295524.0
ARE,United Arab Emirates,2033,295524.0
ARE,United Arab Emirates,2034,295524.0
ARE,United Arab Emirates,2035,295524.0
ARE,United Arab Emirates,2036,295524.0
ARE,United Arab Emirates,2037,295524.0
ARE,United Arab Emirates,2038,295524.0
ARE,United Arab Emirates,2039,295524.0
