iso_code3,Nation,Year,yf_agrc_tubers_tonne_ha
AFG,Afghanistan,2023,19.772685625
AFG,Afghanistan,2024,19.772685625
AFG,Afghanistan,2025,19.772685625
AFG,Afghanistan,2026,19.772685625
AFG,Afghanistan,2027,19.772685625
AFG,Afghanistan,2028,19.772685625
AFG,Afghanistan,2029,19.772685625
AFG,Afghanistan,2030,19.772685625
AFG,Afghanistan,2031,19.772685625
AFG,Afghanistan,2032,19.772685625
AFG,Afghanistan,2033,19.772685625
AFG,Afghanistan,2034,19.772685625
AFG,Afghanistan,2035,19.772685625
AFG,Afghanistan,2036,19.772685625
AFG,Afghanistan,2037,19.772685625
AFG,Afghanistan,2038,19.772685625
AFG,Afghanistan,2039,19.772685625
AFG,Afghanistan,2040,19.772685625
AFG,Afghanistan,2041,19.772685625
AFG,Afghanistan,2042,19.772685625
AFG,Afghanistan,2043,19.772685625
AFG,Afghanistan,2044,19.772685625
AFG,Afghanistan,2045,19.772685625
AFG,Afghanistan,2046,19.772685625
AFG,Afghanistan,2047,19.772685625
AFG,Afghanistan,2048,19.772685625
AFG,Afghanistan,2049,19.772685625
AFG,Afghanistan,2050,19.772685625
AGO,Angola,2023,32.383828526500004
AGO,Angola,2024,32.383828526500004
AGO,Angola,2025,32.383828526500004
AGO,Angola,2026,32.383828526500004
AGO,Angola,2027,32.383828526500004
AGO,Angola,2028,32.383828526500004
AGO,Angola,2029,32.383828526500004
AGO,Angola,2030,32.383828526500004
AGO,Angola,2031,32.383828526500004
AGO,Angola,2032,32.383828526500004
AGO,Angola,2033,32.383828526500004
AGO,Angola,2034,32.383828526500004
AGO,Angola,2035,32.383828526500004
AGO,Angola,2036,32.383828526500004
AGO,Angola,2037,32.383828526500004
AGO,Angola,2038,32.383828526500004
AGO,Angola,2039,32.383828526500004
AGO,Angola,2040,32.383828526500004
AGO,Angola,2041,32.383828526500004
AGO,Angola,2042,32.383828526500004
AGO,Angola,2043,32.383828526500004
AGO,Angola,2044,32.383828526500004
AGO,Angola,2045,32.383828526500004
AGO,Angola,2046,32.383828526500004
AGO,Angola,2047,32.383828526500004
AGO,Angola,2048,32.383828526500004
AGO,Angola,2049,32.383828526500004
AGO,Angola,2050,32.383828526500004
ALB,Albania,2023,36.348782481
ALB,Albania,2024,36.348782481
ALB,Albania,2025,36.348782481
ALB,Albania,2026,36.348782481
ALB,Albania,2027,36.348782481
ALB,Albania,2028,36.348782481
ALB,Albania,2029,36.348782481
ALB,Albania,2030,36.348782481
ALB,Albania,2031,36.348782481
ALB,Albania,2032,36.348782481
ALB,Albania,2033,36.348782481
ALB,Albania,2034,36.348782481
ALB,Albania,2035,36.348782481
ALB,Albania,2036,36.348782481
ALB,Albania,2037,36.348782481
ALB,Albania,2038,36.348782481
ALB,Albania,2039,36.348782481
ALB,Albania,2040,36.348782481
ALB,Albania,2041,36.348782481
ALB,Albania,2042,36.348782481
ALB,Albania,2043,36.348782481
ALB,Albania,2044,36.348782481
ALB,Albania,2045,36.348782481
ALB,Albania,2046,36.348782481
ALB,Albania,2047,36.348782481
ALB,Albania,2048,36.348782481
ALB,Albania,2049,36.348782481
ALB,Albania,2050,36.348782481
ARE,United Arab Emirates,2023,10.076766865
ARE,United Arab Emirates,2024,10.076766865
ARE,United Arab Emirates,2025,10.076766865
ARE,United Arab Emirates,2026,10.076766865
ARE,United Arab Emirates,2027,10.076766865
ARE,United Arab Emirates,2028,10.076766865
ARE,United Arab Emirates,2029,10.076766865
ARE,United Arab Emirates,2030,10.076766865
ARE,United Arab Emirates,2031,10.076766865
ARE,United Arab Emirates,2032,10.076766865
ARE,United Arab Emirates,2033,10.076766865
ARE,United Arab Emirates,2034,10.076766865
ARE,United Arab Emirates,2035,10.076766865
ARE,United Arab Emirates,2036,10.076766865
ARE,United Arab Emirates,2037,10.076766865
ARE,United Arab Emirates,2038,10.076766865
ARE,United Arab Emirates,2039,10.076766865
ARE,United Arab Emirates,2040,10.076766865
ARE,United Arab Emirates,2041,10.076766865
ARE,United Arab Emirates,2042,10.076766865
ARE,United Arab Emirates,2043,10.076766865
ARE,United Arab Emirates,2044,10.076766865
ARE,United Arab Emirates,2045,10.076766865
ARE,United Arab Emirates,2046,10.076766865
ARE,United Arab Emirates,2047,10.076766865
ARE,United Arab Emirates,2048,10.076766865
ARE,United Arab Emirates,2049,10.076766865
ARE,United Arab Emirates,2050,10.076766865
ARG,Argentina,2023,4.548682215
ARG,Argentina,2024,4.548682215
ARG,Argentina,2025,4.548682215
ARG,Argentina,2026,4.548682215
ARG,Argentina,2027,4.548682215
ARG,Argentina,2028,4.548682215
ARG,Argentina,2029,4.548682215
ARG,Argentina,2030,4.548682215
ARG,Argentina,2031,4.548682215
ARG,Argentina,2032,4.548682215
ARG,Argentina,2033,4.548682215
ARG,Argentina,2034,4.548682215
ARG,Argentina,2035,4.548682215
ARG,Argentina,2036,4.548682215
ARG,Argentina,2037,4.548682215
ARG,Argentina,2038,4.548682215
ARG,Argentina,2039,4.548682215
ARG,Argentina,2040,4.548682215
ARG,Argentina,2041,4.548682215
ARG,Argentina,2042,4.548682215
ARG,Argentina,2043,4.548682215
ARG,Argentina,2044,4.548682215
ARG,Argentina,2045,4.548682215
ARG,Argentina,2046,4.548682215
ARG,Argentina,2047,4.548682215
ARG,Argentina,2048,4.548682215
ARG,Argentina,2049,4.548682215
ARG,Argentina,2050,4.548682215
ARM,Armenia,2023,21.340354163333334
ARM,Armenia,2024,21.340354163333334
ARM,Armenia,2025,21.340354163333334
ARM,Armenia,2026,21.340354163333334
ARM,Armenia,2027,21.340354163333334
ARM,Armenia,2028,21.340354163333334
ARM,Armenia,2029,21.340354163333334
ARM,Armenia,2030,21.340354163333334
ARM,Armenia,2031,21.340354163333334
ARM,Armenia,2032,21.340354163333334
ARM,Armenia,2033,21.340354163333334
ARM,Armenia,2034,21.340354163333334
ARM,Armenia,2035,21.340354163333334
ARM,Armenia,2036,21.340354163333334
ARM,Armenia,2037,21.340354163333334
ARM,Armenia,2038,21.340354163333334
ARM,Armenia,2039,21.340354163333334
ARM,Armenia,2040,21.340354163333334
ARM,Armenia,2041,21.340354163333334
ARM,Armenia,2042,21.340354163333334
ARM,Armenia,2043,21.340354163333334
ARM,Armenia,2044,21.340354163333334
ARM,Armenia,2045,21.340354163333334
ARM,Armenia,2046,21.340354163333334
ARM,Armenia,2047,21.340354163333334
ARM,Armenia,2048,21.340354163333334
ARM,Armenia,2049,21.340354163333334
ARM,Armenia,2050,21.340354163333334
ATG,Antigua and Barbuda,2023,18.370547305
ATG,Antigua and Barbuda,2024,18.370547305
