"iso_code3","frac_waso_initial_composition_mun_other","Year"
"ABW",0.0366927259477709,2010
"ABW",0.0366927259477709,2011
"ABW",0.0366927259477709,2012
"ABW",0.0366927259477709,2013
"ABW",0.0366927259477709,2014
"ABW",0.0366927259477709,2015
"ABW",0.0366927259477709,2016
"ABW",0.0366927259477709,2017
"ABW",0.0366927259477709,2018
"ABW",0.0366927259477709,2019
"ABW",0.0366927259477709,2020
"AFG",0.0385827975344047,2010
"AFG",0.0385827975344047,2011
"AFG",0.0385827975344047,2012
"AFG",0.0385827975344047,2013
"AFG",0.0385827975344047,2014
"AFG",0.0385827975344047,2015
"AFG",0.0385827975344047,2016
"AFG",0.0385827975344047,2017
"AFG",0.0385827975344047,2018
"AFG",0.0385827975344047,2019
"AFG",0.0385827975344047,2020
"AGO",0.023,2010
"AGO",0.023,2011
"AGO",0.023,2012
"AGO",0.023,2013
"AGO",0.023,2014
"AGO",0.023,2015
"AGO",0.023,2016
"AGO",0.023,2017
"AGO",0.023,2018
"AGO",0.023,2019
"AGO",0.023,2020
"ALB",0.03042,2010
"ALB",0.03042,2011
"ALB",0.03042,2012
"ALB",0.03042,2013
"ALB",0.03042,2014
"ALB",0.03042,2015
"ALB",0.03042,2016
"ALB",0.03042,2017
"ALB",0.03042,2018
"ALB",0.03042,2019
"ALB",0.03042,2020
"AND",0.0232,2010
"AND",0.0232,2011
"AND",0.0232,2012
"AND",0.0232,2013
"AND",0.0232,2014
"AND",0.0232,2015
"AND",0.0232,2016
"AND",0.0232,2017
"AND",0.0232,2018
"AND",0.0232,2019
"AND",0.0232,2020
"ARE",0.02,2010
"ARE",0.02,2011
"ARE",0.02,2012
"ARE",0.02,2013
"ARE",0.02,2014
"ARE",0.02,2015
"ARE",0.02,2016
"ARE",0.02,2017
"ARE",0.02,2018
"ARE",0.02,2019
"ARE",0.02,2020
"ARG",0.03072,2010
"ARG",0.03072,2011
"ARG",0.03072,2012
"ARG",0.03072,2013
"ARG",0.03072,2014
"ARG",0.03072,2015
"ARG",0.03072,2016
"ARG",0.03072,2017
"ARG",0.03072,2018
"ARG",0.03072,2019
"ARG",0.03072,2020
"ARM",0.0348,2010
"ARM",0.0348,2011
"ARM",0.0348,2012
"ARM",0.0348,2013
"ARM",0.0348,2014
"ARM",0.0348,2015
"ARM",0.0348,2016
"ARM",0.0348,2017
"ARM",0.0348,2018
"ARM",0.0348,2019
"ARM",0.0348,2020
"ASM",0.0512,2010
"ASM",0.0512,2011
"ASM",0.0512,2012
"ASM",0.0512,2013
"ASM",0.0512,2014
"ASM",0.0512,2015
"ASM",0.0512,2016
"ASM",0.0512,2017
"ASM",0.0512,2018
"ASM",0.0512,2019
"ASM",0.0512,2020
"ATG",0.024,2010
"ATG",0.024,2011
"ATG",0.024,2012
"ATG",0.024,2013
"ATG",0.024,2014
"ATG",0.024,2015
"ATG",0.024,2016
"ATG",0.024,2017
"ATG",0.024,2018
"ATG",0.024,2019
"ATG",0.024,2020
"AUS",0.00692,2010
"AUS",0.00692,2011
"AUS",0.00692,2012
"AUS",0.00692,2013
"AUS",0.00692,2014
"AUS",0.00692,2015
"AUS",0.00692,2016
"AUS",0.00692,2017
"AUS",0.00692,2018
"AUS",0.00692,2019
"AUS",0.00692,2020
"AUT",0.037,2010
"AUT",0.037,2011
"AUT",0.037,2012
"AUT",0.037,2013
"AUT",0.037,2014
"AUT",0.037,2015
"AUT",0.037,2016
"AUT",0.037,2017
"AUT",0.037,2018
"AUT",0.037,2019
"AUT",0.037,2020
"AZE",0.02746,2010
"AZE",0.02746,2011
"AZE",0.02746,2012
"AZE",0.02746,2013
"AZE",0.02746,2014
"AZE",0.02746,2015
"AZE",0.02746,2016
"AZE",0.02746,2017
"AZE",0.02746,2018
"AZE",0.02746,2019
"AZE",0.02746,2020
"BDI",0.0064,2010
"BDI",0.0064,2011
"BDI",0.0064,2012
"BDI",0.0064,2013
"BDI",0.0064,2014
"BDI",0.0064,2015
"BDI",0.0064,2016
"BDI",0.0064,2017
"BDI",0.0064,2018
"BDI",0.0064,2019
"BDI",0.0064,2020
"BEL",0.08028,2010
"BEL",0.08028,2011
"BEL",0.08028,2012
"BEL",0.08028,2013
"BEL",0.08028,2014
"BEL",0.08028,2015
"BEL",0.08028,2016
"BEL",0.08028,2017
"BEL",0.08028,2018
"BEL",0.08028,2019
"BEL",0.08028,2020
"BEN",0.0686,2010
"BEN",0.0686,2011
"BEN",0.0686,2012
"BEN",0.0686,2013
"BEN",0.0686,2014
"BEN",0.0686,2015
"BEN",0.0686,2016
"BEN",0.0686,2017
"BEN",0.0686,2018
"BEN",0.0686,2019
"BEN",0.0686,2020
"BFA",0.122,2010
"BFA",0.122,2011
"BFA",0.122,2012
"BFA",0.122,2013
"BFA",0.122,2014
"BFA",0.122,2015
"BFA",0.122,2016
"BFA",0.122,2017
"BFA",0.122,2018
"BFA",0.122,2019
"BFA",0.122,2020
"BGD",0.01718,2010
"BGD",0.01718,2011
"BGD",0.01718,2012
"BGD",0.01718,2013
"BGD",0.01718,2014
"BGD",0.01718,2015
"BGD",0.01718,2016
"BGD",0.01718,2017
"BGD",0.01718,2018
"BGD",0.01718,2019
"BGD",0.01718,2020
"BGR",0.03586,2010
"BGR",0.03586,2011
"BGR",0.03586,2012
"BGR",0.03586,2013
"BGR",0.03586,2014
"BGR",0.03586,2015
"BGR",0.03586,2016
"BGR",0.03586,2017
"BGR",0.03586,2018
"BGR",0.03586,2019
"BGR",0.03586,2020
"BHR",0.0304,2010
"BHR",0.0304,2011
"BHR",0.0304,2012
"BHR",0.0304,2013
"BHR",0.0304,2014
"BHR",0.0304,2015
"BHR",0.0304,2016
"BHR",0.0304,2017
"BHR",0.0304,2018
"BHR",0.0304,2019
"BHR",0.0304,2020
"BHS",0.024,2010
"BHS",0.024,2011
"BHS",0.024,2012
"BHS",0.024,2013
"BHS",0.024,2014
"BHS",0.024,2015
"BHS",0.024,2016
"BHS",0.024,2017
"BHS",0.024,2018
"BHS",0.024,2019
"BHS",0.024,2020
"BIH",0.1854,2010
"BIH",0.1854,2011
"BIH",0.1854,2012
"BIH",0.1854,2013
"BIH",0.1854,2014
"BIH",0.1854,2015
"BIH",0.1854,2016
"BIH",0.1854,2017
"BIH",0.1854,2018
"BIH",0.1854,2019
"BIH",0.1854,2020
"BLR",0.07,2010
"BLR",0.07,2011
"BLR",0.07,2012
"BLR",0.07,2013
"BLR",0.07,2014
"BLR",0.07,2015
"BLR",0.07,2016
"BLR",0.07,2017
"BLR",0.07,2018
"BLR",0.07,2019
"BLR",0.07,2020
"BLZ",0.01,2010
"BLZ",0.01,2011
"BLZ",0.01,2012
"BLZ",0.01,2013
"BLZ",0.01,2014
"BLZ",0.01,2015
"BLZ",0.01,2016
"BLZ",0.01,2017
"BLZ",0.01,2018
"BLZ",0.01,2019
"BLZ",0.01,2020
"BMU",0.052,2010
"BMU",0.052,2011
"BMU",0.052,2012
"BMU",0.052,2013
"BMU",0.052,2014
"BMU",0.052,2015
"BMU",0.052,2016
"BMU",0.052,2017
"BMU",0.052,2018
"BMU",0.052,2019
