"iso_code3","frac_waso_initial_composition_mun_other","Year"
"ABW",0.0366927259477709,2021
"ABW",0.0366927259477709,2022
"ABW",0.0366927259477709,2023
"ABW",0.0366927259477709,2024
"ABW",0.0366927259477709,2025
"ABW",0.0366927259477709,2026
"ABW",0.0366927259477709,2027
"ABW",0.0366927259477709,2028
"ABW",0.0366927259477709,2029
"ABW",0.0366927259477709,2030
"ABW",0.0366927259477709,2031
"ABW",0.0366927259477709,2032
"ABW",0.0366927259477709,2033
"ABW",0.0366927259477709,2034
"ABW",0.0366927259477709,2035
"ABW",0.0366927259477709,2036
"ABW",0.0366927259477709,2037
"ABW",0.0366927259477709,2038
"ABW",0.0366927259477709,2039
"ABW",0.0366927259477709,2040
"ABW",0.0366927259477709,2041
"ABW",0.0366927259477709,2042
"ABW",0.0366927259477709,2043
"ABW",0.0366927259477709,2044
"ABW",0.0366927259477709,2045
"ABW",0.0366927259477709,2046
"ABW",0.0366927259477709,2047
"ABW",0.0366927259477709,2048
"ABW",0.0366927259477709,2049
"ABW",0.0366927259477709,2050
"AFG",0.0385827975344047,2021
"AFG",0.0385827975344047,2022
"AFG",0.0385827975344047,2023
"AFG",0.0385827975344047,2024
"AFG",0.0385827975344047,2025
"AFG",0.0385827975344047,2026
"AFG",0.0385827975344047,2027
"AFG",0.0385827975344047,2028
"AFG",0.0385827975344047,2029
"AFG",0.0385827975344047,2030
"AFG",0.0385827975344047,2031
"AFG",0.0385827975344047,2032
"AFG",0.0385827975344047,2033
"AFG",0.0385827975344047,2034
"AFG",0.0385827975344047,2035
"AFG",0.0385827975344047,2036
"AFG",0.0385827975344047,2037
"AFG",0.0385827975344047,2038
"AFG",0.0385827975344047,2039
"AFG",0.0385827975344047,2040
"AFG",0.0385827975344047,2041
"AFG",0.0385827975344047,2042
"AFG",0.0385827975344047,2043
"AFG",0.0385827975344047,2044
"AFG",0.0385827975344047,2045
"AFG",0.0385827975344047,2046
"AFG",0.0385827975344047,2047
"AFG",0.0385827975344047,2048
"AFG",0.0385827975344047,2049
"AFG",0.0385827975344047,2050
"AGO",0.023,2021
"AGO",0.023,2022
"AGO",0.023,2023
"AGO",0.023,2024
"AGO",0.023,2025
"AGO",0.023,2026
"AGO",0.023,2027
"AGO",0.023,2028
"AGO",0.023,2029
"AGO",0.023,2030
"AGO",0.023,2031
"AGO",0.023,2032
"AGO",0.023,2033
"AGO",0.023,2034
"AGO",0.023,2035
"AGO",0.023,2036
"AGO",0.023,2037
"AGO",0.023,2038
"AGO",0.023,2039
"AGO",0.023,2040
"AGO",0.023,2041
