Year,iso_code3,frac_waso_non_recycled_incinerated
2010,ABW,0.3067798927090948
2011,ABW,0.3067798927090948
2012,ABW,0.3067798927090948
2013,ABW,0.3067798927090948
2014,ABW,0.3067798927090948
2015,ABW,0.3067798927090948
2016,ABW,0.3067798927090948
2017,ABW,0.3067798927090948
2018,ABW,0.3067798927090948
2019,ABW,0.3067798927090948
2020,ABW,0.3067798927090948
2010,AFG,0.20981280666365218
2011,AFG,0.20981280666365218
2012,AFG,0.20981280666365218
2013,AFG,0.20981280666365218
2014,AFG,0.20981280666365218
2015,AFG,0.20981280666365218
2016,AFG,0.20981280666365218
2017,AFG,0.20981280666365218
2018,AFG,0.20981280666365218
2019,AFG,0.20981280666365218
2020,AFG,0.20981280666365218
2010,AGO,0.22893262682571539
2011,AGO,0.22893262682571539
2012,AGO,0.22893262682571539
2013,AGO,0.22893262682571539
2014,AGO,0.22893262682571539
2015,AGO,0.22893262682571539
2016,AGO,0.22893262682571539
2017,AGO,0.22893262682571539
2018,AGO,0.22893262682571539
2019,AGO,0.22893262682571539
2020,AGO,0.22893262682571539
2010,ALB,0.24489534916314795
2011,ALB,0.24489534916314795
2012,ALB,0.24489534916314795
2013,ALB,0.24489534916314795
2014,ALB,0.24489534916314795
2015,ALB,0.24489534916314795
2016,ALB,0.24489534916314795
2017,ALB,0.24489534916314795
2018,ALB,0.24489534916314795
2019,ALB,0.24489534916314795
2020,ALB,0.24489534916314795
2010,AND,0.4818811732588128
2011,AND,0.4818811732588128
2012,AND,0.4818811732588128
2013,AND,0.4818811732588128
2014,AND,0.4818811732588128
2015,AND,0.4818811732588128
2016,AND,0.4818811732588128
2017,AND,0.4818811732588128
2018,AND,0.4818811732588128
2019,AND,0.4818811732588128
2020,AND,0.4818811732588128
2010,ARE,0.32692638053477185
2011,ARE,0.32692638053477185
2012,ARE,0.32692638053477185
2013,ARE,0.32692638053477185
2014,ARE,0.32692638053477185
2015,ARE,0.32692638053477185
2016,ARE,0.32692638053477185
2017,ARE,0.32692638053477185
2018,ARE,0.32692638053477185
2019,ARE,0.32692638053477185
2020,ARE,0.32692638053477185
2010,ARG,0.4033251080639334
2011,ARG,0.4033251080639334
2012,ARG,0.4033251080639334
2013,ARG,0.4033251080639334
2014,ARG,0.4033251080639334
2015,ARG,0.4033251080639334
2016,ARG,0.4033251080639334
2017,ARG,0.4033251080639334
2018,ARG,0.4033251080639334
2019,ARG,0.4033251080639334
2020,ARG,0.4033251080639334
2010,ARM,0.1471236682089353
2011,ARM,0.1471236682089353
2012,ARM,0.1471236682089353
2013,ARM,0.1471236682089353
2014,ARM,0.1471236682089353
2015,ARM,0.1471236682089353
2016,ARM,0.1471236682089353
2017,ARM,0.1471236682089353
2018,ARM,0.1471236682089353
2019,ARM,0.1471236682089353
2020,ARM,0.1471236682089353
2010,ASM,0.23641254514895352
2011,ASM,0.23641254514895352
2012,ASM,0.23641254514895352
2013,ASM,0.23641254514895352
2014,ASM,0.23641254514895352
2015,ASM,0.23641254514895352
2016,ASM,0.23641254514895352
2017,ASM,0.23641254514895352
2018,ASM,0.23641254514895352
2019,ASM,0.23641254514895352
2020,ASM,0.23641254514895352
2010,ATG,0.11138697413947125
2011,ATG,0.11138697413947125
2012,ATG,0.11138697413947125
2013,ATG,0.11138697413947125
2014,ATG,0.11138697413947125
2015,ATG,0.11138697413947125
2016,ATG,0.11138697413947125
2017,ATG,0.11138697413947125
2018,ATG,0.11138697413947125
2019,ATG,0.11138697413947125
2020,ATG,0.11138697413947125
2010,AUS,0.08543047284129092
2011,AUS,0.08543047284129092
2012,AUS,0.08543047284129092
2013,AUS,0.08543047284129092
2014,AUS,0.08543047284129092
2015,AUS,0.08543047284129092
2016,AUS,0.08543047284129092
2017,AUS,0.08543047284129092
2018,AUS,0.08543047284129092
2019,AUS,0.08543047284129092
2020,AUS,0.08543047284129092
2010,AUT,0.3912351595158775
2011,AUT,0.3912351595158775
2012,AUT,0.3912351595158775
2013,AUT,0.3912351595158775
2014,AUT,0.3912351595158775
2015,AUT,0.3912351595158775
2016,AUT,0.3912351595158775
2017,AUT,0.3912351595158775
2018,AUT,0.3912351595158775
2019,AUT,0.3912351595158775
2020,AUT,0.3912351595158775
2010,AZE,0.15583037836119998
2011,AZE,0.15583037836119998
2012,AZE,0.15583037836119998
2013,AZE,0.15583037836119998
2014,AZE,0.15583037836119998
2015,AZE,0.15583037836119998
2016,AZE,0.15583037836119998
2017,AZE,0.15583037836119998
2018,AZE,0.15583037836119998
2019,AZE,0.15583037836119998
2020,AZE,0.15583037836119998
2010,BDI,0.20287144598898288
2011,BDI,0.20287144598898288
2012,BDI,0.20287144598898288
2013,BDI,0.20287144598898288
2014,BDI,0.20287144598898288
2015,BDI,0.20287144598898288
2016,BDI,0.20287144598898288
2017,BDI,0.20287144598898288
2018,BDI,0.20287144598898288
2019,BDI,0.20287144598898288
2020,BDI,0.20287144598898288
2010,BEL,0.4329282737851232
2011,BEL,0.4329282737851232
2012,BEL,0.4329282737851232
