"iso_code3","frac_waso_non_recycled_landfilled","Year"
"ABW",0,2010
"ABW",0,2011
"ABW",0,2012
"ABW",0,2013
"ABW",0,2014
"ABW",0,2015
"ABW",0,2016
"ABW",0,2017
"ABW",0,2018
"ABW",0,2019
"ABW",0,2020
"AFG",0,2010
"AFG",0,2011
"AFG",0,2012
"AFG",0,2013
"AFG",0,2014
"AFG",0,2015
"AFG",0,2016
"AFG",0,2017
"AFG",0,2018
"AFG",0,2019
"AFG",0,2020
"AGO",0,2010
"AGO",0,2011
"AGO",0,2012
"AGO",0,2013
"AGO",0,2014
"AGO",0,2015
"AGO",0,2016
"AGO",0,2017
"AGO",0,2018
"AGO",0,2019
"AGO",0,2020
"ALB",0,2010
"ALB",0,2011
"ALB",0,2012
"ALB",0,2013
"ALB",0,2014
"ALB",0,2015
"ALB",0,2016
"ALB",0,2017
"ALB",0,2018
"ALB",0,2019
"ALB",0,2020
"AND",0,2010
"AND",0,2011
"AND",0,2012
"AND",0,2013
"AND",0,2014
"AND",0,2015
"AND",0,2016
"AND",0,2017
"AND",0,2018
"AND",0,2019
"AND",0,2020
"ARE",0.09,2010
"ARE",0.09,2011
"ARE",0.09,2012
"ARE",0.09,2013
"ARE",0.09,2014
"ARE",0.09,2015
"ARE",0.09,2016
"ARE",0.09,2017
"ARE",0.09,2018
"ARE",0.09,2019
"ARE",0.09,2020
"ARG",0.089,2010
"ARG",0.089,2011
"ARG",0.089,2012
"ARG",0.089,2013
"ARG",0.089,2014
"ARG",0.089,2015
"ARG",0.089,2016
"ARG",0.089,2017
"ARG",0.089,2018
"ARG",0.089,2019
"ARG",0.089,2020
"ARM",0,2010
"ARM",0,2011
"ARM",0,2012
"ARM",0,2013
"ARM",0,2014
"ARM",0,2015
"ARM",0,2016
"ARM",0,2017
"ARM",0,2018
"ARM",0,2019
"ARM",0,2020
"ASM",0,2010
"ASM",0,2011
"ASM",0,2012
"ASM",0,2013
"ASM",0,2014
"ASM",0,2015
"ASM",0,2016
"ASM",0,2017
"ASM",0,2018
"ASM",0,2019
"ASM",0,2020
"ATG",0.9868,2010
"ATG",0.9868,2011
"ATG",0.9868,2012
"ATG",0.9868,2013
"ATG",0.9868,2014
"ATG",0.9868,2015
"ATG",0.9868,2016
"ATG",0.9868,2017
"ATG",0.9868,2018
"ATG",0.9868,2019
"ATG",0.9868,2020
"AUS",0.4887,2010
"AUS",0.4887,2011
"AUS",0.4887,2012
"AUS",0.4887,2013
"AUS",0.4887,2014
"AUS",0.4887,2015
"AUS",0.4887,2016
"AUS",0.4887,2017
"AUS",0.4887,2018
"AUS",0.4887,2019
"AUS",0.4887,2020
"AUT",0.0298,2010
"AUT",0.0298,2011
"AUT",0.0298,2012
"AUT",0.0298,2013
"AUT",0.0298,2014
"AUT",0.0298,2015
"AUT",0.0298,2016
"AUT",0.0298,2017
"AUT",0.0298,2018
"AUT",0.0298,2019
"AUT",0.0298,2020
"AZE",0,2010
"AZE",0,2011
"AZE",0,2012
"AZE",0,2013
"AZE",0,2014
"AZE",0,2015
"AZE",0,2016
"AZE",0,2017
"AZE",0,2018
"AZE",0,2019
"AZE",0,2020
"BDI",0,2010
"BDI",0,2011
"BDI",0,2012
"BDI",0,2013
"BDI",0,2014
"BDI",0,2015
"BDI",0,2016
"BDI",0,2017
"BDI",0,2018
