,Nation,iso_code3,Year,consumpinit_inen_energy_tj_per_mmm_gdp_other_product_manufacturing
0,Afghanistan,AFG,2021,0.0
1,Afghanistan,AFG,2022,0.0
2,Afghanistan,AFG,2023,0.0
3,Afghanistan,AFG,2024,0.0
4,Afghanistan,AFG,2025,0.0
5,Afghanistan,AFG,2026,0.0
6,Afghanistan,AFG,2027,0.0
7,Afghanistan,AFG,2028,0.0
8,Afghanistan,AFG,2029,0.0
9,Afghanistan,AFG,2030,0.0
10,Afghanistan,AFG,2031,0.0
11,Afghanistan,AFG,2032,0.0
12,Afghanistan,AFG,2033,0.0
13,Afghanistan,AFG,2034,0.0
14,Afghanistan,AFG,2035,0.0
15,Afghanistan,AFG,2036,0.0
16,Afghanistan,AFG,2037,0.0
17,Afghanistan,AFG,2038,0.0
18,Afghanistan,AFG,2039,0.0
19,Afghanistan,AFG,2040,0.0
20,Afghanistan,AFG,2041,0.0
21,Afghanistan,AFG,2042,0.0
22,Afghanistan,AFG,2043,0.0
23,Afghanistan,AFG,2044,0.0
24,Afghanistan,AFG,2045,0.0
25,Afghanistan,AFG,2046,0.0
26,Afghanistan,AFG,2047,0.0
27,Afghanistan,AFG,2048,0.0
28,Afghanistan,AFG,2049,0.0
29,Afghanistan,AFG,2050,0.0
30,Albania,ALB,2021,345.0586283139811
31,Albania,ALB,2022,333.6440279799155
32,Albania,ALB,2023,322.9604396283238
33,Albania,ALB,2024,312.9398190704997
34,Albania,ALB,2025,303.5223129138836
35,Albania,ALB,2026,294.78821349859277
36,Albania,ALB,2027,286.54271569136597
37,Albania,ALB,2028,278.74593518226436
38,Albania,ALB,2029,271.3622136549971
39,Albania,ALB,2030,264.35957351732924
40,Albania,ALB,2031,257.5815197575172
41,Albania,ALB,2032,251.14234934069424
42,Albania,ALB,2033,245.01726730557732
43,Albania,ALB,2034,239.18383998739282
44,Albania,ALB,2035,233.62172046309402
45,Albania,ALB,2036,227.9866201069764
46,Albania,ALB,2037,222.61696134550002
47,Albania,ALB,2038,217.49442029908585
48,Albania,ALB,2039,212.60232172309603
49,Albania,ALB,2040,207.92545767299617
50,Albania,ALB,2041,203.28238536028053
51,Albania,ALB,2042,198.84214759228848
52,Albania,ALB,2043,194.59173711551185
53,Albania,ALB,2044,190.51923556255653
54,Albania,ALB,2045,186.61370184447668
55,Albania,ALB,2046,182.9524920252847
56,Albania,ALB,2047,179.43217789457782
57,Albania,ALB,2048,176.04477978346995
58,Albania,ALB,2049,172.78290943272378
59,Albania,ALB,2050,169.6397161993864
60,Algeria,DZA,2021,1095.1936918170336
61,Algeria,DZA,2022,1110.1333177577321
62,Algeria,DZA,2023,1124.7822222856607
63,Algeria,DZA,2024,1139.1488096780358
64,Algeria,DZA,2025,1153.241163365397
65,Algeria,DZA,2026,1146.0332914574906
66,Algeria,DZA,2027,1139.3114239854588
67,Algeria,DZA,2028,1133.0280094188997
68,Algeria,DZA,2029,1127.1415036685628
69,Algeria,DZA,2030,1121.615450441748
70,Algeria,DZA,2031,1120.768913920259
71,Algeria,DZA,2032,1119.9628680609078
72,Algeria,DZA,2033,1119.194475655489
73,Algeria,DZA,2034,1118.4611585192974
74,Algeria,DZA,2035,1117.7605685912122
75,Algeria,DZA,2036,1119.068424138976
76,Algeria,DZA,2037,1120.3258428761562
77,Algeria,DZA,2038,1121.5356872154412
78,Algeria,DZA,2039,1122.7006069923505
79,Algeria,DZA,2040,1123.8230588393587
80,Algeria,DZA,2041,1122.321908060327
81,Algeria,DZA,2042,1120.88332301252
82,Algeria,DZA,2043,1119.5034720741896
83,Algeria,DZA,2044,1118.1788302369814
84,Algeria,DZA,2045,1116.9061490377576
85,Algeria,DZA,2046,1111.4451619226152
86,Algeria,DZA,2047,1106.240424904354
87,Algeria,DZA,2048,1101.2743151181328
88,Algeria,DZA,2049,1096.5307894344526
89,Algeria,DZA,2050,1091.9952113273014
90,Angola,AGO,2021,1118.8996678775768
91,Angola,AGO,2022,1135.0622428557697
92,Angola,AGO,2023,1150.4071542202223
93,Angola,AGO,2024,1164.9949195051954
94,Angola,AGO,2025,1178.8802279421843
95,Angola,AGO,2026,1207.978216004112
96,Angola,AGO,2027,1236.4619536249743
97,Angola,AGO,2028,1264.3506876412443
98,Angola,AGO,2029,1291.662869097581
99,Angola,AGO,2030,1318.4161939552162
100,Angola,AGO,2031,1355.7758334034884
101,Angola,AGO,2032,1392.9079414469873
102,Angola,AGO,2033,1429.8145903769891
103,Angola,AGO,2034,1466.4978273958004
104,Angola,AGO,2035,1502.9596749953364
105,Angola,AGO,2036,1536.4360278458412
106,Angola,AGO,2037,1569.3442795095377
107,Angola,AGO,2038,1601.698769519976
108,Angola,AGO,2039,1633.513358841934
109,Angola,AGO,2040,1664.8014496709907
110,Angola,AGO,2041,1684.000641139511
111,Angola,AGO,2042,1702.4849373956167
112,Angola,AGO,2043,1720.2935380555787
113,Angola,AGO,2044,1737.4628282839049
114,Angola,AGO,2045,1754.026626929268
115,Angola,AGO,2046,1754.3412224232875
116,Angola,AGO,2047,1754.6375951820005
117,Angola,AGO,2048,1754.9172839498208
118,Angola,AGO,2049,1755.1816589699738
119,Angola,AGO,2050,1755.4319444346875
120,Argentina,ARG,2021,640.2930198922028
121,Argentina,ARG,2022,633.4389160380116
122,Argentina,ARG,2023,626.7299993844437
123,Argentina,ARG,2024,620.1617051320335
124,Argentina,ARG,2025,613.7296578577684
125,Argentina,ARG,2026,592.231183064103
126,Argentina,ARG,2027,572.1878844337623
127,Argentina,ARG,2028,553.4568528731621
128,Argentina,ARG,2029,535.9132990995398
129,Argentina,ARG,2030,519.4477700538348
130,Argentina,ARG,2031,503.34777904810994
131,Argentina,ARG,2032,488.2158051987694
132,Argentina,ARG,2033,473.9670929668691
133,Argentina,ARG,2034,460.5265006846348
134,Argentina,ARG,2035,447.8271750108863
135,Argentina,ARG,2036,435.7704891291472
136,Argentina,ARG,2037,424.34597883264735
137,Argentina,ARG,2038,413.50519346904014
138,Argentina,ARG,2039,403.2045101350379
139,Argentina,ARG,2040,393.4045469795653
140,Argentina,ARG,2041,384.1651273414206
141,Argentina,ARG,2042,375.349739266281
142,Argentina,ARG,2043,366.9298469669711
143,Argentina,ARG,2044,358.87941895300736
144,Argentina,ARG,2045,351.17465920765494
145,Argentina,ARG,2046,343.6030409993808
146,Argentina,ARG,2047,336.351032531477
147,Argentina,ARG,2048,329.39881525596684
148,Argentina,ARG,2049,322.72817600264597
149,Argentina,ARG,2050,316.32234765344555
150,Armenia,ARM,2021,345.57604322894707
151,Armenia,ARM,2022,331.9808299424385
152,Armenia,ARM,2023,319.4148183025139
153,Armenia,ARM,2024,307.76539987708236
154,Armenia,ARM,2025,296.9358160009338
155,Armenia,ARM,2026,287.83699400624346
156,Armenia,ARM,2027,279.2792124783008
157,Armenia,ARM,2028,271.21560716886944
