,Nation,iso_code3,Year,consumpinit_inen_energy_tj_per_tonne_production_metals
0,Bosnia and Herzegovina,BIH,2021,0.05661056433202541
1,Bosnia and Herzegovina,BIH,2022,0.05560469165212485
2,Bosnia and Herzegovina,BIH,2023,0.054616691605364344
3,Bosnia and Herzegovina,BIH,2024,0.05364624662569231
4,Bosnia and Herzegovina,BIH,2025,0.05269304478966194
5,Bosnia and Herzegovina,BIH,2026,0.051756779716170945
6,Bosnia and Herzegovina,BIH,2027,0.050837150467983164
7,Bosnia and Herzegovina,BIH,2028,0.049933861455002684
8,Bosnia and Herzegovina,BIH,2029,0.04904662233926179
9,Bosnia and Herzegovina,BIH,2030,0.04817514794160122
10,Bosnia and Herzegovina,BIH,2031,0.047319158150006556
11,Bosnia and Herzegovina,BIH,2032,0.046478377829573106
12,Bosnia and Herzegovina,BIH,2033,0.04565253673407253
13,Bosnia and Herzegovina,BIH,2034,0.04484136941908821
14,Bosnia and Herzegovina,BIH,2035,0.04404461515669526
15,Bosnia and Herzegovina,BIH,2036,0.04326201785165857
16,Bosnia and Herzegovina,BIH,2037,0.04249332595911445
17,Bosnia and Herzegovina,BIH,2038,0.041738292403721934
18,Bosnia and Herzegovina,BIH,2039,0.040996674500244294
19,Bosnia and Herzegovina,BIH,2040,0.04026823387554539
20,Bosnia and Herzegovina,BIH,2041,0.03955273639197144
21,Bosnia and Herzegovina,BIH,2042,0.03884995207209324
22,Bosnia and Herzegovina,BIH,2043,0.03815965502478639
23,Bosnia and Herzegovina,BIH,2044,0.03748162337262441
24,Bosnia and Herzegovina,BIH,2045,0.0368156391805622
25,Bosnia and Herzegovina,BIH,2046,0.03616148838588688
26,Bosnia and Herzegovina,BIH,2047,0.03551896072941309
27,Bosnia and Herzegovina,BIH,2048,0.0348878496879008
28,Bosnia and Herzegovina,BIH,2049,0.03426795240767364
29,Bosnia and Herzegovina,BIH,2050,0.03365906963941777
30,Eswatini,SWZ,2021,1.5708340702557302
31,Eswatini,SWZ,2022,1.5402706627862703
32,Eswatini,SWZ,2023,1.5103019214841893
33,Eswatini,SWZ,2024,1.480916276047613
34,Eswatini,SWZ,2025,1.4521023812957439
35,Eswatini,SWZ,2026,1.4238491127887232
36,Eswatini,SWZ,2027,1.3961455625327093
37,Eswatini,SWZ,2028,1.3689810347685392
38,Eswatini,SWZ,2029,1.342345041842322
39,Eswatini,SWZ,2030,1.316227300156369
40,Eswatini,SWZ,2031,1.2906177261989134
41,Eswatini,SWZ,2032,1.2655064326510834
42,Eswatini,SWZ,2033,1.2408837245696105
43,Eswatini,SWZ,2034,1.2167400956438226
44,Eswatini,SWZ,2035,1.193066224525445
45,Eswatini,SWZ,2036,1.1698529712298353
46,Eswatini,SWZ,2037,1.1470913736072197
47,Eswatini,SWZ,2038,1.1247726438826027
48,Eswatini,SWZ,2039,1.1028881652629807
49,Eswatini,SWZ,2040,1.0814294886105897
50,Eswatini,SWZ,2041,1.060388329180865
51,Eswatini,SWZ,2042,1.0397565634238763
52,Eswatini,SWZ,2043,1.0195262258479956
53,Eswatini,SWZ,2044,0.9996895059445876
54,Eswatini,SWZ,2045,0.9802387451725401
55,Eswatini,SWZ,2046,0.9611664340014547
56,Eswatini,SWZ,2047,0.942465209012382
57,Eswatini,SWZ,2048,0.924127850054956
58,Eswatini,SWZ,2049,0.9061472774598462
59,Eswatini,SWZ,2050,0.8885165493054475
60,Argentina,ARG,2021,0.03192488191627485
61,Argentina,ARG,2022,0.032253496148957936
62,Argentina,ARG,2023,0.032585492925520224
63,Argentina,ARG,2024,0.03292090706369632
64,Argentina,ARG,2025,0.03325977373961195
65,Argentina,ARG,2026,0.03360212849147343
66,Argentina,ARG,2027,0.03394800722329465
67,Argentina,ARG,2028,0.03429744620866224
68,Argentina,ARG,2029,0.034650482094539775
69,Argentina,ARG,2030,0.035007151905111326
70,Argentina,ARG,2031,0.03536749304566386
71,Argentina,ARG,2032,0.03573154330651073
72,Argentina,ARG,2033,0.036099340866954197
73,Argentina,ARG,2034,0.036470924299289796
74,Argentina,ARG,2035,0.036846332572851644
75,Argentina,ARG,2036,0.037225605058098916
76,Argentina,ARG,2037,0.03760878153074528
77,Argentina,ARG,2038,0.03799590217592993
78,Argentina,ARG,2039,0.038387007592431986
79,Argentina,ARG,2040,0.03878213879692845
80,Argentina,ARG,2041,0.03918133722829574
81,Argentina,ARG,2042,0.03958464475195511
82,Argentina,ARG,2043,0.03999210366426405
83,Argentina,ARG,2044,0.04040375669695118
84,Argentina,ARG,2045,0.04081964702159841
85,Argentina,ARG,2046,0.04123981825416786
86,Argentina,ARG,2047,0.04166431445957663
87,Argentina,ARG,2048,0.04209318015631777
88,Argentina,ARG,2049,0.04252646032112885
89,Argentina,ARG,2050,0.042964200393709316
90,Kyrgyz Republic,KGZ,2021,0.3461937417161298
91,Kyrgyz Republic,KGZ,2022,0.3104028235758044
92,Kyrgyz Republic,KGZ,2023,0.278312116233564
93,Kyrgyz Republic,KGZ,2024,0.2495390768360346
94,Kyrgyz Republic,KGZ,2025,0.22374071136709933
95,Kyrgyz Republic,KGZ,2026,0.2006094859281245
96,Kyrgyz Republic,KGZ,2027,0.1798696607266807
97,Kyrgyz Republic,KGZ,2028,0.16127400307243128
98,Kyrgyz Republic,KGZ,2029,0.14460084019688466
99,Kyrgyz Republic,KGZ,2030,0.12965141676463574
100,Kyrgyz Republic,KGZ,2031,0.11624752557585387
101,Kyrgyz Republic,KGZ,2032,0.1042293832163874
102,Kyrgyz Republic,KGZ,2033,0.09345372533181129
103,Kyrgyz Republic,KGZ,2034,0.08379209881979288
104,Kyrgyz Republic,KGZ,2035,0.07512933058256592
105,Kyrgyz Republic,KGZ,2036,0.06736215458600221
106,Kyrgyz Republic,KGZ,2037,0.06039798085890932
107,Kyrgyz Republic,KGZ,2038,0.05415379175818675
108,Kyrgyz Republic,KGZ,2039,0.04855515234258823
109,Kyrgyz Republic,KGZ,2040,0.043535323058066976
110,Kyrgyz Republic,KGZ,2041,0.0390344641573259
111,Kyrgyz Republic,KGZ,2042,0.034998922369710604
112,Kyrgyz Republic,KGZ,2043,0.03138059131807347
113,Kyrgyz Republic,KGZ,2044,0.028136338058344902
114,Kyrgyz Republic,KGZ,2045,0.02522748890577855
115,Kyrgyz Republic,KGZ,2046,0.022619368418571532
116,Kyrgyz Republic,KGZ,2047,0.020280886043235018
117,Kyrgyz Republic,KGZ,2048,0.018184165494248655
118,Kyrgyz Republic,KGZ,2049,0.0163042124499546
119,Kyrgyz Republic,KGZ,2050,0.014618616603403179
120,Kazakhstan,KAZ,2021,0.010087277784119804
121,Kazakhstan,KAZ,2022,0.009330643080927363
122,Kazakhstan,KAZ,2023,0.008630762646461104
123,Kazakhstan,KAZ,2024,0.00798337941055871
124,Kazakhstan,KAZ,2025,0.0073845556208252455
125,Kazakhstan,KAZ,2026,0.006830648890987065
126,Kazakhstan,KAZ,2027,0.006318290045830651
127,Kazakhstan,KAZ,2028,0.005844362627966051
128,Kazakhstan,KAZ,2029,0.005405983941763763
129,Kazakhstan,KAZ,2030,0.005000487519163092
130,Kazakhstan,KAZ,2031,0.004625406900699732
131,Kazakhstan,KAZ,2032,0.004278460633098704
132,Kazakhstan,KAZ,2033,0.003957538392180403
133,Kazakhstan,KAZ,2034,0.0036606881466707433
134,Kazakhstan,KAZ,2035,0.0033861042848386843
135,Kazakhstan,KAZ,2036,0.0031321166317405487
136,Kazakhstan,KAZ,2037,0.002897180290267738
137,Kazakhstan,KAZ,2038,0.0026798662442054054
138,Kazakhstan,KAZ,2039,0.0024788526661445476
139,Kazakhstan,KAZ,2040,0.0022929168773771582
140,Kazakhstan,KAZ,2041,0.002120927910870216
141,Kazakhstan,KAZ,2042,0.001961839632082037
142,Kazakhstan,KAZ,2043,0.0018146843757780627
143,Kazakhstan,KAZ,2044,0.001678567060141493
144,Kazakhstan,KAZ,2045,0.0015526597423775078
145,Kazakhstan,KAZ,2046,0.0014361965826951099
146,Kazakhstan,KAZ,2047,0.0013284691860347105
147,Kazakhstan,KAZ,2048,0.001228822293207185
148,Kazakhstan,KAZ,2049,0.0011366497952354534
149,Kazakhstan,KAZ,2050,0.0010513910466555692
150,Moldova,MDA,2021,0.21830559047841602
151,Moldova,MDA,2022,0.2016503155171164
152,Moldova,MDA,2023,0.18626572805139824
153,Moldova,MDA,2024,0.172054883016399
154,Moldova,MDA,2025,0.1589282316155237
155,Moldova,MDA,2026,0.146803057034017
156,Moldova,MDA,2027,0.13560295320386495
157,Moldova,MDA,2028,0.12525734333549124
158,Moldova,MDA,2029,0.11570103518230716
159,Moldova,MDA,2030,0.10687381023563837
160,Moldova,MDA,2031,0.09872004426136605
161,Moldova,MDA,2032,0.09118835678711742
162,Moldova,MDA,2033,0.08423128733126817
163,Moldova,MDA,2034,0.07780499633353362
164,Moldova,MDA,2035,0.07186898890258316
165,Moldova,MDA,2036,0.0663858596398833
166,Moldova,MDA,2037,0.06132105693180149
167,Moldova,MDA,2038,0.05664266522466089
168,Moldova,MDA,2039,0.05232120391077457
169,Moldova,MDA,2040,0.04832944155814539
170,Moldova,MDA,2041,0.0446422243132139
171,Moldova,MDA,2042,0.04123631739534177
172,Moldova,MDA,2043,0.038090258684221626
173,Moldova,MDA,2044,0.035184223477599266
174,Moldova,MDA,2045,0.032499899567089194
175,Moldova,MDA,2046,0.030020371844879927
176,Moldova,MDA,2047,0.027730015714186262
177,Moldova,MDA,2048,0.025614398631779917
178,Moldova,MDA,2049,0.02366018916217491
179,Moldova,MDA,2050,0.021855072970377955
180,Chad,TCD,2021,2.509597961872724
181,Chad,TCD,2022,2.560255840118887
182,Chad,TCD,2023,2.6119362808102657
183,Chad,TCD,2024,2.664659925039441
184,Chad,TCD,2025,2.7184478305529414
185,Chad,TCD,2026,2.773321480161715
186,Chad,TCD,2027,2.829302790321319
187,Chad,TCD,2028,2.8864141198853037
188,Chad,TCD,2029,2.944678279035338
189,Chad,TCD,2030,3.0041185383915376
190,Chad,TCD,2031,3.064758638306711
191,Chad,TCD,2032,3.126622798348255
192,Chad,TCD,2033,3.1897357269713775
193,Chad,TCD,2034,3.254122631387644
194,Chad,TCD,2035,3.3198092276326854
195,Chad,TCD,2036,3.3868217508371683
196,Chad,TCD,2037,3.4551869657050283
197,Chad,TCD,2038,3.5249321772032878
198,Chad,TCD,2039,3.5960852414676068
199,Chad,TCD,2040,3.6686745769279994
200,Chad,TCD,2041,3.7427291756590786
201,Chad,TCD,2042,3.8182786149594863
202,Chad,TCD,2043,3.895353069164968
203,Chad,TCD,2044,3.9739833217000426
204,Chad,TCD,2045,4.054200777372813
205,Chad,TCD,2046,4.136037474917945
206,Chad,TCD,2047,4.219526099792989
207,Chad,TCD,2048,4.304699997232846
208,Chad,TCD,2049,4.3915931855678245
209,Chad,TCD,2050,4.480240369810505
210,Mongolia,MNG,2021,1.4039045287101564
211,Mongolia,MNG,2022,1.2361431315445022
212,Mongolia,MNG,2023,1.0884286006745394
213,Mongolia,MNG,2024,0.9583654097451828
214,Mongolia,MNG,2025,0.8438442889380554
215,Mongolia,MNG,2026,0.7430080183744378
216,Mongolia,MNG,2027,0.6542213090799663
217,Mongolia,MNG,2028,0.5760442830626519
218,Mongolia,MNG,2029,0.5072091224234413
219,Mongolia,MNG,2030,0.4465995088116813
220,Mongolia,MNG,2031,0.39323251978958706
221,Mongolia,MNG,2032,0.34624268851417844
222,Mongolia,MNG,2033,0.3048679682282497
223,Mongolia,MNG,2034,0.26843737394274264
224,Mongolia,MNG,2035,0.23636010089235285
225,Mongolia,MNG,2036,0.20811594329543479
226,Mongolia,MNG,2037,0.18324685803664778
227,Mongolia,MNG,2038,0.16134953645831487
228,Mongolia,MNG,2039,0.1420688637952338
229,Mongolia,MNG,2040,0.1250921601828286
