,Nation,iso_code3,Year,consumpinit_scoe_gj_per_hh_residential_heat_energy
0,Central African Republic,CAF,2021,89.27584932378258
1,Central African Republic,CAF,2022,87.86955203331418
2,Central African Republic,CAF,2023,86.50678751774687
3,Central African Republic,CAF,2024,85.18572986743169
4,Central African Republic,CAF,2025,83.9044134475228
5,Central African Republic,CAF,2026,82.70877175727102
6,Central African Republic,CAF,2027,81.54680264352442
7,Central African Republic,CAF,2028,80.4169566664751
8,Central African Republic,CAF,2029,79.31806265495977
9,Central African Republic,CAF,2030,78.24872699091374
10,Central African Republic,CAF,2031,77.28013302380762
11,Central African Republic,CAF,2032,76.33515903988734
12,Central African Republic,CAF,2033,75.41301598236511
13,Central African Republic,CAF,2034,74.51288632151739
14,Central African Republic,CAF,2035,73.63405260992933
15,Central African Republic,CAF,2036,72.83590261307997
16,Central African Republic,CAF,2037,72.05487003033795
17,Central African Republic,CAF,2038,71.29041004447684
18,Central African Republic,CAF,2039,70.54200071631482
19,Central African Republic,CAF,2040,69.80914179631765
20,Central African Republic,CAF,2041,69.175667695051
21,Central African Republic,CAF,2042,68.55358696502313
22,Central African Republic,CAF,2043,67.94259497190737
23,Central African Republic,CAF,2044,67.34239784579651
24,Central African Republic,CAF,2045,66.75271200990788
25,Central African Republic,CAF,2046,66.25827126395181
26,Central African Republic,CAF,2047,65.7710522829524
27,Central African Republic,CAF,2048,65.29094636186385
28,Central African Republic,CAF,2049,64.81784652389581
29,Central African Republic,CAF,2050,64.35150657012757
30,Papua New Guinea,PNG,2021,57.17275733272149
31,Papua New Guinea,PNG,2022,56.28570256055047
32,Papua New Guinea,PNG,2023,55.42575315232413
33,Papua New Guinea,PNG,2024,54.59171924276432
34,Papua New Guinea,PNG,2025,53.78238110668215
35,Papua New Guinea,PNG,2026,53.016197238541636
36,Papua New Guinea,PNG,2027,52.271536859426725
37,Papua New Guinea,PNG,2028,51.5475055812896
38,Papua New Guinea,PNG,2029,50.8432578929938
39,Papua New Guinea,PNG,2030,50.157993866505905
40,Papua New Guinea,PNG,2031,49.538851945420156
41,Papua New Guinea,PNG,2032,48.93478165067373
42,Papua New Guinea,PNG,2033,48.3452923052826
43,Papua New Guinea,PNG,2034,47.76981050152899
44,Papua New Guinea,PNG,2035,47.20786811175575
45,Papua New Guinea,PNG,2036,46.72636762653839
46,Papua New Guinea,PNG,2037,46.25461444887854
47,Papua New Guinea,PNG,2038,45.79226798731141
48,Papua New Guinea,PNG,2039,45.339072987926656
49,Papua New Guinea,PNG,2040,44.8947604039921
50,Papua New Guinea,PNG,2041,44.51360638770006
51,Papua New Guinea,PNG,2042,44.13886984020994
52,Papua New Guinea,PNG,2043,43.770411773422495
53,Papua New Guinea,PNG,2044,43.40803295927597
54,Papua New Guinea,PNG,2045,43.05160520343299
55,Papua New Guinea,PNG,2046,42.75425287774595
56,Papua New Guinea,PNG,2047,42.460959476964725
57,Papua New Guinea,PNG,2048,42.17168281067028
58,Papua New Guinea,PNG,2049,41.88630111901031
59,Papua New Guinea,PNG,2050,41.60477553841854
60,Ethiopia,ETH,2021,3.9481764666530093
61,Ethiopia,ETH,2022,3.8696463288511938
62,Ethiopia,ETH,2023,3.7941792314687373
63,Ethiopia,ETH,2024,3.7215993934230904
64,Ethiopia,ETH,2025,3.651744231415454
65,Ethiopia,ETH,2026,3.586879592212168
66,Ethiopia,ETH,2027,3.5242790714918537
67,Ethiopia,ETH,2028,3.4638260220273676
68,Ethiopia,ETH,2029,3.405412068860364
69,Ethiopia,ETH,2030,3.3489356270205994
70,Ethiopia,ETH,2031,3.2977308100918217
71,Ethiopia,ETH,2032,3.2480682431494383
72,Ethiopia,ETH,2033,3.199879166687238
73,Ethiopia,ETH,2034,3.1530991871227543
74,Ethiopia,ETH,2035,3.107667280386045
75,Ethiopia,ETH,2036,3.066290060917907
76,Ethiopia,ETH,2037,3.026000098698842
77,Ethiopia,ETH,2038,2.9867552975511877
78,Ethiopia,ETH,2039,2.948515410834479
79,Ethiopia,ETH,2040,2.9112423282592856
80,Ethiopia,ETH,2041,2.877115420640096
81,Ethiopia,ETH,2042,2.8437793448184694
82,Ethiopia,ETH,2043,2.811207016080033
83,Ethiopia,ETH,2044,2.77937230963735
84,Ethiopia,ETH,2045,2.7482505357740683
85,Ethiopia,ETH,2046,2.7202998564960135
