,Nation,iso_code3,Year,consumpinit_scoe_tj_per_mmmgdp_commercial_municipal_elec_appliances
9,Afghanistan,AFG,2020,0.0
10,Afghanistan,AFG,2021,0.0
11,Afghanistan,AFG,2022,0.0
12,Afghanistan,AFG,2023,0.0
13,Afghanistan,AFG,2024,0.0
14,Afghanistan,AFG,2025,0.0
15,Afghanistan,AFG,2026,0.0
16,Afghanistan,AFG,2027,0.0
17,Afghanistan,AFG,2028,0.0
18,Afghanistan,AFG,2029,0.0
19,Afghanistan,AFG,2030,0.0
20,Afghanistan,AFG,2031,0.0
21,Afghanistan,AFG,2032,0.0
22,Afghanistan,AFG,2033,0.0
23,Afghanistan,AFG,2034,0.0
24,Afghanistan,AFG,2035,0.0
25,Afghanistan,AFG,2036,0.0
26,Afghanistan,AFG,2037,0.0
27,Afghanistan,AFG,2038,0.0
28,Afghanistan,AFG,2039,0.0
29,Afghanistan,AFG,2040,0.0
30,Afghanistan,AFG,2041,0.0
31,Afghanistan,AFG,2042,0.0
32,Afghanistan,AFG,2043,0.0
33,Afghanistan,AFG,2044,0.0
34,Afghanistan,AFG,2045,0.0
35,Afghanistan,AFG,2046,0.0
36,Afghanistan,AFG,2047,0.0
37,Afghanistan,AFG,2048,0.0
38,Afghanistan,AFG,2049,0.0
39,Afghanistan,AFG,2050,0.0
49,Albania,ALB,2020,0.0
50,Albania,ALB,2021,0.0
51,Albania,ALB,2022,0.0
52,Albania,ALB,2023,0.0
53,Albania,ALB,2024,0.0
54,Albania,ALB,2025,0.0
55,Albania,ALB,2026,0.0
56,Albania,ALB,2027,0.0
57,Albania,ALB,2028,0.0
58,Albania,ALB,2029,0.0
59,Albania,ALB,2030,0.0
60,Albania,ALB,2031,0.0
61,Albania,ALB,2032,0.0
62,Albania,ALB,2033,0.0
63,Albania,ALB,2034,0.0
64,Albania,ALB,2035,0.0
65,Albania,ALB,2036,0.0
66,Albania,ALB,2037,0.0
67,Albania,ALB,2038,0.0
68,Albania,ALB,2039,0.0
69,Albania,ALB,2040,0.0
70,Albania,ALB,2041,0.0
71,Albania,ALB,2042,0.0
72,Albania,ALB,2043,0.0
73,Albania,ALB,2044,0.0
74,Albania,ALB,2045,0.0
75,Albania,ALB,2046,0.0
76,Albania,ALB,2047,0.0
77,Albania,ALB,2048,0.0
78,Albania,ALB,2049,0.0
79,Albania,ALB,2050,0.0
89,Algeria,DZA,2020,0.0
90,Algeria,DZA,2021,0.0
91,Algeria,DZA,2022,0.0
92,Algeria,DZA,2023,0.0
93,Algeria,DZA,2024,0.0
94,Algeria,DZA,2025,0.0
95,Algeria,DZA,2026,0.0
96,Algeria,DZA,2027,0.0
97,Algeria,DZA,2028,0.0
98,Algeria,DZA,2029,0.0
99,Algeria,DZA,2030,0.0
100,Algeria,DZA,2031,1.3994490712774552
101,Algeria,DZA,2032,4.635084665254633
102,Algeria,DZA,2033,7.916642978331077
103,Algeria,DZA,2034,11.250138914312993
104,Algeria,DZA,2035,14.641627538865741
105,Algeria,DZA,2036,17.754905046481415
106,Algeria,DZA,2037,20.969190440965328
107,Algeria,DZA,2038,24.29628534497548
108,Algeria,DZA,2039,27.749021244773484
109,Algeria,DZA,2040,31.341432169022802
110,Algeria,DZA,2041,35.97178870500516
111,Algeria,DZA,2042,40.75149359012991
112,Algeria,DZA,2043,45.692851107064
113,Algeria,DZA,2044,50.80901285363676
114,Algeria,DZA,2045,56.114094648954804
115,Algeria,DZA,2046,62.723859463366566
116,Algeria,DZA,2047,69.39372289756126
117,Algeria,DZA,2048,76.12271863033345
118,Algeria,DZA,2049,82.91000320159412
119,Algeria,DZA,2050,89.75484306750319
129,Angola,AGO,2020,0.0
130,Angola,AGO,2021,0.0
131,Angola,AGO,2022,0.0
132,Angola,AGO,2023,0.0
133,Angola,AGO,2024,0.0
134,Angola,AGO,2025,0.0
135,Angola,AGO,2026,0.0
136,Angola,AGO,2027,0.0
137,Angola,AGO,2028,0.0
138,Angola,AGO,2029,0.0
139,Angola,AGO,2030,0.0
140,Angola,AGO,2031,0.0
141,Angola,AGO,2032,0.0
142,Angola,AGO,2033,0.0
143,Angola,AGO,2034,0.0
144,Angola,AGO,2035,0.0
145,Angola,AGO,2036,0.0
146,Angola,AGO,2037,0.0
147,Angola,AGO,2038,0.0
148,Angola,AGO,2039,0.0
149,Angola,AGO,2040,0.0
150,Angola,AGO,2041,0.0
151,Angola,AGO,2042,0.0
152,Angola,AGO,2043,0.0
153,Angola,AGO,2044,0.0
154,Angola,AGO,2045,0.0
155,Angola,AGO,2046,0.0
156,Angola,AGO,2047,0.0
157,Angola,AGO,2048,0.0
158,Angola,AGO,2049,0.0
159,Angola,AGO,2050,0.0
169,Argentina,ARG,2020,94.19152633136324
170,Argentina,ARG,2021,97.31108504981636
171,Argentina,ARG,2022,98.81437652003825
172,Argentina,ARG,2023,100.29518103034529
173,Argentina,ARG,2024,101.75393971058801
174,Argentina,ARG,2025,103.19108536903506
175,Argentina,ARG,2026,106.86142571017048
176,Argentina,ARG,2027,110.27404304511789
177,Argentina,ARG,2028,113.45627863454993
178,Argentina,ARG,2029,116.43145579933392
179,Argentina,ARG,2030,119.21967213050385
180,Argentina,ARG,2031,121.97012202745506
181,Argentina,ARG,2032,124.55318731711601
182,Argentina,ARG,2033,126.98386061074041
183,Argentina,ARG,2034,129.275362653718
184,Argentina,ARG,2035,131.43940449221037
185,Argentina,ARG,2036,133.52270773133174
186,Argentina,ARG,2037,135.49603585577725
187,Argentina,ARG,2038,137.36791519476716
188,Argentina,ARG,2039,139.14600602169602
189,Argentina,ARG,2040,140.83721113095027
190,Argentina,ARG,2041,142.4634016946104
191,Argentina,ARG,2042,144.01472967408094
192,Argentina,ARG,2043,145.4962580703247
193,Argentina,ARG,2044,146.91260206391527
194,Argentina,ARG,2045,148.267977674725
195,Argentina,ARG,2046,149.6152396780043
196,Argentina,ARG,2047,150.90581556845842
197,Argentina,ARG,2048,152.14320276691797
198,Argentina,ARG,2049,153.3306175668896
199,Argentina,ARG,2050,154.471022708656
209,Armenia,ARM,2020,0.0
210,Armenia,ARM,2021,0.0
211,Armenia,ARM,2022,0.0
212,Armenia,ARM,2023,0.0
213,Armenia,ARM,2024,0.0
214,Armenia,ARM,2025,0.0
215,Armenia,ARM,2026,0.0
216,Armenia,ARM,2027,0.0
217,Armenia,ARM,2028,0.0
218,Armenia,ARM,2029,0.0
219,Armenia,ARM,2030,0.0
220,Armenia,ARM,2031,0.0
221,Armenia,ARM,2032,0.0
222,Armenia,ARM,2033,0.0
223,Armenia,ARM,2034,0.0
224,Armenia,ARM,2035,0.0
225,Armenia,ARM,2036,0.0
226,Armenia,ARM,2037,0.0
227,Armenia,ARM,2038,0.0
228,Armenia,ARM,2039,0.0
229,Armenia,ARM,2040,0.0
230,Armenia,ARM,2041,0.0
231,Armenia,ARM,2042,0.0
232,Armenia,ARM,2043,0.0
233,Armenia,ARM,2044,0.0
234,Armenia,ARM,2045,0.0
235,Armenia,ARM,2046,0.0
236,Armenia,ARM,2047,0.0
237,Armenia,ARM,2048,0.0
238,Armenia,ARM,2049,0.0
239,Armenia,ARM,2050,0.0
249,Aruba,ABW,2020,0.0
