,Nation,iso_code3,Year,consumpinit_scoe_tj_per_mmmgdp_commercial_municipal_heat_energy
0,Israel,ISR,2020,86.41905873585503
1,Israel,ISR,2021,83.308689201562
2,Israel,ISR,2022,80.41443628560963
3,Israel,ISR,2023,77.71453172333824
4,Israel,ISR,2024,75.19003575051151
5,Israel,ISR,2025,72.82439214915046
6,Israel,ISR,2026,70.14320080188286
7,Israel,ISR,2027,67.65242681735252
8,Israel,ISR,2028,65.33248074249548
9,Israel,ISR,2029,63.166371091009
10,Israel,ISR,2030,61.139287484211046
11,Israel,ISR,2031,59.04581293682368
12,Israel,ISR,2032,57.09095753368211
13,Israel,ISR,2033,55.26139451671224
14,Israel,ISR,2034,53.54545238434356
15,Israel,ISR,2035,51.93286564114559
16,Israel,ISR,2036,50.22969813870189
17,Israel,ISR,2037,48.634695963608735
18,Israel,ISR,2038,47.13787214451756
19,Israel,ISR,2039,45.73043247157277
20,Israel,ISR,2040,44.40460259198671
21,Israel,ISR,2041,43.039040670063585
22,Israel,ISR,2042,41.75496236885324
23,Israel,ISR,2043,40.54528573981349
24,Israel,ISR,2044,39.40372640820601
25,Israel,ISR,2045,38.32468836864389
26,Israel,ISR,2046,37.23433897846955
27,Israel,ISR,2047,36.20431487834965
28,Israel,ISR,2048,35.22974444641959
29,Israel,ISR,2049,34.30626686027367
30,Israel,ISR,2050,33.42996685909352
31,United Kingdom,GBR,2020,5.207289548370914
32,United Kingdom,GBR,2021,5.130015113438058
33,United Kingdom,GBR,2022,5.055000595619673
34,United Kingdom,GBR,2023,4.982148285620331
35,United Kingdom,GBR,2024,4.911366026837327
36,United Kingdom,GBR,2025,4.842566826445645
37,United Kingdom,GBR,2026,4.762577393460856
38,United Kingdom,GBR,2027,4.685187548597369
39,United Kingdom,GBR,2028,4.610272591596995
40,United Kingdom,GBR,2029,4.537715672380793
41,United Kingdom,GBR,2030,4.467407182885978
42,United Kingdom,GBR,2031,4.396744862572885
43,United Kingdom,GBR,2032,4.328283109487117
44,United Kingdom,GBR,2033,4.2619207045565455
45,United Kingdom,GBR,2034,4.197562542641126
46,United Kingdom,GBR,2035,4.135119177775536
47,United Kingdom,GBR,2036,4.067316999525932
48,United Kingdom,GBR,2037,4.001702411757318
49,United Kingdom,GBR,2038,3.9381712236468442
50,United Kingdom,GBR,2039,3.876625757519412
51,United Kingdom,GBR,2040,3.816974347743784
52,United Kingdom,GBR,2041,3.753617153294763
53,United Kingdom,GBR,2042,3.6923289233374628
54,United Kingdom,GBR,2043,3.6330099412403003
55,United Kingdom,GBR,2044,3.575566797028642
56,United Kingdom,GBR,2045,3.5199118965586154
57,United Kingdom,GBR,2046,3.4654894564888385
58,United Kingdom,GBR,2047,3.412724277158662
59,United Kingdom,GBR,2048,3.361541794044615
60,United Kingdom,GBR,2049,3.3118718496673285
61,United Kingdom,GBR,2050,3.263648372741273
62,Guatemala,GTM,2020,239.09188315857932
63,Guatemala,GTM,2021,231.59366613596475
64,Guatemala,GTM,2022,224.55145491793778
65,Guatemala,GTM,2023,217.92487892952667
66,Guatemala,GTM,2024,211.67819638650934
67,Guatemala,GTM,2025,205.7796493744837
68,Guatemala,GTM,2026,196.83533352135822
69,Guatemala,GTM,2027,188.63616771234325
70,Guatemala,GTM,2028,181.09275808273492
71,Guatemala,GTM,2029,174.1294600999254
72,Guatemala,GTM,2030,167.68183302728855
73,Guatemala,GTM,2031,160.42135222430915
74,Guatemala,GTM,2032,153.76352243624174
75,Guatemala,GTM,2033,147.63629971666708
76,Guatemala,GTM,2034,141.97868339261814
77,Guatemala,GTM,2035,136.7386781949187
78,Guatemala,GTM,2036,130.78137345046517
79,Guatemala,GTM,2037,125.32148256570477
80,Guatemala,GTM,2038,120.29920371601975
81,Guatemala,GTM,2039,115.66395197941011
82,Guatemala,GTM,2040,111.37264953339293
83,Guatemala,GTM,2041,106.53289913807592
84,Guatemala,GTM,2042,102.09625863298301
85,Guatemala,GTM,2043,98.01437816446817
86,Guatemala,GTM,2044,94.24634286785478
87,Guatemala,GTM,2045,90.7572966325875
88,Guatemala,GTM,2046,86.87516384566041
89,Guatemala,GTM,2047,83.31152315167544
90,Guatemala,GTM,2048,80.02872506856905
91,Guatemala,GTM,2049,76.99482929454659
92,Guatemala,GTM,2050,74.18256205750647
93,Nicaragua,NIC,2020,1416.89428833789
94,Nicaragua,NIC,2021,1403.8855502290949
95,Nicaragua,NIC,2022,1391.113509664194
96,Nicaragua,NIC,2023,1378.5717647208342
97,Nicaragua,NIC,2024,1366.2541422829227
98,Nicaragua,NIC,2025,1354.1546879091634
99,Nicaragua,NIC,2026,1277.9753593692558
100,Nicaragua,NIC,2027,1209.910625085029
101,Nicaragua,NIC,2028,1148.7295015862844
102,Nicaragua,NIC,2029,1093.4380078121278
103,Nicaragua,NIC,2030,1043.224746553115
104,Nicaragua,NIC,2031,987.2283453449043
105,Nicaragua,NIC,2032,936.9370689965214
106,Nicaragua,NIC,2033,891.5212907570256
107,Nicaragua,NIC,2034,850.3048038799001
108,Nicaragua,NIC,2035,812.730924456289
109,Nicaragua,NIC,2036,771.2036901552738
110,Nicaragua,NIC,2037,733.7139032488494
111,Nicaragua,NIC,2038,699.7000541659769
112,Nicaragua,NIC,2039,668.7001430993311
113,Nicaragua,NIC,2040,640.3305715204774
114,Nicaragua,NIC,2041,609.8975597193376
115,Nicaragua,NIC,2042,582.2260818783506
116,Nicaragua,NIC,2043,556.9565735208074
117,Nicaragua,NIC,2044,533.7892962342222
118,Nicaragua,NIC,2045,512.4723918848179
119,Nicaragua,NIC,2046,489.8415935483006
120,Nicaragua,NIC,2047,469.1250167776697
121,Nicaragua,NIC,2048,450.0896453154382
122,Nicaragua,NIC,2049,432.53880793435815
123,Nicaragua,NIC,2050,416.3053581797768
124,New Zealand,NZL,2020,158.05729082712827
125,New Zealand,NZL,2021,154.81844818305424
126,New Zealand,NZL,2022,151.7096781135338
127,New Zealand,NZL,2023,148.72329924993826
128,New Zealand,NZL,2024,145.85222337326047
129,New Zealand,NZL,2025,143.08989924522447
130,New Zealand,NZL,2026,140.5990763166394
131,New Zealand,NZL,2027,138.1934871850698
132,New Zealand,NZL,2028,135.86883050492466
133,New Zealand,NZL,2029,133.62108956721525
134,New Zealand,NZL,2030,131.44650913834678
135,New Zealand,NZL,2031,129.05041653235122
136,New Zealand,NZL,2032,126.74011514233148
137,New Zealand,NZL,2033,124.5110784195143
138,New Zealand,NZL,2034,122.3590927533229
139,New Zealand,NZL,2035,120.28023088752145
140,New Zealand,NZL,2036,117.86163260460317
141,New Zealand,NZL,2037,115.53838352254827
142,New Zealand,NZL,2038,113.30495416193455
143,New Zealand,NZL,2039,111.15623448841377
144,New Zealand,NZL,2040,109.08749488104412
145,New Zealand,NZL,2041,106.70099008767417
146,New Zealand,NZL,2042,104.41666885541106
147,New Zealand,NZL,2043,102.22810591257193
148,New Zealand,NZL,2044,100.1294036205465
149,New Zealand,NZL,2045,98.11513890283878
150,New Zealand,NZL,2046,95.95006191133163
151,New Zealand,NZL,2047,93.87847411582086
152,New Zealand,NZL,2048,91.89444811930746
153,New Zealand,NZL,2049,89.99254723220028
154,New Zealand,NZL,2050,88.16777572214662
155,Tanzania,TZA,2020,197.947976820209
156,Tanzania,TZA,2021,185.97975806731554
157,Tanzania,TZA,2022,175.37625783674528
158,Tanzania,TZA,2023,165.91664155756757
159,Tanzania,TZA,2024,157.42528255612115
160,Tanzania,TZA,2025,149.760756927689
161,Tanzania,TZA,2026,139.34918295402582
162,Tanzania,TZA,2027,130.29116201913087
163,Tanzania,TZA,2028,122.33885214282316
164,Tanzania,TZA,2029,115.30143873868526
165,Tanzania,TZA,2030,109.02962460751081
166,Tanzania,TZA,2031,101.80684569279354
