Year,iso_code3,cost_enfu_fuel_gasoline_usd_per_m3
2015,ABW,2070.2170293586955
2016,ABW,2070.2170293586955
2017,ABW,2070.2170293586955
2018,ABW,2070.2170293586955
2019,ABW,2070.2170293586955
2020,ABW,2070.2170293586955
2015,AFG,2070.2170293586955
2016,AFG,2070.2170293586955
2017,AFG,2070.2170293586955
2018,AFG,2070.2170293586955
2019,AFG,2070.2170293586955
2020,AFG,2070.2170293586955
2015,AGO,2070.2170293586955
2016,AGO,2070.2170293586955
2017,AGO,2070.2170293586955
2018,AGO,2070.2170293586955
2019,AGO,2070.2170293586955
2020,AGO,2070.2170293586955
2015,ALB,2062.733897
2016,ALB,2062.733897
2017,ALB,2062.733897
2018,ALB,2062.733897
2019,ALB,2062.733897
2020,ALB,2062.733897
2015,AND,2070.2170293586955
2016,AND,2070.2170293586955
2017,AND,2070.2170293586955
2018,AND,2070.2170293586955
2019,AND,2070.2170293586955
2020,AND,2070.2170293586955
2015,ARE,886.666667
2016,ARE,886.666667
2017,ARE,886.666667
2018,ARE,886.666667
2019,ARE,886.666667
2020,ARE,886.666667
2015,ARG,1920.0
2016,ARG,1920.0
2017,ARG,1920.0
2018,ARG,1920.0
2019,ARG,1920.0
2020,ARG,1920.0
2015,ARM,2261.428571
2016,ARM,2261.428571
2017,ARM,2261.428571
2018,ARM,2261.428571
2019,ARM,2261.428571
2020,ARM,2261.428571
2015,ASM,2070.2170293586955
2016,ASM,2070.2170293586955
2017,ASM,2070.2170293586955
2018,ASM,2070.2170293586955
2019,ASM,2070.2170293586955
2020,ASM,2070.2170293586955
2015,ATG,2070.2170293586955
2016,ATG,2070.2170293586955
2017,ATG,2070.2170293586955
2018,ATG,2070.2170293586955
2019,ATG,2070.2170293586955
2020,ATG,2070.2170293586955
2015,AUS,944.375
2016,AUS,944.375
2017,AUS,944.375
2018,AUS,944.375
2019,AUS,944.375
2020,AUS,944.375
2015,AUT,1639.9999999999998
2016,AUT,1639.9999999999998
2017,AUT,1639.9999999999998
2018,AUT,1639.9999999999998
2019,AUT,1639.9999999999998
2020,AUT,1639.9999999999998
2015,AZE,1922.5
2016,AZE,1922.5
2017,AZE,1922.5
2018,AZE,1922.5
2019,AZE,1922.5
2020,AZE,1922.5
2015,BDI,2070.2170293586955
2016,BDI,2070.2170293586955
2017,BDI,2070.2170293586955
2018,BDI,2070.2170293586955
2019,BDI,2070.2170293586955
2020,BDI,2070.2170293586955
2015,BEL,1904.375
2016,BEL,1904.375
2017,BEL,1904.375
2018,BEL,1904.375
2019,BEL,1904.375
2020,BEL,1904.375
2015,BEN,2070.2170293586955
2016,BEN,2070.2170293586955
2017,BEN,2070.2170293586955
2018,BEN,2070.2170293586955
2019,BEN,2070.2170293586955
2020,BEN,2070.2170293586955
2015,BFA,2070.2170293586955
2016,BFA,2070.2170293586955
2017,BFA,2070.2170293586955
2018,BFA,2070.2170293586955
2019,BFA,2070.2170293586955
2020,BFA,2070.2170293586955
2015,BGD,3440.0
2016,BGD,3440.0
2017,BGD,3440.0
2018,BGD,3440.0
2019,BGD,3440.0
2020,BGD,3440.0
2015,BGR,3330.0
2016,BGR,3330.0
2017,BGR,3330.0
2018,BGR,3330.0
2019,BGR,3330.0
2020,BGR,3330.0
2015,BHR,448.333333
2016,BHR,448.333333
2017,BHR,448.333333
2018,BHR,448.333333
2019,BHR,448.333333
2020,BHR,448.333333
2015,BHS,2070.2170293586955
2016,BHS,2070.2170293586955
2017,BHS,2070.2170293586955
2018,BHS,2070.2170293586955
2019,BHS,2070.2170293586955
2020,BHS,2070.2170293586955
2015,BIH,2062.733897
2016,BIH,2062.733897
2017,BIH,2062.733897
2018,BIH,2062.733897
2019,BIH,2062.733897
2020,BIH,2062.733897
2015,BLR,2118.571429
2016,BLR,2118.571429
2017,BLR,2118.571429
2018,BLR,2118.571429
2019,BLR,2118.571429
2020,BLR,2118.571429
2015,BLZ,2070.2170293586955
2016,BLZ,2070.2170293586955
2017,BLZ,2070.2170293586955
2018,BLZ,2070.2170293586955
2019,BLZ,2070.2170293586955
2020,BLZ,2070.2170293586955
2015,BMU,2070.2170293586955
2016,BMU,2070.2170293586955
2017,BMU,2070.2170293586955
2018,BMU,2070.2170293586955
2019,BMU,2070.2170293586955
2020,BMU,2070.2170293586955
2015,BOL,1368.0
2016,BOL,1368.0
2017,BOL,1368.0
2018,BOL,1368.0
2019,BOL,1368.0
2020,BOL,1368.0
2015,BRA,1788.571429
2016,BRA,1788.571429
2017,BRA,1788.571429
2018,BRA,1788.571429
2019,BRA,1788.571429
2020,BRA,1788.571429
2015,BRB,2070.2170293586955
2016,BRB,2070.2170293586955
2017,BRB,2070.2170293586955
2018,BRB,2070.2170293586955
2019,BRB,2070.2170293586955
2020,BRB,2070.2170293586955
2015,BRN,2070.2170293586955
2016,BRN,2070.2170293586955
2017,BRN,2070.2170293586955
2018,BRN,2070.2170293586955
2019,BRN,2070.2170293586955
2020,BRN,2070.2170293586955
2015,BTN,2070.2170293586955
2016,BTN,2070.2170293586955
2017,BTN,2070.2170293586955
2018,BTN,2070.2170293586955
2019,BTN,2070.2170293586955
2020,BTN,2070.2170293586955
2015,BWA,2062.733897
2016,BWA,2062.733897
2017,BWA,2062.733897
2018,BWA,2062.733897
2019,BWA,2062.733897
2020,BWA,2062.733897
2015,CAF,2070.2170293586955
2016,CAF,2070.2170293586955
2017,CAF,2070.2170293586955
2018,CAF,2070.2170293586955
2019,CAF,2070.2170293586955
2020,CAF,2070.2170293586955
2015,CAN,1015.833333
2016,CAN,1015.833333
2017,CAN,1015.833333
2018,CAN,1015.833333
2019,CAN,1015.833333
2020,CAN,1015.833333
2015,CHE,1272.5
2016,CHE,1272.5
2017,CHE,1272.5
2018,CHE,1272.5
2019,CHE,1272.5
2020,CHE,1272.5
2015,CHL,2038.75
2016,CHL,2038.75
2017,CHL,2038.75
2018,CHL,2038.75
2019,CHL,2038.75
2020,CHL,2038.75
2015,CHN,1977.222222
2016,CHN,1977.222222
2017,CHN,1977.222222
2018,CHN,1977.222222
2019,CHN,1977.222222
2020,CHN,1977.222222
2015,CIV,2070.2170293586955
2016,CIV,2070.2170293586955
2017,CIV,2070.2170293586955
2018,CIV,2070.2170293586955
2019,CIV,2070.2170293586955
2020,CIV,2070.2170293586955
2015,CMR,2070.2170293586955
2016,CMR,2070.2170293586955
2017,CMR,2070.2170293586955
2018,CMR,2070.2170293586955
2019,CMR,2070.2170293586955
2020,CMR,2070.2170293586955
2015,COD,2070.2170293586955
2016,COD,2070.2170293586955
2017,COD,2070.2170293586955
2018,COD,2070.2170293586955
2019,COD,2070.2170293586955
2020,COD,2070.2170293586955
2015,COG,2070.2170293586955
2016,COG,2070.2170293586955
2017,COG,2070.2170293586955
2018,COG,2070.2170293586955
2019,COG,2070.2170293586955
2020,COG,2070.2170293586955
2015,COL,2070.0
2016,COL,2070.0
2017,COL,2070.0
2018,COL,2070.0
2019,COL,2070.0
2020,COL,2070.0
2015,COM,2070.2170293586955
2016,COM,2070.2170293586955
2017,COM,2070.2170293586955
2018,COM,2070.2170293586955
2019,COM,2070.2170293586955
2020,COM,2070.2170293586955
2015,CPV,2070.2170293586955
2016,CPV,2070.2170293586955
2017,CPV,2070.2170293586955
2018,CPV,2070.2170293586955
2019,CPV,2070.2170293586955
2020,CPV,2070.2170293586955
2015,CRI,1742.1428569999998
2016,CRI,1742.1428569999998
2017,CRI,1742.1428569999998
2018,CRI,1742.1428569999998
2019,CRI,1742.1428569999998
2020,CRI,1742.1428569999998
2015,CUB,2070.2170293586955
2016,CUB,2070.2170293586955
2017,CUB,2070.2170293586955
2018,CUB,2070.2170293586955
2019,CUB,2070.2170293586955
2020,CUB,2070.2170293586955
2015,CUW,2070.2170293586955
2016,CUW,2070.2170293586955
2017,CUW,2070.2170293586955
2018,CUW,2070.2170293586955
2019,CUW,2070.2170293586955
2020,CUW,2070.2170293586955
2015,CYM,2070.2170293586955
2016,CYM,2070.2170293586955
2017,CYM,2070.2170293586955
2018,CYM,2070.2170293586955
2019,CYM,2070.2170293586955
2020,CYM,2070.2170293586955
2015,CYP,1821.428571
2016,CYP,1821.428571
2017,CYP,1821.428571
2018,CYP,1821.428571
2019,CYP,1821.428571
2020,CYP,1821.428571
2015,CZE,2618.5
2016,CZE,2618.5
2017,CZE,2618.5
2018,CZE,2618.5
2019,CZE,2618.5
2020,CZE,2618.5
2015,DEU,1911.176471
2016,DEU,1911.176471
2017,DEU,1911.176471
2018,DEU,1911.176471
2019,DEU,1911.176471
2020,DEU,1911.176471
2015,DJI,2070.2170293586955
2016,DJI,2070.2170293586955
2017,DJI,2070.2170293586955
2018,DJI,2070.2170293586955
2019,DJI,2070.2170293586955
2020,DJI,2070.2170293586955
2015,DMA,2070.2170293586955
2016,DMA,2070.2170293586955
2017,DMA,2070.2170293586955
2018,DMA,2070.2170293586955
2019,DMA,2070.2170293586955
2020,DMA,2070.2170293586955
2015,DNK,1579.0
2016,DNK,1579.0
2017,DNK,1579.0
2018,DNK,1579.0
2019,DNK,1579.0
2020,DNK,1579.0
2015,DOM,2743.571429
2016,DOM,2743.571429
2017,DOM,2743.571429
2018,DOM,2743.571429
2019,DOM,2743.571429
2020,DOM,2743.571429
2015,DZA,782.857143
2016,DZA,782.857143
2017,DZA,782.857143
2018,DZA,782.857143
2019,DZA,782.857143
2020,DZA,782.857143
2015,ECU,2062.733897
2016,ECU,2062.733897
2017,ECU,2062.733897
2018,ECU,2062.733897
2019,ECU,2062.733897
2020,ECU,2062.733897
2015,EGY,2070.2170293586955
2016,EGY,2070.2170293586955
2017,EGY,2070.2170293586955
2018,EGY,2070.2170293586955
2019,EGY,2070.2170293586955
2020,EGY,2070.2170293586955
2015,ERI,2070.2170293586955
2016,ERI,2070.2170293586955
2017,ERI,2070.2170293586955
2018,ERI,2070.2170293586955
2019,ERI,2070.2170293586955
2020,ERI,2070.2170293586955
2015,ESP,1897.5
2016,ESP,1897.5
2017,ESP,1897.5
2018,ESP,1897.5
2019,ESP,1897.5
2020,ESP,1897.5
2015,EST,2287.5
2016,EST,2287.5
2017,EST,2287.5
2018,EST,2287.5
2019,EST,2287.5
2020,EST,2287.5
2015,ETH,2070.2170293586955
2016,ETH,2070.2170293586955
2017,ETH,2070.2170293586955
2018,ETH,2070.2170293586955
2019,ETH,2070.2170293586955
2020,ETH,2070.2170293586955
2015,FIN,1711.25
2016,FIN,1711.25
2017,FIN,1711.25
2018,FIN,1711.25
2019,FIN,1711.25
2020,FIN,1711.25
2015,FJI,2070.2170293586955
2016,FJI,2070.2170293586955
2017,FJI,2070.2170293586955
2018,FJI,2070.2170293586955
2019,FJI,2070.2170293586955
2020,FJI,2070.2170293586955
2015,FRA,1779.375
2016,FRA,1779.375
2017,FRA,1779.375
2018,FRA,1779.375
2019,FRA,1779.375
2020,FRA,1779.375
2015,FRO,2070.2170293586955
2016,FRO,2070.2170293586955
2017,FRO,2070.2170293586955
2018,FRO,2070.2170293586955
2019,FRO,2070.2170293586955
2020,FRO,2070.2170293586955
2015,FSM,2070.2170293586955
2016,FSM,2070.2170293586955
2017,FSM,2070.2170293586955
