Year,iso_code3,cost_enfu_fuel_hydrogen_usd_per_mmbtu
2021,ABW,120.89914942397824
2022,ABW,120.89914942397824
2023,ABW,120.89914942397824
2024,ABW,120.89914942397824
2025,ABW,120.89914942397824
2026,ABW,120.89914942397824
2027,ABW,120.89914942397824
2028,ABW,120.89914942397824
2029,ABW,120.89914942397824
2030,ABW,120.89914942397824
2031,ABW,120.89914942397824
2032,ABW,120.89914942397824
2033,ABW,120.89914942397824
2034,ABW,120.89914942397824
2035,ABW,120.89914942397824
2036,ABW,120.89914942397824
2037,ABW,120.89914942397824
2038,ABW,120.89914942397824
2039,ABW,120.89914942397824
2040,ABW,120.89914942397824
2041,ABW,120.89914942397824
2042,ABW,120.89914942397824
2043,ABW,120.89914942397824
2044,ABW,120.89914942397824
2045,ABW,120.89914942397824
2046,ABW,120.89914942397824
2047,ABW,120.89914942397824
2048,ABW,120.89914942397824
2049,ABW,120.89914942397824
2050,ABW,120.89914942397824
2021,AFG,120.89914942397824
2022,AFG,120.89914942397824
2023,AFG,120.89914942397824
2024,AFG,120.89914942397824
2025,AFG,120.89914942397824
2026,AFG,120.89914942397824
2027,AFG,120.89914942397824
2028,AFG,120.89914942397824
2029,AFG,120.89914942397824
2030,AFG,120.89914942397824
2031,AFG,120.89914942397824
2032,AFG,120.89914942397824
2033,AFG,120.89914942397824
2034,AFG,120.89914942397824
2035,AFG,120.89914942397824
2036,AFG,120.89914942397824
2037,AFG,120.89914942397824
2038,AFG,120.89914942397824
2039,AFG,120.89914942397824
2040,AFG,120.89914942397824
2041,AFG,120.89914942397824
2042,AFG,120.89914942397824
2043,AFG,120.89914942397824
2044,AFG,120.89914942397824
2045,AFG,120.89914942397824
2046,AFG,120.89914942397824
2047,AFG,120.89914942397824
2048,AFG,120.89914942397824
2049,AFG,120.89914942397824
2050,AFG,120.89914942397824
2021,AGO,120.89914942397824
2022,AGO,120.89914942397824
2023,AGO,120.89914942397824
2024,AGO,120.89914942397824
2025,AGO,120.89914942397824
2026,AGO,120.89914942397824
2027,AGO,120.89914942397824
2028,AGO,120.89914942397824
2029,AGO,120.89914942397824
2030,AGO,120.89914942397824
2031,AGO,120.89914942397824
2032,AGO,120.89914942397824
2033,AGO,120.89914942397824
2034,AGO,120.89914942397824
2035,AGO,120.89914942397824
2036,AGO,120.89914942397824
2037,AGO,120.89914942397824
2038,AGO,120.89914942397824
2039,AGO,120.89914942397824
2040,AGO,120.89914942397824
2041,AGO,120.89914942397824
2042,AGO,120.89914942397824
2043,AGO,120.89914942397824
2044,AGO,120.89914942397824
2045,AGO,120.89914942397824
2046,AGO,120.89914942397824
2047,AGO,120.89914942397824
