Year,iso_code3,cost_enfu_fuel_kerosene_usd_per_m3
2015,ABW,274.0889068
2016,ABW,274.0889068
2017,ABW,274.0889068
2018,ABW,274.0889068
2019,ABW,274.0889068
2020,ABW,274.0889068
2015,AFG,274.0889068
2016,AFG,274.0889068
2017,AFG,274.0889068
2018,AFG,274.0889068
2019,AFG,274.0889068
2020,AFG,274.0889068
2015,AGO,274.0889068
2016,AGO,274.0889068
2017,AGO,274.0889068
2018,AGO,274.0889068
2019,AGO,274.0889068
2020,AGO,274.0889068
2015,ALB,274.0889068
2016,ALB,274.0889068
2017,ALB,274.0889068
2018,ALB,274.0889068
2019,ALB,274.0889068
2020,ALB,274.0889068
2015,AND,274.0889068
2016,AND,274.0889068
2017,AND,274.0889068
2018,AND,274.0889068
2019,AND,274.0889068
2020,AND,274.0889068
2015,ARE,274.0889068
2016,ARE,274.0889068
2017,ARE,274.0889068
2018,ARE,274.0889068
2019,ARE,274.0889068
2020,ARE,274.0889068
2015,ARG,257.81875
2016,ARG,257.81875
2017,ARG,257.81875
2018,ARG,257.81875
2019,ARG,257.81875
2020,ARG,257.81875
2015,ARM,25.26166667
2016,ARM,25.26166667
2017,ARM,25.26166667
2018,ARM,25.26166667
2019,ARM,25.26166667
2020,ARM,25.26166667
2015,ASM,274.0889068
2016,ASM,274.0889068
2017,ASM,274.0889068
2018,ASM,274.0889068
2019,ASM,274.0889068
2020,ASM,274.0889068
2015,ATG,274.0889068
2016,ATG,274.0889068
2017,ATG,274.0889068
2018,ATG,274.0889068
2019,ATG,274.0889068
2020,ATG,274.0889068
2015,AUS,274.0889068
2016,AUS,274.0889068
2017,AUS,274.0889068
2018,AUS,274.0889068
2019,AUS,274.0889068
2020,AUS,274.0889068
2015,AUT,274.0889068
2016,AUT,274.0889068
2017,AUT,274.0889068
2018,AUT,274.0889068
2019,AUT,274.0889068
2020,AUT,274.0889068
2015,AZE,274.0889068
2016,AZE,274.0889068
2017,AZE,274.0889068
2018,AZE,274.0889068
2019,AZE,274.0889068
2020,AZE,274.0889068
2015,BDI,274.0889068
2016,BDI,274.0889068
2017,BDI,274.0889068
2018,BDI,274.0889068
2019,BDI,274.0889068
2020,BDI,274.0889068
2015,BEL,274.0889068
2016,BEL,274.0889068
2017,BEL,274.0889068
2018,BEL,274.0889068
2019,BEL,274.0889068
2020,BEL,274.0889068
2015,BEN,274.0889068
2016,BEN,274.0889068
2017,BEN,274.0889068
2018,BEN,274.0889068
2019,BEN,274.0889068
2020,BEN,274.0889068
2015,BFA,274.0889068
2016,BFA,274.0889068
2017,BFA,274.0889068
2018,BFA,274.0889068
2019,BFA,274.0889068
2020,BFA,274.0889068
2015,BGD,698.9014286
2016,BGD,698.9014286
2017,BGD,698.9014286
2018,BGD,698.9014286
2019,BGD,698.9014286
2020,BGD,698.9014286
2015,BGR,478.7975
2016,BGR,478.7975
2017,BGR,478.7975
2018,BGR,478.7975
2019,BGR,478.7975
2020,BGR,478.7975
2015,BHR,203.95125
2016,BHR,203.95125
2017,BHR,203.95125
2018,BHR,203.95125
2019,BHR,203.95125
2020,BHR,203.95125
2015,BHS,274.0889068
2016,BHS,274.0889068
2017,BHS,274.0889068
2018,BHS,274.0889068
2019,BHS,274.0889068
2020,BHS,274.0889068
2015,BIH,274.0889068
2016,BIH,274.0889068
2017,BIH,274.0889068
