Year,iso_code3,cost_enfu_fuel_natural_gas_usd_per_mmbtu
2021,ABW,6.239751837344495
2022,ABW,6.239751837344495
2023,ABW,6.239751837344495
2024,ABW,6.239751837344495
2025,ABW,6.239751837344495
2026,ABW,6.239751837344495
2027,ABW,6.239751837344495
2028,ABW,6.239751837344495
2029,ABW,6.239751837344495
2030,ABW,6.239751837344495
2031,ABW,6.239751837344495
2032,ABW,6.239751837344495
2033,ABW,6.239751837344495
2034,ABW,6.239751837344495
2035,ABW,6.239751837344495
2036,ABW,6.239751837344495
2037,ABW,6.239751837344495
2038,ABW,6.239751837344495
2039,ABW,6.239751837344495
2040,ABW,6.239751837344495
2041,ABW,6.239751837344495
2042,ABW,6.239751837344495
2043,ABW,6.239751837344495
2044,ABW,6.239751837344495
2045,ABW,6.239751837344495
2046,ABW,6.239751837344495
2047,ABW,6.239751837344495
2048,ABW,6.239751837344495
2049,ABW,6.239751837344495
2050,ABW,6.239751837344495
2021,AFG,6.239751837344495
2022,AFG,6.239751837344495
2023,AFG,6.239751837344495
2024,AFG,6.239751837344495
2025,AFG,6.239751837344495
2026,AFG,6.239751837344495
2027,AFG,6.239751837344495
2028,AFG,6.239751837344495
2029,AFG,6.239751837344495
2030,AFG,6.239751837344495
2031,AFG,6.239751837344495
2032,AFG,6.239751837344495
2033,AFG,6.239751837344495
2034,AFG,6.239751837344495
2035,AFG,6.239751837344495
2036,AFG,6.239751837344495
2037,AFG,6.239751837344495
2038,AFG,6.239751837344495
2039,AFG,6.239751837344495
2040,AFG,6.239751837344495
2041,AFG,6.239751837344495
2042,AFG,6.239751837344495
2043,AFG,6.239751837344495
2044,AFG,6.239751837344495
2045,AFG,6.239751837344495
2046,AFG,6.239751837344495
2047,AFG,6.239751837344495
2048,AFG,6.239751837344495
2049,AFG,6.239751837344495
2050,AFG,6.239751837344495
2021,AGO,6.239751837344495
2022,AGO,6.239751837344495
2023,AGO,6.239751837344495
2024,AGO,6.239751837344495
2025,AGO,6.239751837344495
2026,AGO,6.239751837344495
2027,AGO,6.239751837344495
2028,AGO,6.239751837344495
2029,AGO,6.239751837344495
2030,AGO,6.239751837344495
2031,AGO,6.239751837344495
2032,AGO,6.239751837344495
2033,AGO,6.239751837344495
2034,AGO,6.239751837344495
2035,AGO,6.239751837344495
2036,AGO,6.239751837344495
2037,AGO,6.239751837344495
2038,AGO,6.239751837344495
2039,AGO,6.239751837344495
2040,AGO,6.239751837344495
2041,AGO,6.239751837344495
2042,AGO,6.239751837344495
2043,AGO,6.239751837344495
2044,AGO,6.239751837344495
2045,AGO,6.239751837344495
2046,AGO,6.239751837344495
2047,AGO,6.239751837344495
2048,AGO,6.239751837344495
2049,AGO,6.239751837344495
2050,AGO,6.239751837344495
2021,ALB,6.239751837344495
2022,ALB,6.239751837344495
2023,ALB,6.239751837344495
2024,ALB,6.239751837344495
2025,ALB,6.239751837344495
2026,ALB,6.239751837344495
2027,ALB,6.239751837344495
2028,ALB,6.239751837344495
2029,ALB,6.239751837344495
2030,ALB,6.239751837344495
2031,ALB,6.239751837344495
2032,ALB,6.239751837344495
2033,ALB,6.239751837344495
2034,ALB,6.239751837344495
2035,ALB,6.239751837344495
2036,ALB,6.239751837344495
2037,ALB,6.239751837344495
2038,ALB,6.239751837344495
2039,ALB,6.239751837344495
2040,ALB,6.239751837344495
2041,ALB,6.239751837344495
2042,ALB,6.239751837344495
2043,ALB,6.239751837344495
2044,ALB,6.239751837344495
2045,ALB,6.239751837344495
2046,ALB,6.239751837344495
2047,ALB,6.239751837344495
2048,ALB,6.239751837344495
2049,ALB,6.239751837344495
2050,ALB,6.239751837344495
2021,AND,6.239751837344495
2022,AND,6.239751837344495
2023,AND,6.239751837344495
2024,AND,6.239751837344495
2025,AND,6.239751837344495
2026,AND,6.239751837344495
2027,AND,6.239751837344495
2028,AND,6.239751837344495
2029,AND,6.239751837344495
2030,AND,6.239751837344495
2031,AND,6.239751837344495
2032,AND,6.239751837344495
2033,AND,6.239751837344495
2034,AND,6.239751837344495
2035,AND,6.239751837344495
2036,AND,6.239751837344495
2037,AND,6.239751837344495
2038,AND,6.239751837344495
2039,AND,6.239751837344495
2040,AND,6.239751837344495
2041,AND,6.239751837344495
2042,AND,6.239751837344495
2043,AND,6.239751837344495
2044,AND,6.239751837344495
2045,AND,6.239751837344495
2046,AND,6.239751837344495
2047,AND,6.239751837344495
2048,AND,6.239751837344495
2049,AND,6.239751837344495
2050,AND,6.239751837344495
2021,ARE,6.239751837344495
2022,ARE,6.239751837344495
2023,ARE,6.239751837344495
2024,ARE,6.239751837344495
2025,ARE,6.239751837344495
2026,ARE,6.239751837344495
2027,ARE,6.239751837344495
2028,ARE,6.239751837344495
2029,ARE,6.239751837344495
2030,ARE,6.239751837344495
2031,ARE,6.239751837344495
2032,ARE,6.239751837344495
2033,ARE,6.239751837344495
2034,ARE,6.239751837344495
2035,ARE,6.239751837344495
2036,ARE,6.239751837344495
2037,ARE,6.239751837344495
2038,ARE,6.239751837344495
2039,ARE,6.239751837344495
2040,ARE,6.239751837344495
2041,ARE,6.239751837344495
2042,ARE,6.239751837344495
2043,ARE,6.239751837344495
2044,ARE,6.239751837344495
2045,ARE,6.239751837344495
2046,ARE,6.239751837344495
2047,ARE,6.239751837344495
2048,ARE,6.239751837344495
2049,ARE,6.239751837344495
2050,ARE,6.239751837344495
2021,ARG,6.239751837344495
2022,ARG,6.239751837344495
2023,ARG,6.239751837344495
2024,ARG,6.239751837344495
2025,ARG,6.239751837344495
2026,ARG,6.239751837344495
2027,ARG,6.239751837344495
2028,ARG,6.239751837344495
2029,ARG,6.239751837344495
2030,ARG,6.239751837344495
2031,ARG,6.239751837344495
2032,ARG,6.239751837344495
2033,ARG,6.239751837344495
2034,ARG,6.239751837344495
2035,ARG,6.239751837344495
2036,ARG,6.239751837344495
2037,ARG,6.239751837344495
2038,ARG,6.239751837344495
2039,ARG,6.239751837344495
2040,ARG,6.239751837344495
2041,ARG,6.239751837344495
2042,ARG,6.239751837344495
2043,ARG,6.239751837344495
2044,ARG,6.239751837344495
2045,ARG,6.239751837344495
2046,ARG,6.239751837344495
2047,ARG,6.239751837344495
2048,ARG,6.239751837344495
2049,ARG,6.239751837344495
2050,ARG,6.239751837344495
2021,ARM,6.239751837344495
2022,ARM,6.239751837344495
2023,ARM,6.239751837344495
2024,ARM,6.239751837344495
2025,ARM,6.239751837344495
2026,ARM,6.239751837344495
2027,ARM,6.239751837344495
2028,ARM,6.239751837344495
2029,ARM,6.239751837344495
2030,ARM,6.239751837344495
2031,ARM,6.239751837344495
2032,ARM,6.239751837344495
2033,ARM,6.239751837344495
2034,ARM,6.239751837344495
2035,ARM,6.239751837344495
2036,ARM,6.239751837344495
2037,ARM,6.239751837344495
2038,ARM,6.239751837344495
2039,ARM,6.239751837344495
2040,ARM,6.239751837344495
2041,ARM,6.239751837344495
2042,ARM,6.239751837344495
2043,ARM,6.239751837344495
2044,ARM,6.239751837344495
2045,ARM,6.239751837344495
2046,ARM,6.239751837344495
2047,ARM,6.239751837344495
2048,ARM,6.239751837344495
2049,ARM,6.239751837344495
2050,ARM,6.239751837344495
2021,ASM,6.239751837344495
2022,ASM,6.239751837344495
2023,ASM,6.239751837344495
2024,ASM,6.239751837344495
2025,ASM,6.239751837344495
2026,ASM,6.239751837344495
2027,ASM,6.239751837344495
2028,ASM,6.239751837344495
2029,ASM,6.239751837344495
2030,ASM,6.239751837344495
2031,ASM,6.239751837344495
2032,ASM,6.239751837344495
2033,ASM,6.239751837344495
2034,ASM,6.239751837344495
2035,ASM,6.239751837344495
2036,ASM,6.239751837344495
2037,ASM,6.239751837344495
2038,ASM,6.239751837344495
2039,ASM,6.239751837344495
2040,ASM,6.239751837344495
2041,ASM,6.239751837344495
2042,ASM,6.239751837344495
2043,ASM,6.239751837344495
2044,ASM,6.239751837344495
2045,ASM,6.239751837344495
2046,ASM,6.239751837344495
2047,ASM,6.239751837344495
2048,ASM,6.239751837344495
2049,ASM,6.239751837344495
2050,ASM,6.239751837344495
2021,ATG,6.239751837344495
2022,ATG,6.239751837344495
2023,ATG,6.239751837344495
2024,ATG,6.239751837344495
2025,ATG,6.239751837344495
2026,ATG,6.239751837344495
2027,ATG,6.239751837344495
2028,ATG,6.239751837344495
2029,ATG,6.239751837344495
2030,ATG,6.239751837344495
2031,ATG,6.239751837344495
2032,ATG,6.239751837344495
2033,ATG,6.239751837344495
2034,ATG,6.239751837344495
2035,ATG,6.239751837344495
2036,ATG,6.239751837344495
2037,ATG,6.239751837344495
2038,ATG,6.239751837344495
2039,ATG,6.239751837344495
2040,ATG,6.239751837344495
2041,ATG,6.239751837344495
2042,ATG,6.239751837344495
2043,ATG,6.239751837344495
2044,ATG,6.239751837344495
2045,ATG,6.239751837344495
2046,ATG,6.239751837344495
2047,ATG,6.239751837344495
2048,ATG,6.239751837344495
2049,ATG,6.239751837344495
2050,ATG,6.239751837344495
2021,AUS,6.239751837344495
2022,AUS,6.239751837344495
2023,AUS,6.239751837344495
2024,AUS,6.239751837344495
2025,AUS,6.239751837344495
2026,AUS,6.239751837344495
2027,AUS,6.239751837344495
2028,AUS,6.239751837344495
2029,AUS,6.239751837344495
2030,AUS,6.239751837344495
2031,AUS,6.239751837344495
2032,AUS,6.239751837344495
2033,AUS,6.239751837344495
2034,AUS,6.239751837344495
2035,AUS,6.239751837344495
2036,AUS,6.239751837344495
2037,AUS,6.239751837344495
2038,AUS,6.239751837344495
2039,AUS,6.239751837344495
2040,AUS,6.239751837344495
2041,AUS,6.239751837344495
2042,AUS,6.239751837344495
2043,AUS,6.239751837344495
2044,AUS,6.239751837344495
2045,AUS,6.239751837344495
2046,AUS,6.239751837344495
2047,AUS,6.239751837344495
2048,AUS,6.239751837344495
2049,AUS,6.239751837344495
2050,AUS,6.239751837344495
2021,AUT,19.25816648531456
2022,AUT,19.25816648531456
2023,AUT,19.25816648531456
2024,AUT,19.25816648531456
