,Nation,iso_code3,Year,cost_enfu_fuel_oil_usd_per_m3
0,Aruba,ABW,2022.0,445.9649123840332
1,Aruba,ABW,2023.0,445.9649123840332
2,Aruba,ABW,2024.0,445.9649123840332
3,Aruba,ABW,2025.0,445.9649123840332
4,Aruba,ABW,2026.0,445.9649123840332
5,Aruba,ABW,2027.0,445.9649123840332
6,Aruba,ABW,2028.0,445.9649123840332
7,Aruba,ABW,2029.0,445.9649123840332
8,Aruba,ABW,2030.0,445.9649123840332
9,Aruba,ABW,2031.0,445.9649123840332
10,Aruba,ABW,2032.0,445.9649123840332
11,Aruba,ABW,2033.0,445.9649123840332
12,Aruba,ABW,2034.0,445.9649123840332
13,Aruba,ABW,2035.0,445.9649123840332
14,Aruba,ABW,2036.0,445.9649123840332
15,Aruba,ABW,2037.0,445.9649123840332
16,Aruba,ABW,2038.0,445.9649123840332
17,Aruba,ABW,2039.0,445.9649123840332
18,Aruba,ABW,2040.0,445.9649123840332
19,Aruba,ABW,2041.0,445.9649123840332
20,Aruba,ABW,2042.0,445.9649123840332
21,Aruba,ABW,2043.0,445.9649123840332
22,Aruba,ABW,2044.0,445.9649123840332
23,Aruba,ABW,2045.0,445.9649123840332
24,Aruba,ABW,2046.0,445.9649123840332
25,Aruba,ABW,2047.0,445.9649123840332
26,Aruba,ABW,2048.0,445.9649123840332
27,Aruba,ABW,2049.0,445.9649123840332
28,Aruba,ABW,2050.0,445.9649123840332
29,Africa Eastern and Southern,AFE,2022.0,445.9649123840332
30,Africa Eastern and Southern,AFE,2023.0,445.9649123840332
31,Africa Eastern and Southern,AFE,2024.0,445.9649123840332
32,Africa Eastern and Southern,AFE,2025.0,445.9649123840332
33,Africa Eastern and Southern,AFE,2026.0,445.9649123840332
34,Africa Eastern and Southern,AFE,2027.0,445.9649123840332
35,Africa Eastern and Southern,AFE,2028.0,445.9649123840332
36,Africa Eastern and Southern,AFE,2029.0,445.9649123840332
37,Africa Eastern and Southern,AFE,2030.0,445.9649123840332
38,Africa Eastern and Southern,AFE,2031.0,445.9649123840332
39,Africa Eastern and Southern,AFE,2032.0,445.9649123840332
40,Africa Eastern and Southern,AFE,2033.0,445.9649123840332
41,Africa Eastern and Southern,AFE,2034.0,445.9649123840332
42,Africa Eastern and Southern,AFE,2035.0,445.9649123840332
43,Africa Eastern and Southern,AFE,2036.0,445.9649123840332
44,Africa Eastern and Southern,AFE,2037.0,445.9649123840332
45,Africa Eastern and Southern,AFE,2038.0,445.9649123840332
46,Africa Eastern and Southern,AFE,2039.0,445.9649123840332
47,Africa Eastern and Southern,AFE,2040.0,445.9649123840332
48,Africa Eastern and Southern,AFE,2041.0,445.9649123840332
49,Africa Eastern and Southern,AFE,2042.0,445.9649123840332
50,Africa Eastern and Southern,AFE,2043.0,445.9649123840332
51,Africa Eastern and Southern,AFE,2044.0,445.9649123840332
52,Africa Eastern and Southern,AFE,2045.0,445.9649123840332
53,Africa Eastern and Southern,AFE,2046.0,445.9649123840332
54,Africa Eastern and Southern,AFE,2047.0,445.9649123840332
55,Africa Eastern and Southern,AFE,2048.0,445.9649123840332
56,Africa Eastern and Southern,AFE,2049.0,445.9649123840332
57,Africa Eastern and Southern,AFE,2050.0,445.9649123840332
58,Afghanistan,AFG,2022.0,445.9649123840332
59,Afghanistan,AFG,2023.0,445.9649123840332
60,Afghanistan,AFG,2024.0,445.9649123840332
61,Afghanistan,AFG,2025.0,445.9649123840332
62,Afghanistan,AFG,2026.0,445.9649123840332
63,Afghanistan,AFG,2027.0,445.9649123840332
64,Afghanistan,AFG,2028.0,445.9649123840332
65,Afghanistan,AFG,2029.0,445.9649123840332
66,Afghanistan,AFG,2030.0,445.9649123840332
67,Afghanistan,AFG,2031.0,445.9649123840332
68,Afghanistan,AFG,2032.0,445.9649123840332
69,Afghanistan,AFG,2033.0,445.9649123840332
70,Afghanistan,AFG,2034.0,445.9649123840332
71,Afghanistan,AFG,2035.0,445.9649123840332
72,Afghanistan,AFG,2036.0,445.9649123840332
73,Afghanistan,AFG,2037.0,445.9649123840332
74,Afghanistan,AFG,2038.0,445.9649123840332
75,Afghanistan,AFG,2039.0,445.9649123840332
76,Afghanistan,AFG,2040.0,445.9649123840332
77,Afghanistan,AFG,2041.0,445.9649123840332
78,Afghanistan,AFG,2042.0,445.9649123840332
79,Afghanistan,AFG,2043.0,445.9649123840332
80,Afghanistan,AFG,2044.0,445.9649123840332
81,Afghanistan,AFG,2045.0,445.9649123840332
82,Afghanistan,AFG,2046.0,445.9649123840332
83,Afghanistan,AFG,2047.0,445.9649123840332
84,Afghanistan,AFG,2048.0,445.9649123840332
85,Afghanistan,AFG,2049.0,445.9649123840332
86,Afghanistan,AFG,2050.0,445.9649123840332
87,Africa Western and Central,AFW,2022.0,445.9649123840332
88,Africa Western and Central,AFW,2023.0,445.9649123840332
89,Africa Western and Central,AFW,2024.0,445.9649123840332
90,Africa Western and Central,AFW,2025.0,445.9649123840332
91,Africa Western and Central,AFW,2026.0,445.9649123840332
92,Africa Western and Central,AFW,2027.0,445.9649123840332
93,Africa Western and Central,AFW,2028.0,445.9649123840332
94,Africa Western and Central,AFW,2029.0,445.9649123840332
