,Nation,iso_code3,Year,deminit_trde_private_and_public_per_capita_passenger_km
0,Aruba,ABW,2017,34344.4821917842
1,Aruba,ABW,2018,34344.4821917842
2,Aruba,ABW,2019,34344.4821917842
3,Aruba,ABW,2020,34344.4821917842
4,Aruba,ABW,2021,34344.4821917842
5,Aruba,ABW,2022,34344.4821917842
6,Aruba,ABW,2023,34344.4821917842
7,Aruba,ABW,2024,34344.4821917842
8,Aruba,ABW,2025,34344.4821917842
9,Aruba,ABW,2026,34344.4821917842
10,Aruba,ABW,2027,34344.4821917842
11,Aruba,ABW,2028,34344.4821917842
12,Aruba,ABW,2029,34344.4821917842
13,Aruba,ABW,2030,34344.4821917842
14,Aruba,ABW,2031,34344.4821917842
15,Aruba,ABW,2032,34344.4821917842
16,Aruba,ABW,2033,34344.4821917842
17,Aruba,ABW,2034,34344.4821917842
18,Aruba,ABW,2035,34344.4821917842
19,Aruba,ABW,2036,34344.4821917842
20,Aruba,ABW,2037,34344.4821917842
21,Aruba,ABW,2038,34344.4821917842
22,Aruba,ABW,2039,34344.4821917842
23,Aruba,ABW,2040,34344.4821917842
24,Aruba,ABW,2041,34344.4821917842
25,Aruba,ABW,2042,34344.4821917842
26,Aruba,ABW,2043,34344.4821917842
27,Aruba,ABW,2044,34344.4821917842
28,Aruba,ABW,2045,34344.4821917842
29,Aruba,ABW,2046,34344.4821917842
30,Aruba,ABW,2047,34344.4821917842
31,Aruba,ABW,2048,34344.4821917842
32,Aruba,ABW,2049,34344.4821917842
33,Aruba,ABW,2050,34344.4821917842
34,Africa Eastern and Southern,AFE,2017,5.904358090814252
35,Africa Eastern and Southern,AFE,2018,5.904358090814252
36,Africa Eastern and Southern,AFE,2019,5.904358090814252
37,Africa Eastern and Southern,AFE,2020,5.904358090814252
38,Africa Eastern and Southern,AFE,2021,5.904358090814252
39,Africa Eastern and Southern,AFE,2022,5.904358090814252
40,Africa Eastern and Southern,AFE,2023,5.904358090814252
41,Africa Eastern and Southern,AFE,2024,5.904358090814252
42,Africa Eastern and Southern,AFE,2025,5.904358090814252
43,Africa Eastern and Southern,AFE,2026,5.904358090814252
44,Africa Eastern and Southern,AFE,2027,5.904358090814252
45,Africa Eastern and Southern,AFE,2028,5.904358090814252
46,Africa Eastern and Southern,AFE,2029,5.904358090814252
47,Africa Eastern and Southern,AFE,2030,5.904358090814252
48,Africa Eastern and Southern,AFE,2031,5.904358090814252
49,Africa Eastern and Southern,AFE,2032,5.904358090814252
50,Africa Eastern and Southern,AFE,2033,5.904358090814252
51,Africa Eastern and Southern,AFE,2034,5.904358090814252
52,Africa Eastern and Southern,AFE,2035,5.904358090814252
53,Africa Eastern and Southern,AFE,2036,5.904358090814252
54,Africa Eastern and Southern,AFE,2037,5.904358090814252
55,Africa Eastern and Southern,AFE,2038,5.904358090814252
56,Africa Eastern and Southern,AFE,2039,5.904358090814252
57,Africa Eastern and Southern,AFE,2040,5.904358090814252
58,Africa Eastern and Southern,AFE,2041,5.904358090814252
59,Africa Eastern and Southern,AFE,2042,5.904358090814252
60,Africa Eastern and Southern,AFE,2043,5.904358090814252
61,Africa Eastern and Southern,AFE,2044,5.904358090814252
62,Africa Eastern and Southern,AFE,2045,5.904358090814252
63,Africa Eastern and Southern,AFE,2046,5.904358090814252
64,Africa Eastern and Southern,AFE,2047,5.904358090814252
65,Africa Eastern and Southern,AFE,2048,5.904358090814252
66,Africa Eastern and Southern,AFE,2049,5.904358090814252
67,Africa Eastern and Southern,AFE,2050,5.904358090814252
68,Afghanistan,AFG,2017,101.78705239815683
69,Afghanistan,AFG,2018,101.78705239815683
70,Afghanistan,AFG,2019,101.78705239815683
71,Afghanistan,AFG,2020,101.78705239815683
72,Afghanistan,AFG,2021,101.78705239815683
73,Afghanistan,AFG,2022,101.78705239815683
74,Afghanistan,AFG,2023,101.78705239815683
75,Afghanistan,AFG,2024,101.78705239815683
76,Afghanistan,AFG,2025,101.78705239815683
77,Afghanistan,AFG,2026,101.78705239815683
78,Afghanistan,AFG,2027,101.78705239815683
79,Afghanistan,AFG,2028,101.78705239815683
80,Afghanistan,AFG,2029,101.78705239815683
81,Afghanistan,AFG,2030,101.78705239815683
82,Afghanistan,AFG,2031,101.78705239815683
83,Afghanistan,AFG,2032,101.78705239815683
84,Afghanistan,AFG,2033,101.78705239815683
85,Afghanistan,AFG,2034,101.78705239815683
86,Afghanistan,AFG,2035,101.78705239815683
87,Afghanistan,AFG,2036,101.78705239815683
88,Afghanistan,AFG,2037,101.78705239815683
89,Afghanistan,AFG,2038,101.78705239815683
90,Afghanistan,AFG,2039,101.78705239815683
91,Afghanistan,AFG,2040,101.78705239815683
92,Afghanistan,AFG,2041,101.78705239815683
93,Afghanistan,AFG,2042,101.78705239815683
94,Afghanistan,AFG,2043,101.78705239815683
95,Afghanistan,AFG,2044,101.78705239815683
96,Afghanistan,AFG,2045,101.78705239815683
97,Afghanistan,AFG,2046,101.78705239815683
98,Afghanistan,AFG,2047,101.78705239815683
99,Afghanistan,AFG,2048,101.78705239815683
100,Afghanistan,AFG,2049,101.78705239815683
101,Afghanistan,AFG,2050,101.78705239815683
102,Africa Western and Central,AFW,2017,8.729906156570967
103,Africa Western and Central,AFW,2018,8.729906156570967
104,Africa Western and Central,AFW,2019,8.729906156570967
105,Africa Western and Central,AFW,2020,8.729906156570967
106,Africa Western and Central,AFW,2021,8.729906156570967
107,Africa Western and Central,AFW,2022,8.729906156570967
108,Africa Western and Central,AFW,2023,8.729906156570967
109,Africa Western and Central,AFW,2024,8.729906156570967
110,Africa Western and Central,AFW,2025,8.729906156570967
