Year,Nation,iso_code3,frac_enfu_fuel_demand_imported_pj_fuel_hydrocarbon_gas_liquids
2017,albania,ALB,0.47828244060434716
2018,albania,ALB,0.47828244060434716
2019,albania,ALB,0.47828244060434716
2020,albania,ALB,0.47828244060434716
2021,albania,ALB,0.47828244060434716
2022,albania,ALB,0.47828244060434716
2023,albania,ALB,0.47828244060434716
2024,albania,ALB,0.47828244060434716
2025,albania,ALB,0.47828244060434716
2026,albania,ALB,0.47828244060434716
2027,albania,ALB,0.47828244060434716
2028,albania,ALB,0.47828244060434716
2029,albania,ALB,0.47828244060434716
2030,albania,ALB,0.47828244060434716
2031,albania,ALB,0.47828244060434716
2032,albania,ALB,0.47828244060434716
2033,albania,ALB,0.47828244060434716
2034,albania,ALB,0.47828244060434716
2035,albania,ALB,0.47828244060434716
2036,albania,ALB,0.47828244060434716
2037,albania,ALB,0.47828244060434716
2038,albania,ALB,0.47828244060434716
2039,albania,ALB,0.47828244060434716
2040,albania,ALB,0.47828244060434716
2041,albania,ALB,0.47828244060434716
2042,albania,ALB,0.47828244060434716
2043,albania,ALB,0.47828244060434716
2044,albania,ALB,0.47828244060434716
2045,albania,ALB,0.47828244060434716
2046,albania,ALB,0.47828244060434716
2047,albania,ALB,0.47828244060434716
2048,albania,ALB,0.47828244060434716
2049,albania,ALB,0.47828244060434716
2050,albania,ALB,0.47828244060434716
2017,algeria,DZA,0.08522832344006953
2018,algeria,DZA,0.08522832344006953
2019,algeria,DZA,0.08522832344006953
2020,algeria,DZA,0.08522832344006953
2021,algeria,DZA,0.08522832344006953
2022,algeria,DZA,0.08522832344006953
2023,algeria,DZA,0.08522832344006953
2024,algeria,DZA,0.08522832344006953
2025,algeria,DZA,0.08522832344006953
2026,algeria,DZA,0.08522832344006953
2027,algeria,DZA,0.08522832344006953
2028,algeria,DZA,0.08522832344006953
2029,algeria,DZA,0.08522832344006953
2030,algeria,DZA,0.08522832344006953
2031,algeria,DZA,0.08522832344006953
2032,algeria,DZA,0.08522832344006953
2033,algeria,DZA,0.08522832344006953
2034,algeria,DZA,0.08522832344006953
2035,algeria,DZA,0.08522832344006953
2036,algeria,DZA,0.08522832344006953
2037,algeria,DZA,0.08522832344006953
2038,algeria,DZA,0.08522832344006953
2039,algeria,DZA,0.08522832344006953
2040,algeria,DZA,0.08522832344006953
2041,algeria,DZA,0.08522832344006953
2042,algeria,DZA,0.08522832344006953
2043,algeria,DZA,0.08522832344006953
2044,algeria,DZA,0.08522832344006953
2045,algeria,DZA,0.08522832344006953
2046,algeria,DZA,0.08522832344006953
2047,algeria,DZA,0.08522832344006953
2048,algeria,DZA,0.08522832344006953
2049,algeria,DZA,0.08522832344006953
2050,algeria,DZA,0.08522832344006953
2017,angola,AGO,0.4617766489183878
2018,angola,AGO,0.4617766489183878
2019,angola,AGO,0.4617766489183878
2020,angola,AGO,0.4617766489183878
2021,angola,AGO,0.4617766489183878
2022,angola,AGO,0.4617766489183878
2023,angola,AGO,0.4617766489183878
2024,angola,AGO,0.4617766489183878
2025,angola,AGO,0.4617766489183878
2026,angola,AGO,0.4617766489183878
2027,angola,AGO,0.4617766489183878
2028,angola,AGO,0.4617766489183878
2029,angola,AGO,0.4617766489183878
2030,angola,AGO,0.4617766489183878
2031,angola,AGO,0.4617766489183878
2032,angola,AGO,0.4617766489183878
2033,angola,AGO,0.4617766489183878
2034,angola,AGO,0.4617766489183878
2035,angola,AGO,0.4617766489183878
2036,angola,AGO,0.4617766489183878
2037,angola,AGO,0.4617766489183878
2038,angola,AGO,0.4617766489183878
2039,angola,AGO,0.4617766489183878
2040,angola,AGO,0.4617766489183878
2041,angola,AGO,0.4617766489183878
2042,angola,AGO,0.4617766489183878
2043,angola,AGO,0.4617766489183878
2044,angola,AGO,0.4617766489183878
2045,angola,AGO,0.4617766489183878
2046,angola,AGO,0.4617766489183878
2047,angola,AGO,0.4617766489183878
2048,angola,AGO,0.4617766489183878
2049,angola,AGO,0.4617766489183878
2050,angola,AGO,0.4617766489183878
2017,argentina,ARG,0.17218399542718263
2018,argentina,ARG,0.17218399542718263
2019,argentina,ARG,0.17218399542718263
2020,argentina,ARG,0.17218399542718263
2021,argentina,ARG,0.17218399542718263
2022,argentina,ARG,0.17218399542718263
2023,argentina,ARG,0.17218399542718263
2024,argentina,ARG,0.17218399542718263
2025,argentina,ARG,0.17218399542718263
2026,argentina,ARG,0.17218399542718263
2027,argentina,ARG,0.17218399542718263
2028,argentina,ARG,0.17218399542718263
2029,argentina,ARG,0.17218399542718263
2030,argentina,ARG,0.17218399542718263
2031,argentina,ARG,0.17218399542718263
2032,argentina,ARG,0.17218399542718263
2033,argentina,ARG,0.17218399542718263
2034,argentina,ARG,0.17218399542718263
2035,argentina,ARG,0.17218399542718263
2036,argentina,ARG,0.17218399542718263
2037,argentina,ARG,0.17218399542718263
2038,argentina,ARG,0.17218399542718263
2039,argentina,ARG,0.17218399542718263
2040,argentina,ARG,0.17218399542718263
2041,argentina,ARG,0.17218399542718263
2042,argentina,ARG,0.17218399542718263
2043,argentina,ARG,0.17218399542718263
2044,argentina,ARG,0.17218399542718263
2045,argentina,ARG,0.17218399542718263
2046,argentina,ARG,0.17218399542718263
