Year,Nation,iso_code3,iso_code3,frac_enfu_fuel_demand_imported_pj_fuel_natural_gas
1960,albania,ALB,,-0.0
1961,albania,ALB,,-0.0
1962,albania,ALB,,-0.0
1963,albania,ALB,,-0.0
1964,albania,ALB,,-0.0
1965,albania,ALB,,-0.0
1966,albania,ALB,,-0.0
1967,albania,ALB,,-0.0
1968,albania,ALB,,-0.0
1969,albania,ALB,,-0.0
1970,albania,ALB,,-0.0
1971,albania,ALB,,-0.0
1972,albania,ALB,,-0.0
1973,albania,ALB,,-0.0
1974,albania,ALB,,-0.0
1975,albania,ALB,,-0.0
1976,albania,ALB,,-0.0
1977,albania,ALB,,-0.0
1978,albania,ALB,,-0.0
1979,albania,ALB,,-0.0
1980,albania,ALB,,-0.0
1981,albania,ALB,,-0.0
1982,albania,ALB,,-0.0
1983,albania,ALB,,-0.0
1984,albania,ALB,,-0.0
1985,albania,ALB,,-0.0
1986,albania,ALB,,-0.0
1987,albania,ALB,,-0.0
1988,albania,ALB,,-0.0
1989,albania,ALB,,-0.0
1990,albania,ALB,,-0.0
1991,albania,ALB,,-0.0
1992,albania,ALB,,-0.0
1993,albania,ALB,,-0.0
1994,albania,ALB,,-0.0
1995,albania,ALB,,-0.0
1996,albania,ALB,,-0.0
1997,albania,ALB,,-0.0
1998,albania,ALB,,-0.0
1999,albania,ALB,,-0.0
2000,albania,ALB,,-0.0
2001,albania,ALB,,-0.0
2002,albania,ALB,,-0.0
2003,albania,ALB,,-0.0
2004,albania,ALB,,-0.0
2005,albania,ALB,,-0.0
2006,albania,ALB,,-0.0
2007,albania,ALB,,-0.0
2008,albania,ALB,,-0.0
2009,albania,ALB,,-0.0
2010,albania,ALB,,-0.0
2011,albania,ALB,,-0.0
2012,albania,ALB,,-0.0
2013,albania,ALB,,-0.0
2014,albania,ALB,,-0.0
2015,albania,ALB,,-0.0
2016,albania,ALB,,-0.0
2017,albania,ALB,,-0.0
1960,algeria,DZA,,-0.0
1961,algeria,DZA,,-0.0
1962,algeria,DZA,,-0.0
1963,algeria,DZA,,-0.0
1964,algeria,DZA,,-0.0
1965,algeria,DZA,,-0.0
1966,algeria,DZA,,-0.0
1967,algeria,DZA,,-0.0
1968,algeria,DZA,,-0.0
1969,algeria,DZA,,-0.0
1970,algeria,DZA,,-0.0
1971,algeria,DZA,,-0.0
1972,algeria,DZA,,-0.0
1973,algeria,DZA,,-0.0
1974,algeria,DZA,,-0.0
1975,algeria,DZA,,-0.0
1976,algeria,DZA,,-0.0
1977,algeria,DZA,,-0.0
1978,algeria,DZA,,-0.0
1979,algeria,DZA,,-0.0
1980,algeria,DZA,,-0.0
1981,algeria,DZA,,-0.0
1982,algeria,DZA,,-0.0
1983,algeria,DZA,,-0.0
1984,algeria,DZA,,-0.0
1985,algeria,DZA,,-0.0
1986,algeria,DZA,,-0.0
1987,algeria,DZA,,-0.0
1988,algeria,DZA,,-0.0
1989,algeria,DZA,,-0.0
1990,algeria,DZA,,-0.0
1991,algeria,DZA,,-0.0
1992,algeria,DZA,,-0.0
1993,algeria,DZA,,-0.0
1994,algeria,DZA,,-0.0
1995,algeria,DZA,,-0.0
1996,algeria,DZA,,-0.0
1997,algeria,DZA,,-0.0
1998,algeria,DZA,,-0.0
1999,algeria,DZA,,-0.0
2000,algeria,DZA,,-0.0
2001,algeria,DZA,,-0.0
2002,algeria,DZA,,-0.0
2003,algeria,DZA,,-0.0
2004,algeria,DZA,,-0.0
2005,algeria,DZA,,-0.0
2006,algeria,DZA,,-0.0
2007,algeria,DZA,,-0.0
2008,algeria,DZA,,-0.0
2009,algeria,DZA,,-0.0
2010,algeria,DZA,,-0.0
2011,algeria,DZA,,-0.0
2012,algeria,DZA,,-0.0
2013,algeria,DZA,,-0.0
2014,algeria,DZA,,-0.0
2015,algeria,DZA,,-0.0
2016,algeria,DZA,,-0.0
2017,algeria,DZA,,-0.0
1960,angola,AGO,,-0.0
1961,angola,AGO,,-0.0
1962,angola,AGO,,-0.0
1963,angola,AGO,,-0.0
1964,angola,AGO,,-0.0
1965,angola,AGO,,-0.0
1966,angola,AGO,,-0.0
1967,angola,AGO,,-0.0
1968,angola,AGO,,-0.0
1969,angola,AGO,,-0.0
1970,angola,AGO,,-0.0
1971,angola,AGO,,-0.0
1972,angola,AGO,,-0.0
1973,angola,AGO,,-0.0
1974,angola,AGO,,-0.0
1975,angola,AGO,,-0.0
1976,angola,AGO,,-0.0
1977,angola,AGO,,-0.0
1978,angola,AGO,,-0.0
1979,angola,AGO,,-0.0
1980,angola,AGO,,-0.0
1981,angola,AGO,,-0.0
1982,angola,AGO,,-0.0
1983,angola,AGO,,-0.0
1984,angola,AGO,,-0.0
1985,angola,AGO,,-0.0
1986,angola,AGO,,-0.0
1987,angola,AGO,,-0.0
1988,angola,AGO,,-0.0
1989,angola,AGO,,-0.0
1990,angola,AGO,,-0.0
1991,angola,AGO,,-0.0
1992,angola,AGO,,-0.0
1993,angola,AGO,,-0.0
1994,angola,AGO,,-0.0
1995,angola,AGO,,-0.0
1996,angola,AGO,,-0.0
1997,angola,AGO,,-0.0
1998,angola,AGO,,-0.0
1999,angola,AGO,,-0.0
2000,angola,AGO,,-0.0
2001,angola,AGO,,-0.0
2002,angola,AGO,,-0.0
2003,angola,AGO,,-0.0
2004,angola,AGO,,-0.0
2005,angola,AGO,,-0.0
2006,angola,AGO,,-0.0
2007,angola,AGO,,-0.0
2008,angola,AGO,,-0.0
2009,angola,AGO,,-0.0
2010,angola,AGO,,-0.0
2011,angola,AGO,,-0.0
2012,angola,AGO,,-0.0
2013,angola,AGO,,-0.0
2014,angola,AGO,,-0.0
2015,angola,AGO,,-0.0
2016,angola,AGO,,-0.0
2017,angola,AGO,,-0.0
1960,argentina,ARG,,-0.0
1961,argentina,ARG,,-0.0
1962,argentina,ARG,,-0.0
1963,argentina,ARG,,-0.0
1964,argentina,ARG,,-0.0
1965,argentina,ARG,,-0.0
1966,argentina,ARG,,-0.0
1967,argentina,ARG,,-0.0
1968,argentina,ARG,,-0.0
1969,argentina,ARG,,-0.0
1970,argentina,ARG,,-0.0
1971,argentina,ARG,,-0.0
1972,argentina,ARG,,-0.8302292243778817
1973,argentina,ARG,,-0.8149993671617479
1974,argentina,ARG,,-0.7840620867345776
1975,argentina,ARG,,-0.7214066817538634
1976,argentina,ARG,,-0.8205267731029935
1977,argentina,ARG,,-0.798142116806739
1978,argentina,ARG,,-0.8477634419398563
1979,argentina,ARG,,-0.7989751890182487
1980,argentina,ARG,,-0.8308244826406243
1981,argentina,ARG,,-0.8653004755774124
1982,argentina,ARG,,-0.8635463975015596
1983,argentina,ARG,,-0.9059311389094414
1984,argentina,ARG,,-0.9009318815226719
1985,argentina,ARG,,-0.8641245496803717
1986,argentina,ARG,,-0.8078556166334899
1987,argentina,ARG,,-0.7961264199176079
1988,argentina,ARG,,-0.7564446674192065
1989,argentina,ARG,,-0.7803492296419094
1990,argentina,ARG,,-0.7252628373848302
1991,argentina,ARG,,-0.7666777352659333
1992,argentina,ARG,,-0.6322178224422697
1993,argentina,ARG,,-0.669663136504525
1994,argentina,ARG,,-0.723660379429575
1995,argentina,ARG,,-0.641200692302592
1996,argentina,ARG,,-0.5927678430681402
1997,argentina,ARG,,-0.47822578839504354
1998,argentina,ARG,,-0.4015383748525954
1999,argentina,ARG,,-0.16443687848365623
2000,argentina,ARG,,-0.0
2001,argentina,ARG,,-0.0
2002,argentina,ARG,,-0.03591543289873371
2003,argentina,ARG,,-0.0365396806252767
2004,argentina,ARG,,-0.4290900202936817
2005,argentina,ARG,,-0.3847222436049626
2006,argentina,ARG,,-0.41814402787921956
2007,argentina,ARG,,-0.34335142766923193
2008,argentina,ARG,,-0.3227496691075447
2009,argentina,ARG,,-0.4697700128538364
2010,argentina,ARG,,-0.5149599565121876
