iso_code3,Nation,Year,frac_inen_energy_lime_and_carbonite_solid_biomass
ALB,Albania,2000,0.5263157894736843
ALB,Albania,2001,0.50390625
ALB,Albania,2002,0.0
ALB,Albania,2003,0.5121951219512195
ALB,Albania,2004,0.0
ALB,Albania,2005,0.0
ALB,Albania,2006,0.0
ALB,Albania,2007,0.0
ALB,Albania,2008,0.0
ALB,Albania,2009,0.0
ALB,Albania,2010,0.0
ALB,Albania,2011,0.0
ALB,Albania,2012,0.0
ALB,Albania,2013,0.0
ALB,Albania,2014,0.0
ALB,Albania,2015,0.0
ALB,Albania,2016,0.0
ALB,Albania,2017,0.0
ALB,Albania,2018,0.0
ALB,Albania,2019,0.0
ALB,Albania,2020,0.0
ARG,Argentina,2000,0.0
ARG,Argentina,2001,0.0
ARG,Argentina,2002,0.0
ARG,Argentina,2003,0.0
ARG,Argentina,2004,0.0
ARG,Argentina,2005,0.0
ARG,Argentina,2006,0.0
ARG,Argentina,2007,0.0
ARG,Argentina,2008,0.0
ARG,Argentina,2009,0.0
ARG,Argentina,2010,0.0
ARG,Argentina,2011,0.0
ARG,Argentina,2012,0.0
ARG,Argentina,2013,0.0
ARG,Argentina,2014,0.0
ARG,Argentina,2015,0.0
ARG,Argentina,2016,0.0
ARG,Argentina,2017,0.0
ARG,Argentina,2018,0.0
ARG,Argentina,2019,0.0
ARG,Argentina,2020,0.0
ARM,Armenia,2000,0.0
ARM,Armenia,2001,0.0
ARM,Armenia,2002,0.0
ARM,Armenia,2003,0.0
ARM,Armenia,2004,0.0
ARM,Armenia,2005,0.0
ARM,Armenia,2006,0.0
ARM,Armenia,2007,0.0
ARM,Armenia,2008,0.0
ARM,Armenia,2009,0.0
ARM,Armenia,2010,0.0
ARM,Armenia,2011,0.0
ARM,Armenia,2012,0.0
ARM,Armenia,2013,0.0
ARM,Armenia,2014,0.0
ARM,Armenia,2015,0.0
ARM,Armenia,2016,0.0
ARM,Armenia,2017,0.0
ARM,Armenia,2018,0.0
ARM,Armenia,2019,0.0
ARM,Armenia,2020,0.0
AUS,Australia,2000,0.009878169245966413
AUS,Australia,2001,0.027091460771564803
AUS,Australia,2002,0.032068412613575625
AUS,Australia,2003,0.031146940271161595
AUS,Australia,2004,0.023735621690706594
AUS,Australia,2005,0.024766622213755005
AUS,Australia,2006,0.024097570571456676
AUS,Australia,2007,0.02097168822090178
AUS,Australia,2008,0.02115803221593383
AUS,Australia,2009,0.027865168539325844
AUS,Australia,2010,0.026255907579205318
AUS,Australia,2011,0.02589054548701009
AUS,Australia,2012,0.029061319383900032
AUS,Australia,2013,0.019901539750707027
AUS,Australia,2014,0.025205479452054792
AUS,Australia,2015,0.02719596446978835
AUS,Australia,2016,0.03494212710198734
AUS,Australia,2017,0.03507951356407858
AUS,Australia,2018,0.03824756606397774
AUS,Australia,2019,0.044006948465547195
AUS,Australia,2020,0.041799852471108914
AUT,Austria,2000,0.11100717181166199
AUT,Austria,2001,0.14056224899598393
AUT,Austria,2002,0.1342143906020558
AUT,Austria,2003,0.12459499263622975
AUT,Austria,2004,0.1514389494272143
AUT,Austria,2005,0.13723219455703534
AUT,Austria,2006,0.1988502743663444
AUT,Austria,2007,0.20490766506450794
AUT,Austria,2008,0.22822299651567945
AUT,Austria,2009,0.24372759856630827
AUT,Austria,2010,0.24313072439633637
AUT,Austria,2011,0.2598763773179253
AUT,Austria,2012,0.2690140845070423
AUT,Austria,2013,0.26033376123234914
AUT,Austria,2014,0.2617948717948718
AUT,Austria,2015,0.28070175438596495
AUT,Austria,2016,0.2895328503622283
AUT,Austria,2017,0.2852467270896274
AUT,Austria,2018,0.26515742909185525
AUT,Austria,2019,0.251783355350066
AUT,Austria,2020,0.24339430894308944
AZE,Azerbaijan,2000,0.0
AZE,Azerbaijan,2001,0.0
AZE,Azerbaijan,2002,0.0
AZE,Azerbaijan,2003,0.0
AZE,Azerbaijan,2004,0.0
AZE,Azerbaijan,2005,0.0
AZE,Azerbaijan,2006,0.0
AZE,Azerbaijan,2007,0.0
AZE,Azerbaijan,2008,0.0
AZE,Azerbaijan,2009,0.0
AZE,Azerbaijan,2010,0.0
AZE,Azerbaijan,2011,0.0
AZE,Azerbaijan,2012,0.0
AZE,Azerbaijan,2013,0.0
AZE,Azerbaijan,2014,0.0
AZE,Azerbaijan,2015,0.0
AZE,Azerbaijan,2016,0.0
AZE,Azerbaijan,2017,0.0
AZE,Azerbaijan,2018,0.0
AZE,Azerbaijan,2019,0.0
AZE,Azerbaijan,2020,0.0
BEL,Belgium,2000,0.135034727830722
BEL,Belgium,2001,0.1747488742639418
BEL,Belgium,2002,0.1802927525883613
BEL,Belgium,2003,0.16223446105428796
BEL,Belgium,2004,0.15168074184467628
BEL,Belgium,2005,0.15023323146211998
BEL,Belgium,2006,0.1590699106867878
BEL,Belgium,2007,0.1309067688378033
BEL,Belgium,2008,0.14993626513702998
BEL,Belgium,2009,0.16548145300788009
BEL,Belgium,2010,0.19500571864277547
BEL,Belgium,2011,0.19308405029781603
BEL,Belgium,2012,0.17616033755274263
BEL,Belgium,2013,0.1704174540456966
BEL,Belgium,2014,0.169604655142906
BEL,Belgium,2015,0.17267683772538142
BEL,Belgium,2016,0.17901762793085743
BEL,Belgium,2017,0.1669477234401349
BEL,Belgium,2018,0.17965560092313154
BEL,Belgium,2019,0.18562345460967855
BEL,Belgium,2020,0.20256506978498678
BGR,Bulgaria,2000,0.00047214353163361653
BGR,Bulgaria,2001,0.0
BGR,Bulgaria,2002,0.0
BGR,Bulgaria,2003,0.0004284490145672665
BGR,Bulgaria,2004,0.0
BGR,Bulgaria,2005,0.0007779074290159472
BGR,Bulgaria,2006,0.00035460992907801415
BGR,Bulgaria,2007,0.000308546744831842
BGR,Bulgaria,2008,0.003756830601092897
BGR,Bulgaria,2009,0.014821676702176934
BGR,Bulgaria,2010,0.016038492381716122
BGR,Bulgaria,2011,0.028129395218002808
BGR,Bulgaria,2012,0.030496802754549922
