iso_code3,Nation,Year,frac_inen_energy_metals_coke
ALB,Albania,2000,0.0
ALB,Albania,2001,0.0
ALB,Albania,2002,0.0
ALB,Albania,2003,0.0
ALB,Albania,2004,0.0
ALB,Albania,2005,0.0
ALB,Albania,2006,0.0
ALB,Albania,2007,0.0
ALB,Albania,2008,0.0
ALB,Albania,2009,0.0
ALB,Albania,2010,0.0
ALB,Albania,2011,0.0
ALB,Albania,2012,0.0
ALB,Albania,2013,0.0
ALB,Albania,2014,0.0
ALB,Albania,2015,0.0
ALB,Albania,2016,0.0
ALB,Albania,2017,0.0
ALB,Albania,2018,0.0
ALB,Albania,2019,0.0
ALB,Albania,2020,0.0
ARG,Argentina,2000,0.004226293968169052
ARG,Argentina,2001,0.007456000000000001
ARG,Argentina,2002,0.011598884157979739
ARG,Argentina,2003,0.01493677555321391
ARG,Argentina,2004,0.025074592609593754
ARG,Argentina,2005,0.02437944295536651
ARG,Argentina,2006,0.020133508165454762
ARG,Argentina,2007,0.02981924329179297
ARG,Argentina,2008,0.036510810522952394
ARG,Argentina,2009,0.01705439916039881
ARG,Argentina,2010,0.026701056251535252
ARG,Argentina,2011,0.02428384642814692
ARG,Argentina,2012,0.025695029486099412
ARG,Argentina,2013,0.028705461856360998
ARG,Argentina,2014,0.027411777559270187
ARG,Argentina,2015,0.01971894832275612
ARG,Argentina,2016,0.01564554299237444
ARG,Argentina,2017,0.01691563401799355
ARG,Argentina,2018,0.017955801104972375
ARG,Argentina,2019,0.011826212367045251
ARG,Argentina,2020,0.0
ARM,Armenia,2000,0.0
ARM,Armenia,2001,0.0
ARM,Armenia,2002,0.0
ARM,Armenia,2003,0.0
ARM,Armenia,2004,0.0
ARM,Armenia,2005,0.0
ARM,Armenia,2006,0.0
ARM,Armenia,2007,0.0
ARM,Armenia,2008,0.0
ARM,Armenia,2009,0.0
ARM,Armenia,2010,0.0
ARM,Armenia,2011,0.0
ARM,Armenia,2012,0.0
ARM,Armenia,2013,0.0
ARM,Armenia,2014,0.0
ARM,Armenia,2015,0.0
ARM,Armenia,2016,0.0
ARM,Armenia,2017,0.0
ARM,Armenia,2018,0.0
ARM,Armenia,2019,0.0
ARM,Armenia,2020,0.0
AUS,Australia,2000,0.03514954787850685
AUS,Australia,2001,0.02996799478717492
AUS,Australia,2002,0.026566300174870855
AUS,Australia,2003,0.029981725971706057
AUS,Australia,2004,0.03213714691774738
AUS,Australia,2005,0.032584065434716744
AUS,Australia,2006,0.032979470610664044
AUS,Australia,2007,0.032750480853296036
AUS,Australia,2008,0.033349322690816995
AUS,Australia,2009,0.03088520084126356
AUS,Australia,2010,0.03647218980941268
AUS,Australia,2011,0.03511851823208692
AUS,Australia,2012,0.029890476093715073
AUS,Australia,2013,0.029418152959358426
AUS,Australia,2014,0.029407251103011706
AUS,Australia,2015,0.03221161976084068
AUS,Australia,2016,0.03723340824657158
AUS,Australia,2017,0.039844417257219364
AUS,Australia,2018,0.03918367346938775
AUS,Australia,2019,0.0383381683530272
AUS,Australia,2020,0.037439630766302676
AUT,Austria,2000,0.062960173241691
AUT,Austria,2001,0.06013021830716201
AUT,Austria,2002,0.06509309761143503
AUT,Austria,2003,0.06431617856127382
AUT,Austria,2004,0.06010180472003702
AUT,Austria,2005,0.061632478632478636
AUT,Austria,2006,0.06122254885007782
AUT,Austria,2007,0.06035318275154004
AUT,Austria,2008,0.06300730835017883
AUT,Austria,2009,0.061244780274408425
AUT,Austria,2010,0.059969609994935
AUT,Austria,2011,0.058789530179175965
AUT,Austria,2012,0.058681738841326575
AUT,Austria,2013,0.0584205898809048
AUT,Austria,2014,0.058738332796910216
AUT,Austria,2015,0.06382687192713792
AUT,Austria,2016,0.06448038819247878
AUT,Austria,2017,0.06547591252237528
