iso_code3,Nation,Year,frac_inen_energy_other_product_manufacturing_coke
ALB,Albania,2000,0.0
ALB,Albania,2001,0.0
ALB,Albania,2002,0.0
ALB,Albania,2003,0.0003194888178913738
ALB,Albania,2004,0.0
ALB,Albania,2005,0.0
ALB,Albania,2006,0.0
ALB,Albania,2007,0.0
ALB,Albania,2008,0.0
ALB,Albania,2009,0.0
ALB,Albania,2010,0.0
ALB,Albania,2011,0.0
ALB,Albania,2012,0.0
ALB,Albania,2013,0.0
ALB,Albania,2014,0.0
ALB,Albania,2015,0.0
ALB,Albania,2016,0.0
ALB,Albania,2017,0.0
ALB,Albania,2018,0.00923076923076923
ALB,Albania,2019,0.009278350515463918
ALB,Albania,2020,0.007387862796833773
ARG,Argentina,2000,0.0005705591479650056
ARG,Argentina,2001,0.0
ARG,Argentina,2002,0.0
ARG,Argentina,2003,0.0
ARG,Argentina,2004,0.0
ARG,Argentina,2005,0.0
ARG,Argentina,2006,0.0
ARG,Argentina,2007,0.00031113876789047915
ARG,Argentina,2008,9.455426528381053e-05
ARG,Argentina,2009,7.670427306721213e-05
ARG,Argentina,2010,0.00013578375647341163
ARG,Argentina,2011,0.00012611450023463164
ARG,Argentina,2012,8.932559178204554e-05
ARG,Argentina,2013,8.708272859216254e-05
ARG,Argentina,2014,6.599934000659993e-05
ARG,Argentina,2015,8.986561006494834e-05
ARG,Argentina,2016,0.0004478354619339858
ARG,Argentina,2017,0.00047413315608729376
ARG,Argentina,2018,0.0007872885699641211
ARG,Argentina,2019,0.0006848926307823291
ARG,Argentina,2020,0.0
ARM,Armenia,2000,0.0
ARM,Armenia,2001,0.0
ARM,Armenia,2002,0.0
ARM,Armenia,2003,0.0
ARM,Armenia,2004,0.0
ARM,Armenia,2005,0.0
ARM,Armenia,2006,0.0
ARM,Armenia,2007,0.0
ARM,Armenia,2008,0.0
ARM,Armenia,2009,0.0
ARM,Armenia,2010,0.0
ARM,Armenia,2011,0.0
ARM,Armenia,2012,0.0
ARM,Armenia,2013,0.0
ARM,Armenia,2014,0.0
ARM,Armenia,2015,0.0
ARM,Armenia,2016,0.0
ARM,Armenia,2017,0.0
ARM,Armenia,2018,0.0
ARM,Armenia,2019,0.0
ARM,Armenia,2020,0.0
AUS,Australia,2000,0.007122275995188409
AUS,Australia,2001,0.005149196849504559
AUS,Australia,2002,0.004715850497505505
AUS,Australia,2003,0.009920422911452915
AUS,Australia,2004,0.007920186749666519
AUS,Australia,2005,0.00950701445003027
AUS,Australia,2006,0.009256647060389108
AUS,Australia,2007,0.0074709877533557945
AUS,Australia,2008,0.007645799892990904
AUS,Australia,2009,0.006965511839803672
AUS,Australia,2010,0.006800940271396517
AUS,Australia,2011,0.0069236615215283424
AUS,Australia,2012,0.005299199325747998
AUS,Australia,2013,0.004638186573670446
AUS,Australia,2014,0.004467812393732507
AUS,Australia,2015,0.003311418350575269
AUS,Australia,2016,0.0034413745972859517
AUS,Australia,2017,0.0031838747516338304
AUS,Australia,2018,0.0030480010026319093
AUS,Australia,2019,0.0034423949833390184
AUS,Australia,2020,0.0034764100744945014
AUT,Austria,2000,0.0003269500233535731
AUT,Austria,2001,0.00019315058316618383
AUT,Austria,2002,0.00021869077124945325
AUT,Austria,2003,0.00019679874048806088
AUT,Austria,2004,0.0001380977041256689
AUT,Austria,2005,0.00018357980622131563
AUT,Austria,2006,0.00013152569809793608
AUT,Austria,2007,0.0001445518891436547
AUT,Austria,2008,0.00011256075722691226
AUT,Austria,2009,0.0001533115290269828
AUT,Austria,2010,0.00016297101091411923
AUT,Austria,2011,0.00015689350853108453
AUT,Austria,2012,0.00015662078785002375
AUT,Austria,2013,0.00016585581601061478
AUT,Austria,2014,0.0002193615424580038
AUT,Austria,2015,0.0002503413746017297
