Year,iso_code3,frac_scoe_heat_energy_commercial_municipal_coal
2011,ABW,0.013190323236053207
2012,ABW,0.013190323236053207
2013,ABW,0.013190323236053207
2014,ABW,0.013190323236053207
2015,ABW,0.013190323236053207
2016,ABW,0.013190323236053207
2017,ABW,0.013190323236053207
2018,ABW,0.013190323236053207
2019,ABW,0.013190323236053207
2011,AFG,0.013190323236053207
2012,AFG,0.013190323236053207
2013,AFG,0.013190323236053207
2014,AFG,0.013190323236053207
2015,AFG,0.013190323236053207
2016,AFG,0.013190323236053207
2017,AFG,0.013190323236053207
2018,AFG,0.013190323236053207
2019,AFG,0.013190323236053207
2011,AGO,0.013190323236053207
2012,AGO,0.013190323236053207
2013,AGO,0.013190323236053207
2014,AGO,0.013190323236053207
2015,AGO,0.013190323236053207
2016,AGO,0.013190323236053207
2017,AGO,0.013190323236053207
2018,AGO,0.013190323236053207
2019,AGO,0.013190323236053207
2011,ALB,0.018960940462646902
2012,ALB,0.017346053772766608
2013,ALB,0.050282840980515414
2014,ALB,0.04629629629629631
2015,ALB,0.03188097768331561
2016,ALB,0.04026845637583891
2017,ALB,0.033381020505484006
2018,ALB,0.0337512054001928
2019,ALB,0.04066877541798462
2011,ARE,0.013190323236053304
2012,ARE,0.013190323236053304
2013,ARE,0.013190323236053304
2014,ARE,0.013190323236053304
2015,ARE,0.013190323236053304
2016,ARE,0.013190323236053304
2017,ARE,0.013190323236053304
2018,ARE,0.013190323236053304
2019,ARE,0.013190323236053304
2011,ARG,0.0
2012,ARG,0.0
2013,ARG,0.0
2014,ARG,0.0
2015,ARG,0.0
2016,ARG,0.0
2017,ARG,0.0
2018,ARG,0.0
2019,ARG,0.0
2011,ARM,0.013190323236053207
2012,ARM,0.013190323236053207
2013,ARM,0.013190323236053207
2014,ARM,0.013190323236053207
2015,ARM,0.013190323236053207
2016,ARM,0.013190323236053207
2017,ARM,0.013190323236053207
2018,ARM,0.013190323236053207
2019,ARM,0.013190323236053207
2011,AUS,0.009679457135288201
2012,AUS,0.008587119321018404
2013,AUS,0.008519388954171503
2014,AUS,0.009762900976290002
2015,AUS,0.001722887196227701
2016,AUS,0.002688172043010701
2017,AUS,0.004337610699439702
2018,AUS,0.004577275175013402
2019,AUS,0.0053823311061618005
2011,AUT,0.0022852615862762006
2012,AUT,0.0
2013,AUT,0.00016163967284130008
2014,AUT,0.0
2015,AUT,0.0
2016,AUT,0.0
2017,AUT,0.0
2018,AUT,0.0
2019,AUT,0.0
2011,AZE,0.0
2012,AZE,0.0
2013,AZE,0.0
2014,AZE,0.0
2015,AZE,0.0
2016,AZE,0.0
2017,AZE,0.0
2018,AZE,0.0
2019,AZE,0.0
2011,BDI,0.013190323236053207
2012,BDI,0.013190323236053207
2013,BDI,0.013190323236053207
2014,BDI,0.013190323236053207
2015,BDI,0.013190323236053207
