iso_code3,Nation,Year,frac_trns_fuelmix_road_heavy_freight_biofuels
ABW,Aruba,2021,0.003091132188765816
ABW,Aruba,2022,0.0031121180241795617
ABW,Aruba,2023,0.00313288575554528
ABW,Aruba,2024,0.003153438765391742
ABW,Aruba,2025,0.00317378036666223
ABW,Aruba,2026,0.0032629756680233025
ABW,Aruba,2027,0.0033552893195098092
ABW,Aruba,2028,0.0034508877611719156
ABW,Aruba,2029,0.003549949492463464
ABW,Aruba,2030,0.0036526661845950464
ABW,Aruba,2031,0.0037533736235737746
ABW,Aruba,2032,0.0038577953361518128
ABW,Aruba,2033,0.003966140666581019
ABW,Aruba,2034,0.0040786349924456
ABW,Aruba,2035,0.0041955212895840345
ABW,Aruba,2036,0.004308567823190866
ABW,Aruba,2037,0.004425875875803324
ABW,Aruba,2038,0.004547691046539955
ABW,Aruba,2039,0.004674278176605457
ABW,Aruba,2040,0.0048059232714014275
ABW,Aruba,2041,0.004931194643519632
ABW,Aruba,2042,0.005061224872217897
ABW,Aruba,2043,0.005196290379797524
ABW,Aruba,2044,0.0053366894195552355
ABW,Aruba,2045,0.005482744274375002
ABW,Aruba,2046,0.005618640355054234
ABW,Aruba,2047,0.0057595806340352065
ABW,Aruba,2048,0.005905851268365368
ABW,Aruba,2049,0.006057760477180495
ABW,Aruba,2050,0.006215640709664937
AFG,Afghanistan,2021,0.0205268093865663
AFG,Afghanistan,2022,0.020422031217175316
AFG,Afghanistan,2023,0.020321737273774804
AFG,Afghanistan,2024,0.020225645717974368
AFG,Afghanistan,2025,0.020133497845180967
AFG,Afghanistan,2026,0.019979259228453738
AFG,Afghanistan,2027,0.019832617475989175
AFG,Afghanistan,2028,0.019693024814207725
AFG,Afghanistan,2029,0.019559984896590575
AFG,Afghanistan,2030,0.0194330469068734
AFG,Afghanistan,2031,0.019289947672875278
AFG,Afghanistan,2032,0.019153816753379967
AFG,Afghanistan,2033,0.019024157256414063
AFG,Afghanistan,2034,0.018900518435884608
AFG,Afghanistan,2035,0.018782490456224418
AFG,Afghanistan,2036,0.018636983020219235
AFG,Afghanistan,2037,0.018498535319049363
AFG,Afghanistan,2038,0.018366645734782815
AFG,Afghanistan,2039,0.018240859072182466
AFG,Afghanistan,2040,0.018120761309856497
AFG,Afghanistan,2041,0.017963544738175588
AFG,Afghanistan,2042,0.017814030417219143
AFG,Afghanistan,2043,0.017671665865012533
AFG,Afghanistan,2044,0.017535950205026806
AFG,Afghanistan,2045,0.0174064282783111
AFG,Afghanistan,2046,0.017230797261247897
AFG,Afghanistan,2047,0.017063967270649558
AFG,Afghanistan,2048,0.01690529293567418
AFG,Afghanistan,2049,0.01675419047917881
AFG,Afghanistan,2050,0.016610130540887474
AGO,Angola,2021,0.04480161720210993
AGO,Angola,2022,0.04480027022760286
AGO,Angola,2023,0.04479896555143917
AGO,Angola,2024,0.044797701212009086
AGO,Angola,2025,0.044796475367150694
AGO,Angola,2026,0.045227879749459604
AGO,Angola,2027,0.04565375184433956
AGO,Angola,2028,0.046074197392055365
AGO,Angola,2029,0.046489319455203966
AGO,Angola,2030,0.0468992185029406
AGO,Angola,2031,0.047592223326441294
AGO,Angola,2032,0.04828407353060261
AGO,Angola,2033,0.04897477199859981
AGO,Angola,2034,0.049664321604016445
AGO,Angola,2035,0.05035272521088488
AGO,Angola,2036,0.05097362196487525
AGO,Angola,2037,0.051591070101887564
AGO,Angola,2038,0.05220509827408235
AGO,Angola,2039,0.05281573481709533
AGO,Angola,2040,0.053423007754396755
AGO,Angola,2041,0.053765197833977624
AGO,Angola,2042,0.05410199106658867
AGO,Angola,2043,0.054433514127765585
AGO,Angola,2044,0.054759889759360234
AGO,Angola,2045,0.05508123692105697
AGO,Angola,2046,0.05502975933519319
AGO,Angola,2047,0.05497975249889696
AGO,Angola,2048,0.054931154269428475
AGO,Angola,2049,0.054883905956334085
AGO,Angola,2050,0.054837952084994486
ALB,Albania,2021,0.0
ALB,Albania,2022,0.0
ALB,Albania,2023,0.0
ALB,Albania,2024,0.0
ALB,Albania,2025,0.0
ALB,Albania,2026,0.0
ALB,Albania,2027,0.0
ALB,Albania,2028,0.0
ALB,Albania,2029,0.0
ALB,Albania,2030,0.0
ALB,Albania,2031,0.0
ALB,Albania,2032,0.0
ALB,Albania,2033,0.0
ALB,Albania,2034,0.0
ALB,Albania,2035,0.0
ALB,Albania,2036,0.0
ALB,Albania,2037,0.0
ALB,Albania,2038,0.0
ALB,Albania,2039,0.0
ALB,Albania,2040,0.0
ALB,Albania,2041,0.0
ALB,Albania,2042,0.0
ALB,Albania,2043,0.0
ALB,Albania,2044,0.0
ALB,Albania,2045,0.0
ALB,Albania,2046,0.0
ALB,Albania,2047,0.0
ALB,Albania,2048,0.0
ALB,Albania,2049,0.0
ALB,Albania,2050,0.0
ARE,United Arab Emirates,2021,0.008020731939228275
