,Nation,iso_code3,Year,frac_trns_mtkm_dem_freight_rail_freight
0,Aruba,ABW,2022,0.16546762589928066
1,Aruba,ABW,2023,0.16546762589928066
2,Aruba,ABW,2024,0.16546762589928066
3,Aruba,ABW,2025,0.16546762589928066
4,Aruba,ABW,2026,0.16546762589928066
5,Aruba,ABW,2027,0.16546762589928066
6,Aruba,ABW,2028,0.16546762589928066
7,Aruba,ABW,2029,0.16546762589928066
8,Aruba,ABW,2030,0.16546762589928066
9,Aruba,ABW,2031,0.16546762589928066
10,Aruba,ABW,2032,0.16546762589928066
11,Aruba,ABW,2033,0.16546762589928066
12,Aruba,ABW,2034,0.16546762589928066
13,Aruba,ABW,2035,0.16546762589928066
14,Aruba,ABW,2036,0.16546762589928066
15,Aruba,ABW,2037,0.16546762589928066
16,Aruba,ABW,2038,0.16546762589928066
17,Aruba,ABW,2039,0.16546762589928066
18,Aruba,ABW,2040,0.16546762589928066
19,Aruba,ABW,2041,0.16546762589928066
20,Aruba,ABW,2042,0.16546762589928066
21,Aruba,ABW,2043,0.16546762589928066
22,Aruba,ABW,2044,0.16546762589928066
23,Aruba,ABW,2045,0.16546762589928066
24,Aruba,ABW,2046,0.16546762589928066
25,Aruba,ABW,2047,0.16546762589928066
26,Aruba,ABW,2048,0.16546762589928066
27,Aruba,ABW,2049,0.16546762589928066
28,Aruba,ABW,2050,0.16546762589928066
29,Afghanistan,AFG,2022,0.16546762589928093
30,Afghanistan,AFG,2023,0.16546762589928093
31,Afghanistan,AFG,2024,0.16546762589928093
32,Afghanistan,AFG,2025,0.16546762589928093
33,Afghanistan,AFG,2026,0.16546762589928093
34,Afghanistan,AFG,2027,0.16546762589928093
35,Afghanistan,AFG,2028,0.16546762589928093
36,Afghanistan,AFG,2029,0.16546762589928093
37,Afghanistan,AFG,2030,0.16546762589928093
38,Afghanistan,AFG,2031,0.16546762589928093
39,Afghanistan,AFG,2032,0.16546762589928093
40,Afghanistan,AFG,2033,0.16546762589928093
41,Afghanistan,AFG,2034,0.16546762589928093
