,Nation,iso_code3,Year,frac_trns_mtkm_dem_freight_water_borne
0,Aruba,ABW,2017,0.09697775308733297
1,Aruba,ABW,2018,0.09697775308733297
2,Aruba,ABW,2019,0.09697775308733297
3,Aruba,ABW,2020,0.09697775308733297
4,Aruba,ABW,2021,0.09697775308733297
5,Aruba,ABW,2022,0.09697775308733297
6,Aruba,ABW,2023,0.09697775308733297
7,Aruba,ABW,2024,0.09697775308733297
8,Aruba,ABW,2025,0.09697775308733297
9,Aruba,ABW,2026,0.09697775308733297
10,Aruba,ABW,2027,0.09697775308733297
11,Aruba,ABW,2028,0.09697775308733297
12,Aruba,ABW,2029,0.09697775308733297
13,Aruba,ABW,2030,0.09697775308733297
14,Aruba,ABW,2031,0.09697775308733297
15,Aruba,ABW,2032,0.09697775308733297
16,Aruba,ABW,2033,0.09697775308733297
17,Aruba,ABW,2034,0.09697775308733297
18,Aruba,ABW,2035,0.09697775308733297
19,Aruba,ABW,2036,0.09697775308733297
20,Aruba,ABW,2037,0.09697775308733297
21,Aruba,ABW,2038,0.09697775308733297
22,Aruba,ABW,2039,0.09697775308733297
23,Aruba,ABW,2040,0.09697775308733297
24,Aruba,ABW,2041,0.09697775308733297
25,Aruba,ABW,2042,0.09697775308733297
26,Aruba,ABW,2043,0.09697775308733297
27,Aruba,ABW,2044,0.09697775308733297
28,Aruba,ABW,2045,0.09697775308733297
29,Aruba,ABW,2046,0.09697775308733297
30,Aruba,ABW,2047,0.09697775308733297
31,Aruba,ABW,2048,0.09697775308733297
32,Aruba,ABW,2049,0.09697775308733297
33,Aruba,ABW,2050,0.09697775308733297
34,Africa Eastern and Southern,AFE,2017,0.09697775308733297
35,Africa Eastern and Southern,AFE,2018,0.09697775308733297
36,Africa Eastern and Southern,AFE,2019,0.09697775308733297
37,Africa Eastern and Southern,AFE,2020,0.09697775308733297
38,Africa Eastern and Southern,AFE,2021,0.09697775308733297
39,Africa Eastern and Southern,AFE,2022,0.09697775308733297
40,Africa Eastern and Southern,AFE,2023,0.09697775308733297
