,Nation,iso_code3,Year,frac_trns_pkm_dem_private_and_public_public
0,Aruba,ABW,2018,0.37417603329568405
1,Aruba,ABW,2019,0.37417603329568405
2,Aruba,ABW,2020,0.37417603329568405
3,Aruba,ABW,2021,0.37417603329568405
4,Aruba,ABW,2022,0.37417603329568405
5,Aruba,ABW,2023,0.37417603329568405
6,Aruba,ABW,2024,0.37417603329568405
7,Aruba,ABW,2025,0.37417603329568405
8,Aruba,ABW,2026,0.37417603329568405
9,Aruba,ABW,2027,0.37417603329568405
10,Aruba,ABW,2028,0.37417603329568405
11,Aruba,ABW,2029,0.37417603329568405
12,Aruba,ABW,2030,0.37417603329568405
13,Aruba,ABW,2031,0.37417603329568405
14,Aruba,ABW,2032,0.37417603329568405
15,Aruba,ABW,2033,0.37417603329568405
16,Aruba,ABW,2034,0.37417603329568405
17,Aruba,ABW,2035,0.37417603329568405
18,Aruba,ABW,2036,0.37417603329568405
19,Aruba,ABW,2037,0.37417603329568405
20,Aruba,ABW,2038,0.37417603329568405
21,Aruba,ABW,2039,0.37417603329568405
22,Aruba,ABW,2040,0.37417603329568405
23,Aruba,ABW,2041,0.37417603329568405
24,Aruba,ABW,2042,0.37417603329568405
25,Aruba,ABW,2043,0.37417603329568405
26,Aruba,ABW,2044,0.37417603329568405
27,Aruba,ABW,2045,0.37417603329568405
28,Aruba,ABW,2046,0.37417603329568405
29,Aruba,ABW,2047,0.37417603329568405
30,Aruba,ABW,2048,0.37417603329568405
31,Aruba,ABW,2049,0.37417603329568405
32,Aruba,ABW,2050,0.37417603329568405
33,Africa Eastern and Southern,AFE,2018,0.37417603329568405
34,Africa Eastern and Southern,AFE,2019,0.37417603329568405
35,Africa Eastern and Southern,AFE,2020,0.37417603329568405
36,Africa Eastern and Southern,AFE,2021,0.37417603329568405
37,Africa Eastern and Southern,AFE,2022,0.37417603329568405
38,Africa Eastern and Southern,AFE,2023,0.37417603329568405
39,Africa Eastern and Southern,AFE,2024,0.37417603329568405
40,Africa Eastern and Southern,AFE,2025,0.37417603329568405
41,Africa Eastern and Southern,AFE,2026,0.37417603329568405
42,Africa Eastern and Southern,AFE,2027,0.37417603329568405
43,Africa Eastern and Southern,AFE,2028,0.37417603329568405
44,Africa Eastern and Southern,AFE,2029,0.37417603329568405
45,Africa Eastern and Southern,AFE,2030,0.37417603329568405
