,Nation,iso_code3,Year,frac_trns_pkm_dem_regional_aviation
0,Aruba,ABW,2018,0.4721347696625817
1,Aruba,ABW,2019,0.4721347696625817
2,Aruba,ABW,2020,0.4721347696625817
3,Aruba,ABW,2021,0.4721347696625817
4,Aruba,ABW,2022,0.4721347696625817
5,Aruba,ABW,2023,0.4721347696625817
6,Aruba,ABW,2024,0.4721347696625817
7,Aruba,ABW,2025,0.4721347696625817
8,Aruba,ABW,2026,0.4721347696625817
9,Aruba,ABW,2027,0.4721347696625817
10,Aruba,ABW,2028,0.4721347696625817
11,Aruba,ABW,2029,0.4721347696625817
12,Aruba,ABW,2030,0.4721347696625817
13,Aruba,ABW,2031,0.4721347696625817
14,Aruba,ABW,2032,0.4721347696625817
15,Aruba,ABW,2033,0.4721347696625817
16,Aruba,ABW,2034,0.4721347696625817
17,Aruba,ABW,2035,0.4721347696625817
18,Aruba,ABW,2036,0.4721347696625817
19,Aruba,ABW,2037,0.4721347696625817
20,Aruba,ABW,2038,0.4721347696625817
21,Aruba,ABW,2039,0.4721347696625817
22,Aruba,ABW,2040,0.4721347696625817
23,Aruba,ABW,2041,0.4721347696625817
24,Aruba,ABW,2042,0.4721347696625817
25,Aruba,ABW,2043,0.4721347696625817
26,Aruba,ABW,2044,0.4721347696625817
27,Aruba,ABW,2045,0.4721347696625817
28,Aruba,ABW,2046,0.4721347696625817
29,Aruba,ABW,2047,0.4721347696625817
30,Aruba,ABW,2048,0.4721347696625817
31,Aruba,ABW,2049,0.4721347696625817
32,Aruba,ABW,2050,0.4721347696625817
33,Africa Eastern and Southern,AFE,2018,0.4721347696625817
34,Africa Eastern and Southern,AFE,2019,0.4721347696625817
35,Africa Eastern and Southern,AFE,2020,0.4721347696625817
36,Africa Eastern and Southern,AFE,2021,0.4721347696625817
37,Africa Eastern and Southern,AFE,2022,0.4721347696625817
38,Africa Eastern and Southern,AFE,2023,0.4721347696625817
39,Africa Eastern and Southern,AFE,2024,0.4721347696625817
40,Africa Eastern and Southern,AFE,2025,0.4721347696625817
41,Africa Eastern and Southern,AFE,2026,0.4721347696625817
42,Africa Eastern and Southern,AFE,2027,0.4721347696625817
43,Africa Eastern and Southern,AFE,2028,0.4721347696625817
44,Africa Eastern and Southern,AFE,2029,0.4721347696625817
45,Africa Eastern and Southern,AFE,2030,0.4721347696625817
46,Africa Eastern and Southern,AFE,2031,0.4721347696625817
47,Africa Eastern and Southern,AFE,2032,0.4721347696625817
48,Africa Eastern and Southern,AFE,2033,0.4721347696625817
49,Africa Eastern and Southern,AFE,2034,0.4721347696625817
50,Africa Eastern and Southern,AFE,2035,0.4721347696625817
51,Africa Eastern and Southern,AFE,2036,0.4721347696625817
52,Africa Eastern and Southern,AFE,2037,0.4721347696625817
53,Africa Eastern and Southern,AFE,2038,0.4721347696625817
