,Nation,iso_code3,Year,frac_trns_pkm_dem_regional_rail_passenger
0,Aruba,ABW,2018,0.2675166486424953
1,Aruba,ABW,2019,0.2675166486424953
2,Aruba,ABW,2020,0.2675166486424953
3,Aruba,ABW,2021,0.2675166486424953
4,Aruba,ABW,2022,0.2675166486424953
5,Aruba,ABW,2023,0.2675166486424953
6,Aruba,ABW,2024,0.2675166486424953
7,Aruba,ABW,2025,0.2675166486424953
8,Aruba,ABW,2026,0.2675166486424953
9,Aruba,ABW,2027,0.2675166486424953
10,Aruba,ABW,2028,0.2675166486424953
11,Aruba,ABW,2029,0.2675166486424953
12,Aruba,ABW,2030,0.2675166486424953
13,Aruba,ABW,2031,0.2675166486424953
14,Aruba,ABW,2032,0.2675166486424953
15,Aruba,ABW,2033,0.2675166486424953
16,Aruba,ABW,2034,0.2675166486424953
17,Aruba,ABW,2035,0.2675166486424953
18,Aruba,ABW,2036,0.2675166486424953
19,Aruba,ABW,2037,0.2675166486424953
20,Aruba,ABW,2038,0.2675166486424953
21,Aruba,ABW,2039,0.2675166486424953
22,Aruba,ABW,2040,0.2675166486424953
23,Aruba,ABW,2041,0.2675166486424953
24,Aruba,ABW,2042,0.2675166486424953
25,Aruba,ABW,2043,0.2675166486424953
26,Aruba,ABW,2044,0.2675166486424953
27,Aruba,ABW,2045,0.2675166486424953
28,Aruba,ABW,2046,0.2675166486424953
29,Aruba,ABW,2047,0.2675166486424953
30,Aruba,ABW,2048,0.2675166486424953
31,Aruba,ABW,2049,0.2675166486424953
32,Aruba,ABW,2050,0.2675166486424953
33,Africa Eastern and Southern,AFE,2018,0.2675166486424953
34,Africa Eastern and Southern,AFE,2019,0.2675166486424953
35,Africa Eastern and Southern,AFE,2020,0.2675166486424953
36,Africa Eastern and Southern,AFE,2021,0.2675166486424953
37,Africa Eastern and Southern,AFE,2022,0.2675166486424953
38,Africa Eastern and Southern,AFE,2023,0.2675166486424953
39,Africa Eastern and Southern,AFE,2024,0.2675166486424953
40,Africa Eastern and Southern,AFE,2025,0.2675166486424953
41,Africa Eastern and Southern,AFE,2026,0.2675166486424953
42,Africa Eastern and Southern,AFE,2027,0.2675166486424953
43,Africa Eastern and Southern,AFE,2028,0.2675166486424953
44,Africa Eastern and Southern,AFE,2029,0.2675166486424953
45,Africa Eastern and Southern,AFE,2030,0.2675166486424953
46,Africa Eastern and Southern,AFE,2031,0.2675166486424953
47,Africa Eastern and Southern,AFE,2032,0.2675166486424953
48,Africa Eastern and Southern,AFE,2033,0.2675166486424953
49,Africa Eastern and Southern,AFE,2034,0.2675166486424953
50,Africa Eastern and Southern,AFE,2035,0.2675166486424953
51,Africa Eastern and Southern,AFE,2036,0.2675166486424953
52,Africa Eastern and Southern,AFE,2037,0.2675166486424953
53,Africa Eastern and Southern,AFE,2038,0.2675166486424953
54,Africa Eastern and Southern,AFE,2039,0.2675166486424953
55,Africa Eastern and Southern,AFE,2040,0.2675166486424953
56,Africa Eastern and Southern,AFE,2041,0.2675166486424953
57,Africa Eastern and Southern,AFE,2042,0.2675166486424953
