,Nation,iso_code3,Year,frac_trns_pkm_dem_regional_road_light
0,Aruba,ABW,2022,0.3
1,Aruba,ABW,2023,0.30357142857142855
2,Aruba,ABW,2024,0.30714285714285716
3,Aruba,ABW,2025,0.3107142857142857
4,Aruba,ABW,2026,0.3142857142857143
5,Aruba,ABW,2027,0.31785714285714284
6,Aruba,ABW,2028,0.3214285714285714
7,Aruba,ABW,2029,0.325
8,Aruba,ABW,2030,0.32857142857142857
9,Aruba,ABW,2031,0.33214285714285713
10,Aruba,ABW,2032,0.33571428571428574
11,Aruba,ABW,2033,0.3392857142857143
12,Aruba,ABW,2034,0.34285714285714286
13,Aruba,ABW,2035,0.3464285714285714
14,Aruba,ABW,2036,0.35
15,Aruba,ABW,2037,0.3535714285714286
16,Aruba,ABW,2038,0.35714285714285715
17,Aruba,ABW,2039,0.3607142857142857
18,Aruba,ABW,2040,0.3642857142857143
19,Aruba,ABW,2041,0.3678571428571429
20,Aruba,ABW,2042,0.37142857142857144
21,Aruba,ABW,2043,0.375
22,Aruba,ABW,2044,0.37857142857142856
23,Aruba,ABW,2045,0.3821428571428572
24,Aruba,ABW,2046,0.38571428571428573
25,Aruba,ABW,2047,0.3892857142857143
26,Aruba,ABW,2048,0.3928571428571429
27,Aruba,ABW,2049,0.39642857142857146
28,Aruba,ABW,2050,0.4
29,Africa Eastern and Southern,AFE,2022,0.3
30,Africa Eastern and Southern,AFE,2023,0.30357142857142855
31,Africa Eastern and Southern,AFE,2024,0.30714285714285716
32,Africa Eastern and Southern,AFE,2025,0.3107142857142857
33,Africa Eastern and Southern,AFE,2026,0.3142857142857143
34,Africa Eastern and Southern,AFE,2027,0.31785714285714284
35,Africa Eastern and Southern,AFE,2028,0.3214285714285714
36,Africa Eastern and Southern,AFE,2029,0.325
37,Africa Eastern and Southern,AFE,2030,0.32857142857142857
38,Africa Eastern and Southern,AFE,2031,0.33214285714285713
39,Africa Eastern and Southern,AFE,2032,0.33571428571428574
40,Africa Eastern and Southern,AFE,2033,0.3392857142857143
41,Africa Eastern and Southern,AFE,2034,0.34285714285714286
42,Africa Eastern and Southern,AFE,2035,0.3464285714285714
43,Africa Eastern and Southern,AFE,2036,0.35
44,Africa Eastern and Southern,AFE,2037,0.3535714285714286
45,Africa Eastern and Southern,AFE,2038,0.35714285714285715
46,Africa Eastern and Southern,AFE,2039,0.3607142857142857
47,Africa Eastern and Southern,AFE,2040,0.3642857142857143
48,Africa Eastern and Southern,AFE,2041,0.3678571428571429
49,Africa Eastern and Southern,AFE,2042,0.37142857142857144
50,Africa Eastern and Southern,AFE,2043,0.375
51,Africa Eastern and Southern,AFE,2044,0.37857142857142856
52,Africa Eastern and Southern,AFE,2045,0.3821428571428572
53,Africa Eastern and Southern,AFE,2046,0.38571428571428573
54,Africa Eastern and Southern,AFE,2047,0.3892857142857143
55,Africa Eastern and Southern,AFE,2048,0.3928571428571429
56,Africa Eastern and Southern,AFE,2049,0.39642857142857146
57,Africa Eastern and Southern,AFE,2050,0.4
58,Afghanistan,AFG,2022,0.3
59,Afghanistan,AFG,2023,0.30357142857142855
60,Afghanistan,AFG,2024,0.30714285714285716
61,Afghanistan,AFG,2025,0.3107142857142857
62,Afghanistan,AFG,2026,0.3142857142857143
63,Afghanistan,AFG,2027,0.31785714285714284
64,Afghanistan,AFG,2028,0.3214285714285714
65,Afghanistan,AFG,2029,0.325
66,Afghanistan,AFG,2030,0.32857142857142857
67,Afghanistan,AFG,2031,0.33214285714285713
68,Afghanistan,AFG,2032,0.33571428571428574
69,Afghanistan,AFG,2033,0.3392857142857143
70,Afghanistan,AFG,2034,0.34285714285714286
71,Afghanistan,AFG,2035,0.3464285714285714
72,Afghanistan,AFG,2036,0.35
73,Afghanistan,AFG,2037,0.3535714285714286
74,Afghanistan,AFG,2038,0.35714285714285715
75,Afghanistan,AFG,2039,0.3607142857142857
