,Nation,iso_code3,Year,fuelefficiency_trns_aviation_hydrogen_km_per_litre
0,Aruba,ABW,2023,2.9
1,Aruba,ABW,2024,2.9
2,Aruba,ABW,2025,2.9
3,Aruba,ABW,2026,2.9
4,Aruba,ABW,2027,2.9
5,Aruba,ABW,2028,2.9
6,Aruba,ABW,2029,2.9
7,Aruba,ABW,2030,2.9
8,Aruba,ABW,2031,2.9
9,Aruba,ABW,2032,2.9
10,Aruba,ABW,2033,2.9
11,Aruba,ABW,2034,2.9
12,Aruba,ABW,2035,2.9
13,Aruba,ABW,2036,2.9
14,Aruba,ABW,2037,2.9
15,Aruba,ABW,2038,2.9
16,Aruba,ABW,2039,2.9
17,Aruba,ABW,2040,2.9
18,Aruba,ABW,2041,2.9
19,Aruba,ABW,2042,2.9
20,Aruba,ABW,2043,2.9
21,Aruba,ABW,2044,2.9
22,Aruba,ABW,2045,2.9
23,Aruba,ABW,2046,2.9
24,Aruba,ABW,2047,2.9
25,Aruba,ABW,2048,2.9
26,Aruba,ABW,2049,2.9
27,Aruba,ABW,2050,2.9
28,Africa Eastern and Southern,AFE,2023,2.9
29,Africa Eastern and Southern,AFE,2024,2.9
30,Africa Eastern and Southern,AFE,2025,2.9
31,Africa Eastern and Southern,AFE,2026,2.9
32,Africa Eastern and Southern,AFE,2027,2.9
33,Africa Eastern and Southern,AFE,2028,2.9
34,Africa Eastern and Southern,AFE,2029,2.9
35,Africa Eastern and Southern,AFE,2030,2.9
36,Africa Eastern and Southern,AFE,2031,2.9
37,Africa Eastern and Southern,AFE,2032,2.9
38,Africa Eastern and Southern,AFE,2033,2.9
39,Africa Eastern and Southern,AFE,2034,2.9
40,Africa Eastern and Southern,AFE,2035,2.9
41,Africa Eastern and Southern,AFE,2036,2.9
42,Africa Eastern and Southern,AFE,2037,2.9
43,Africa Eastern and Southern,AFE,2038,2.9
44,Africa Eastern and Southern,AFE,2039,2.9
45,Africa Eastern and Southern,AFE,2040,2.9
46,Africa Eastern and Southern,AFE,2041,2.9
47,Africa Eastern and Southern,AFE,2042,2.9
48,Africa Eastern and Southern,AFE,2043,2.9
49,Africa Eastern and Southern,AFE,2044,2.9
50,Africa Eastern and Southern,AFE,2045,2.9
51,Africa Eastern and Southern,AFE,2046,2.9
52,Africa Eastern and Southern,AFE,2047,2.9
53,Africa Eastern and Southern,AFE,2048,2.9
54,Africa Eastern and Southern,AFE,2049,2.9
55,Africa Eastern and Southern,AFE,2050,2.9
56,Afghanistan,AFG,2023,2.9
57,Afghanistan,AFG,2024,2.9
58,Afghanistan,AFG,2025,2.9
59,Afghanistan,AFG,2026,2.9
60,Afghanistan,AFG,2027,2.9
61,Afghanistan,AFG,2028,2.9
62,Afghanistan,AFG,2029,2.9
63,Afghanistan,AFG,2030,2.9
64,Afghanistan,AFG,2031,2.9
65,Afghanistan,AFG,2032,2.9
66,Afghanistan,AFG,2033,2.9
67,Afghanistan,AFG,2034,2.9
68,Afghanistan,AFG,2035,2.9
69,Afghanistan,AFG,2036,2.9
70,Afghanistan,AFG,2037,2.9
71,Afghanistan,AFG,2038,2.9
72,Afghanistan,AFG,2039,2.9
73,Afghanistan,AFG,2040,2.9
74,Afghanistan,AFG,2041,2.9
75,Afghanistan,AFG,2042,2.9
76,Afghanistan,AFG,2043,2.9
77,Afghanistan,AFG,2044,2.9
78,Afghanistan,AFG,2045,2.9
79,Afghanistan,AFG,2046,2.9
80,Afghanistan,AFG,2047,2.9
81,Afghanistan,AFG,2048,2.9
82,Afghanistan,AFG,2049,2.9
83,Afghanistan,AFG,2050,2.9
84,Africa Western and Central,AFW,2023,2.9
85,Africa Western and Central,AFW,2024,2.9
86,Africa Western and Central,AFW,2025,2.9
87,Africa Western and Central,AFW,2026,2.9
88,Africa Western and Central,AFW,2027,2.9
89,Africa Western and Central,AFW,2028,2.9
90,Africa Western and Central,AFW,2029,2.9
91,Africa Western and Central,AFW,2030,2.9
92,Africa Western and Central,AFW,2031,2.9
93,Africa Western and Central,AFW,2032,2.9
94,Africa Western and Central,AFW,2033,2.9
95,Africa Western and Central,AFW,2034,2.9
96,Africa Western and Central,AFW,2035,2.9
97,Africa Western and Central,AFW,2036,2.9
98,Africa Western and Central,AFW,2037,2.9
99,Africa Western and Central,AFW,2038,2.9
100,Africa Western and Central,AFW,2039,2.9
101,Africa Western and Central,AFW,2040,2.9
102,Africa Western and Central,AFW,2041,2.9
103,Africa Western and Central,AFW,2042,2.9
104,Africa Western and Central,AFW,2043,2.9
105,Africa Western and Central,AFW,2044,2.9
106,Africa Western and Central,AFW,2045,2.9
107,Africa Western and Central,AFW,2046,2.9
108,Africa Western and Central,AFW,2047,2.9
109,Africa Western and Central,AFW,2048,2.9
110,Africa Western and Central,AFW,2049,2.9
111,Africa Western and Central,AFW,2050,2.9
112,Angola,AGO,2023,2.9
113,Angola,AGO,2024,2.9
114,Angola,AGO,2025,2.9
115,Angola,AGO,2026,2.9
116,Angola,AGO,2027,2.9
117,Angola,AGO,2028,2.9
118,Angola,AGO,2029,2.9
119,Angola,AGO,2030,2.9
120,Angola,AGO,2031,2.9
121,Angola,AGO,2032,2.9
122,Angola,AGO,2033,2.9
123,Angola,AGO,2034,2.9
124,Angola,AGO,2035,2.9
125,Angola,AGO,2036,2.9
126,Angola,AGO,2037,2.9
127,Angola,AGO,2038,2.9
128,Angola,AGO,2039,2.9
129,Angola,AGO,2040,2.9
130,Angola,AGO,2041,2.9
131,Angola,AGO,2042,2.9
132,Angola,AGO,2043,2.9
133,Angola,AGO,2044,2.9
134,Angola,AGO,2045,2.9
135,Angola,AGO,2046,2.9
136,Angola,AGO,2047,2.9
137,Angola,AGO,2048,2.9
138,Angola,AGO,2049,2.9
139,Angola,AGO,2050,2.9
140,Albania,ALB,2023,2.9
141,Albania,ALB,2024,2.9
142,Albania,ALB,2025,2.9
143,Albania,ALB,2026,2.9
144,Albania,ALB,2027,2.9
145,Albania,ALB,2028,2.9
146,Albania,ALB,2029,2.9
147,Albania,ALB,2030,2.9
148,Albania,ALB,2031,2.9
149,Albania,ALB,2032,2.9
150,Albania,ALB,2033,2.9
151,Albania,ALB,2034,2.9
152,Albania,ALB,2035,2.9
153,Albania,ALB,2036,2.9
154,Albania,ALB,2037,2.9
155,Albania,ALB,2038,2.9
156,Albania,ALB,2039,2.9
157,Albania,ALB,2040,2.9
158,Albania,ALB,2041,2.9
159,Albania,ALB,2042,2.9
160,Albania,ALB,2043,2.9
161,Albania,ALB,2044,2.9
162,Albania,ALB,2045,2.9
163,Albania,ALB,2046,2.9
164,Albania,ALB,2047,2.9
165,Albania,ALB,2048,2.9
166,Albania,ALB,2049,2.9
167,Albania,ALB,2050,2.9
168,Andorra,AND,2023,2.9
169,Andorra,AND,2024,2.9
170,Andorra,AND,2025,2.9
171,Andorra,AND,2026,2.9
172,Andorra,AND,2027,2.9
173,Andorra,AND,2028,2.9
174,Andorra,AND,2029,2.9
175,Andorra,AND,2030,2.9
176,Andorra,AND,2031,2.9
177,Andorra,AND,2032,2.9
178,Andorra,AND,2033,2.9
179,Andorra,AND,2034,2.9
180,Andorra,AND,2035,2.9
181,Andorra,AND,2036,2.9
182,Andorra,AND,2037,2.9
183,Andorra,AND,2038,2.9
184,Andorra,AND,2039,2.9
185,Andorra,AND,2040,2.9
186,Andorra,AND,2041,2.9
187,Andorra,AND,2042,2.9
188,Andorra,AND,2043,2.9
189,Andorra,AND,2044,2.9
190,Andorra,AND,2045,2.9
191,Andorra,AND,2046,2.9
192,Andorra,AND,2047,2.9
193,Andorra,AND,2048,2.9
194,Andorra,AND,2049,2.9
195,Andorra,AND,2050,2.9
196,Arab World,ARB,2023,2.9
197,Arab World,ARB,2024,2.9
198,Arab World,ARB,2025,2.9
199,Arab World,ARB,2026,2.9
200,Arab World,ARB,2027,2.9
201,Arab World,ARB,2028,2.9
202,Arab World,ARB,2029,2.9
203,Arab World,ARB,2030,2.9
204,Arab World,ARB,2031,2.9
205,Arab World,ARB,2032,2.9
206,Arab World,ARB,2033,2.9
207,Arab World,ARB,2034,2.9
208,Arab World,ARB,2035,2.9
209,Arab World,ARB,2036,2.9
210,Arab World,ARB,2037,2.9
211,Arab World,ARB,2038,2.9
212,Arab World,ARB,2039,2.9
213,Arab World,ARB,2040,2.9
214,Arab World,ARB,2041,2.9
215,Arab World,ARB,2042,2.9
216,Arab World,ARB,2043,2.9
217,Arab World,ARB,2044,2.9
218,Arab World,ARB,2045,2.9
219,Arab World,ARB,2046,2.9
220,Arab World,ARB,2047,2.9
221,Arab World,ARB,2048,2.9
222,Arab World,ARB,2049,2.9
223,Arab World,ARB,2050,2.9
224,United Arab Emirates,ARE,2023,2.9
225,United Arab Emirates,ARE,2024,2.9
226,United Arab Emirates,ARE,2025,2.9
227,United Arab Emirates,ARE,2026,2.9
228,United Arab Emirates,ARE,2027,2.9
229,United Arab Emirates,ARE,2028,2.9
230,United Arab Emirates,ARE,2029,2.9
231,United Arab Emirates,ARE,2030,2.9
232,United Arab Emirates,ARE,2031,2.9
233,United Arab Emirates,ARE,2032,2.9
234,United Arab Emirates,ARE,2033,2.9
235,United Arab Emirates,ARE,2034,2.9
236,United Arab Emirates,ARE,2035,2.9
237,United Arab Emirates,ARE,2036,2.9
238,United Arab Emirates,ARE,2037,2.9
239,United Arab Emirates,ARE,2038,2.9
240,United Arab Emirates,ARE,2039,2.9
241,United Arab Emirates,ARE,2040,2.9
242,United Arab Emirates,ARE,2041,2.9
243,United Arab Emirates,ARE,2042,2.9
244,United Arab Emirates,ARE,2043,2.9
