Nation,iso_code3,Year,fuelefficiency_trns_road_heavy_regional_hydrogen_km_per_litre
Afghanistan,AFG,2020,0.8847678369195924
Afghanistan,AFG,2021,0.8936155152887884
Afghanistan,AFG,2022,0.9025516704416763
Afghanistan,AFG,2023,0.911577187146093
Afghanistan,AFG,2024,0.920692959017554
Afghanistan,AFG,2025,0.9298998886077295
Afghanistan,AFG,2026,0.9391988874938069
Afghanistan,AFG,2027,0.948590876368745
Afghanistan,AFG,2028,0.9580767851324324
Afghanistan,AFG,2029,0.9676575529837568
Afghanistan,AFG,2030,0.9773341285135944
Afghanistan,AFG,2031,0.9871074697987303
Afghanistan,AFG,2032,0.9969785444967176
Afghanistan,AFG,2033,1.0069483299416848
Afghanistan,AFG,2034,1.0170178132411016
Afghanistan,AFG,2035,1.0271879913735127
Afghanistan,AFG,2036,1.0374598712872478
Afghanistan,AFG,2037,1.0478344700001203
Afghanistan,AFG,2038,1.0583128147001215
Afghanistan,AFG,2039,1.0688959428471227
Afghanistan,AFG,2040,1.079584902275594
Afghanistan,AFG,2041,1.0903807512983499
Afghanistan,AFG,2042,1.1012845588113334
Afghanistan,AFG,2043,1.1122974043994467
Afghanistan,AFG,2044,1.1234203784434411
Afghanistan,AFG,2045,1.1346545822278755
Afghanistan,AFG,2046,1.1460011280501543
Afghanistan,AFG,2047,1.1574611393306558
Afghanistan,AFG,2048,1.1690357507239624
Afghanistan,AFG,2049,1.180726108231202
Afghanistan,AFG,2050,1.192533369313514
Åland Islands,ALA,2020,0.8847678369195924
Åland Islands,ALA,2021,0.8936155152887884
Åland Islands,ALA,2022,0.9025516704416763
Åland Islands,ALA,2023,0.911577187146093
Åland Islands,ALA,2024,0.920692959017554
Åland Islands,ALA,2025,0.9298998886077295
Åland Islands,ALA,2026,0.9391988874938069
Åland Islands,ALA,2027,0.948590876368745
Åland Islands,ALA,2028,0.9580767851324324
Åland Islands,ALA,2029,0.9676575529837568
Åland Islands,ALA,2030,0.9773341285135944
Åland Islands,ALA,2031,0.9871074697987303
Åland Islands,ALA,2032,0.9969785444967176
Åland Islands,ALA,2033,1.0069483299416848
Åland Islands,ALA,2034,1.0170178132411016
Åland Islands,ALA,2035,1.0271879913735127
Åland Islands,ALA,2036,1.0374598712872478
Åland Islands,ALA,2037,1.0478344700001203
Åland Islands,ALA,2038,1.0583128147001215
Åland Islands,ALA,2039,1.0688959428471227
Åland Islands,ALA,2040,1.079584902275594
Åland Islands,ALA,2041,1.0903807512983499
Åland Islands,ALA,2042,1.1012845588113334
Åland Islands,ALA,2043,1.1122974043994467
Åland Islands,ALA,2044,1.1234203784434411
Åland Islands,ALA,2045,1.1346545822278755
Åland Islands,ALA,2046,1.1460011280501543
Åland Islands,ALA,2047,1.1574611393306558
Åland Islands,ALA,2048,1.1690357507239624
Åland Islands,ALA,2049,1.180726108231202
Åland Islands,ALA,2050,1.192533369313514
Albania,ALB,2020,0.8847678369195924
Albania,ALB,2021,0.8936155152887884
Albania,ALB,2022,0.9025516704416763
Albania,ALB,2023,0.911577187146093
Albania,ALB,2024,0.920692959017554
Albania,ALB,2025,0.9298998886077295
Albania,ALB,2026,0.9391988874938069
Albania,ALB,2027,0.948590876368745
Albania,ALB,2028,0.9580767851324324
Albania,ALB,2029,0.9676575529837568
Albania,ALB,2030,0.9773341285135944
Albania,ALB,2031,0.9871074697987303
Albania,ALB,2032,0.9969785444967176
Albania,ALB,2033,1.0069483299416848
Albania,ALB,2034,1.0170178132411016
Albania,ALB,2035,1.0271879913735127
Albania,ALB,2036,1.0374598712872478
Albania,ALB,2037,1.0478344700001203
