,Nation,iso_code3,Year,nemomod_entc_capital_cost_pp_solar_mm_usd_per_gw
0,Afghanistan,ABW,2021,680.3246427861718
1,Afghanistan,ABW,2022,664.7860064699753
2,Afghanistan,ABW,2023,649.6022730977295
3,Afghanistan,ABW,2024,634.7653366749918
4,Afghanistan,ABW,2025,620.2672763484884
5,Afghanistan,ABW,2026,606.1003521774846
6,Afghanistan,ABW,2027,592.2570010017363
7,Afghanistan,ABW,2028,578.7298324038179
8,Afghanistan,ABW,2029,565.5116247636711
9,Afghanistan,ABW,2030,552.5953214032679
10,Afghanistan,ABW,2031,539.9740268193293
11,Afghanistan,ABW,2032,527.6410030020886
12,Afghanistan,ABW,2033,515.5896658381347
13,Afghanistan,ABW,2034,503.81358159541514
14,Afghanistan,ABW,2035,492.3064634885202
15,Afghanistan,ABW,2036,481.0621683224177
16,Afghanistan,ABW,2037,470.0746932128436
17,Afghanistan,ABW,2038,459.33817238160003
18,Afghanistan,ABW,2039,448.8468740250486
19,Afghanistan,ABW,2040,438.59519725412645
20,Afghanistan,ABW,2041,428.577669104254
21,Afghanistan,ABW,2042,418.7889416135356
22,Afghanistan,ABW,2043,409.22378896769374
23,Afghanistan,ABW,2044,399.87710471021416
24,Afghanistan,ABW,2045,390.74389901621055
25,Afghanistan,ABW,2046,381.81929602855445
26,Afghanistan,ABW,2047,373.0985312548483
27,Afghanistan,ABW,2048,364.57694902385106
28,Afghanistan,ABW,2049,356.25
29,Afghanistan,ABW,2050,348.11323875470015
30,Afghanistan,AFG,2021,680.3246427861718
31,Afghanistan,AFG,2022,664.7860064699753
32,Afghanistan,AFG,2023,649.6022730977295
33,Afghanistan,AFG,2024,634.7653366749918
34,Afghanistan,AFG,2025,620.2672763484884
35,Afghanistan,AFG,2026,606.1003521774846
36,Afghanistan,AFG,2027,592.2570010017363
37,Afghanistan,AFG,2028,578.7298324038179
38,Afghanistan,AFG,2029,565.5116247636711
39,Afghanistan,AFG,2030,552.5953214032679
40,Afghanistan,AFG,2031,539.9740268193293
41,Afghanistan,AFG,2032,527.6410030020886
42,Afghanistan,AFG,2033,515.5896658381347
43,Afghanistan,AFG,2034,503.81358159541514
44,Afghanistan,AFG,2035,492.3064634885202
45,Afghanistan,AFG,2036,481.0621683224177
46,Afghanistan,AFG,2037,470.0746932128436
47,Afghanistan,AFG,2038,459.33817238160003
48,Afghanistan,AFG,2039,448.8468740250486
49,Afghanistan,AFG,2040,438.59519725412645
50,Afghanistan,AFG,2041,428.577669104254
51,Afghanistan,AFG,2042,418.7889416135356
52,Afghanistan,AFG,2043,409.22378896769374
53,Afghanistan,AFG,2044,399.87710471021416
54,Afghanistan,AFG,2045,390.74389901621055
55,Afghanistan,AFG,2046,381.81929602855445
56,Afghanistan,AFG,2047,373.0985312548483
57,Afghanistan,AFG,2048,364.57694902385106
58,Afghanistan,AFG,2049,356.25
59,Afghanistan,AFG,2050,348.11323875470015
60,Afghanistan,AGO,2021,680.3246427861718
61,Afghanistan,AGO,2022,664.7860064699753
62,Afghanistan,AGO,2023,649.6022730977295
63,Afghanistan,AGO,2024,634.7653366749918
64,Afghanistan,AGO,2025,620.2672763484884
65,Afghanistan,AGO,2026,606.1003521774846
66,Afghanistan,AGO,2027,592.2570010017363
67,Afghanistan,AGO,2028,578.7298324038179
68,Afghanistan,AGO,2029,565.5116247636711
69,Afghanistan,AGO,2030,552.5953214032679
70,Afghanistan,AGO,2031,539.9740268193293
71,Afghanistan,AGO,2032,527.6410030020886
72,Afghanistan,AGO,2033,515.5896658381347
73,Afghanistan,AGO,2034,503.81358159541514
74,Afghanistan,AGO,2035,492.3064634885202
75,Afghanistan,AGO,2036,481.0621683224177
76,Afghanistan,AGO,2037,470.0746932128436
77,Afghanistan,AGO,2038,459.33817238160003
78,Afghanistan,AGO,2039,448.8468740250486
79,Afghanistan,AGO,2040,438.59519725412645
80,Afghanistan,AGO,2041,428.577669104254
81,Afghanistan,AGO,2042,418.7889416135356
82,Afghanistan,AGO,2043,409.22378896769374
83,Afghanistan,AGO,2044,399.87710471021416
84,Afghanistan,AGO,2045,390.74389901621055
85,Afghanistan,AGO,2046,381.81929602855445
86,Afghanistan,AGO,2047,373.0985312548483
87,Afghanistan,AGO,2048,364.57694902385106
88,Afghanistan,AGO,2049,356.25
89,Afghanistan,AGO,2050,348.11323875470015
90,Afghanistan,AIA,2021,680.3246427861718
91,Afghanistan,AIA,2022,664.7860064699753
92,Afghanistan,AIA,2023,649.6022730977295
93,Afghanistan,AIA,2024,634.7653366749918
94,Afghanistan,AIA,2025,620.2672763484884
95,Afghanistan,AIA,2026,606.1003521774846
96,Afghanistan,AIA,2027,592.2570010017363
97,Afghanistan,AIA,2028,578.7298324038179
98,Afghanistan,AIA,2029,565.5116247636711
99,Afghanistan,AIA,2030,552.5953214032679
100,Afghanistan,AIA,2031,539.9740268193293
101,Afghanistan,AIA,2032,527.6410030020886
102,Afghanistan,AIA,2033,515.5896658381347
103,Afghanistan,AIA,2034,503.81358159541514
104,Afghanistan,AIA,2035,492.3064634885202
105,Afghanistan,AIA,2036,481.0621683224177
