Year,Nation,iso_code3,nemomod_entc_residual_capacity_pp_gas_gw
2022,afghanistan,AFG,0.042
2023,afghanistan,AFG,0.042
2024,afghanistan,AFG,0.042
2025,afghanistan,AFG,0.042
2026,afghanistan,AFG,0.042
2027,afghanistan,AFG,0.042
2028,afghanistan,AFG,0.042
2029,afghanistan,AFG,0.042
2030,afghanistan,AFG,0.042
2031,afghanistan,AFG,0.042
2032,afghanistan,AFG,0.042
2033,afghanistan,AFG,0.042
2034,afghanistan,AFG,0.042
2035,afghanistan,AFG,0.042
2036,afghanistan,AFG,0.042
2037,afghanistan,AFG,0.042
2038,afghanistan,AFG,0.042
2039,afghanistan,AFG,0.042
2040,afghanistan,AFG,0.042
2041,afghanistan,AFG,0.042
2042,afghanistan,AFG,0.042
2043,afghanistan,AFG,0.042
2044,afghanistan,AFG,0.042
2045,afghanistan,AFG,0.042
2046,afghanistan,AFG,0.042
2047,afghanistan,AFG,0.042
2048,afghanistan,AFG,0.042
2049,afghanistan,AFG,0.042
2050,afghanistan,AFG,0.042
2022,albania,ALB,0.0
2023,albania,ALB,0.0
2024,albania,ALB,0.0
2025,albania,ALB,0.0
2026,albania,ALB,0.0
2027,albania,ALB,0.0
2028,albania,ALB,0.0
2029,albania,ALB,0.0
2030,albania,ALB,0.0
2031,albania,ALB,0.0
2032,albania,ALB,0.0
2033,albania,ALB,0.0
2034,albania,ALB,0.0
2035,albania,ALB,0.0
2036,albania,ALB,0.0
2037,albania,ALB,0.0
2038,albania,ALB,0.0
2039,albania,ALB,0.0
2040,albania,ALB,0.0
2041,albania,ALB,0.0
2042,albania,ALB,0.0
2043,albania,ALB,0.0
2044,albania,ALB,0.0
2045,albania,ALB,0.0
2046,albania,ALB,0.0
2047,albania,ALB,0.0
2048,albania,ALB,0.0
2049,albania,ALB,0.0
2050,albania,ALB,0.0
2022,algeria,DZA,15.179
2023,algeria,DZA,15.179
2024,algeria,DZA,15.179
2025,algeria,DZA,15.179
2026,algeria,DZA,15.179
2027,algeria,DZA,15.179
2028,algeria,DZA,15.179
2029,algeria,DZA,15.179
2030,algeria,DZA,15.179
2031,algeria,DZA,15.179
2032,algeria,DZA,15.179
2033,algeria,DZA,15.179
2034,algeria,DZA,15.179
2035,algeria,DZA,15.179
2036,algeria,DZA,15.179
2037,algeria,DZA,15.179
2038,algeria,DZA,15.179
2039,algeria,DZA,15.179
2040,algeria,DZA,15.179
2041,algeria,DZA,15.179
2042,algeria,DZA,15.179
2043,algeria,DZA,15.179
2044,algeria,DZA,15.179
2045,algeria,DZA,15.179
2046,algeria,DZA,15.179
2047,algeria,DZA,15.179
2048,algeria,DZA,15.179
2049,algeria,DZA,15.179
