Nation,iso_code3,Year,nemomod_entc_variable_cost_pp_biomass_mm_usd_per_mwh
Afghanistan,ABW,2021,0.968209386
Afghanistan,ABW,2022,0.946095453
Afghanistan,ABW,2023,0.924486603
Afghanistan,ABW,2024,0.9033713
Afghanistan,ABW,2025,0.882738271
Afghanistan,ABW,2026,0.862576501
Afghanistan,ABW,2027,0.842875227
Afghanistan,ABW,2028,0.82362393
Afghanistan,ABW,2029,0.804812333
Afghanistan,ABW,2030,0.786430394
Afghanistan,ABW,2031,0.768468299
Afghanistan,ABW,2032,0.750916459
Afghanistan,ABW,2033,0.733765503
Afghanistan,ABW,2034,0.717006276
Afghanistan,ABW,2035,0.70062983
Afghanistan,ABW,2036,0.684627423
Afghanistan,ABW,2037,0.668990511
Afghanistan,ABW,2038,0.653710746
Afghanistan,ABW,2039,0.638779972
Afghanistan,ABW,2040,0.624190218
Afghanistan,ABW,2041,0.609933693
Afghanistan,ABW,2042,0.596002788
Afghanistan,ABW,2043,0.582390066
Afghanistan,ABW,2044,0.569088258
Afghanistan,ABW,2045,0.556090265
Afghanistan,ABW,2046,0.543389146
Afghanistan,ABW,2047,0.53097812
Afghanistan,ABW,2048,0.518850563
Afghanistan,ABW,2049,0.507
Afghanistan,ABW,2050,0.495420104
Afghanistan,AFG,2021,0.968209386
Afghanistan,AFG,2022,0.946095453
Afghanistan,AFG,2023,0.924486603
Afghanistan,AFG,2024,0.9033713
Afghanistan,AFG,2025,0.882738271
Afghanistan,AFG,2026,0.862576501
Afghanistan,AFG,2027,0.842875227
Afghanistan,AFG,2028,0.82362393
Afghanistan,AFG,2029,0.804812333
Afghanistan,AFG,2030,0.786430394
Afghanistan,AFG,2031,0.768468299
Afghanistan,AFG,2032,0.750916459
Afghanistan,AFG,2033,0.733765503
Afghanistan,AFG,2034,0.717006276
Afghanistan,AFG,2035,0.70062983
Afghanistan,AFG,2036,0.684627423
Afghanistan,AFG,2037,0.668990511
Afghanistan,AFG,2038,0.653710746
Afghanistan,AFG,2039,0.638779972
Afghanistan,AFG,2040,0.624190218
Afghanistan,AFG,2041,0.609933693
Afghanistan,AFG,2042,0.596002788
Afghanistan,AFG,2043,0.582390066
Afghanistan,AFG,2044,0.569088258
Afghanistan,AFG,2045,0.556090265
Afghanistan,AFG,2046,0.543389146
Afghanistan,AFG,2047,0.53097812
Afghanistan,AFG,2048,0.518850563
Afghanistan,AFG,2049,0.507
Afghanistan,AFG,2050,0.495420104
Afghanistan,AGO,2021,0.968209386
Afghanistan,AGO,2022,0.946095453
Afghanistan,AGO,2023,0.924486603
Afghanistan,AGO,2024,0.9033713
Afghanistan,AGO,2025,0.882738271
Afghanistan,AGO,2026,0.862576501
Afghanistan,AGO,2027,0.842875227
Afghanistan,AGO,2028,0.82362393
Afghanistan,AGO,2029,0.804812333
Afghanistan,AGO,2030,0.786430394
Afghanistan,AGO,2031,0.768468299
Afghanistan,AGO,2032,0.750916459
Afghanistan,AGO,2033,0.733765503
Afghanistan,AGO,2034,0.717006276
Afghanistan,AGO,2035,0.70062983
Afghanistan,AGO,2036,0.684627423
Afghanistan,AGO,2037,0.668990511
Afghanistan,AGO,2038,0.653710746
Afghanistan,AGO,2039,0.638779972
Afghanistan,AGO,2040,0.624190218
Afghanistan,AGO,2041,0.609933693
Afghanistan,AGO,2042,0.596002788
Afghanistan,AGO,2043,0.582390066
Afghanistan,AGO,2044,0.569088258
Afghanistan,AGO,2045,0.556090265
Afghanistan,AGO,2046,0.543389146
Afghanistan,AGO,2047,0.53097812
Afghanistan,AGO,2048,0.518850563
Afghanistan,AGO,2049,0.507
Afghanistan,AGO,2050,0.495420104
Afghanistan,AIA,2021,0.968209386
Afghanistan,AIA,2022,0.946095453
Afghanistan,AIA,2023,0.924486603
Afghanistan,AIA,2024,0.9033713
Afghanistan,AIA,2025,0.882738271
Afghanistan,AIA,2026,0.862576501
Afghanistan,AIA,2027,0.842875227
Afghanistan,AIA,2028,0.82362393
Afghanistan,AIA,2029,0.804812333
Afghanistan,AIA,2030,0.786430394
Afghanistan,AIA,2031,0.768468299
Afghanistan,AIA,2032,0.750916459
Afghanistan,AIA,2033,0.733765503
Afghanistan,AIA,2034,0.717006276
Afghanistan,AIA,2035,0.70062983
Afghanistan,AIA,2036,0.684627423
Afghanistan,AIA,2037,0.668990511
Afghanistan,AIA,2038,0.653710746
Afghanistan,AIA,2039,0.638779972
Afghanistan,AIA,2040,0.624190218
Afghanistan,AIA,2041,0.609933693
Afghanistan,AIA,2042,0.596002788
Afghanistan,AIA,2043,0.582390066
Afghanistan,AIA,2044,0.569088258
Afghanistan,AIA,2045,0.556090265
Afghanistan,AIA,2046,0.543389146
Afghanistan,AIA,2047,0.53097812
Afghanistan,AIA,2048,0.518850563
Afghanistan,AIA,2049,0.507
Afghanistan,AIA,2050,0.495420104
Afghanistan,ALA,2021,0.968209386
Afghanistan,ALA,2022,0.946095453
Afghanistan,ALA,2023,0.924486603
Afghanistan,ALA,2024,0.9033713
Afghanistan,ALA,2025,0.882738271
Afghanistan,ALA,2026,0.862576501
Afghanistan,ALA,2027,0.842875227
Afghanistan,ALA,2028,0.82362393
Afghanistan,ALA,2029,0.804812333
Afghanistan,ALA,2030,0.786430394
Afghanistan,ALA,2031,0.768468299
Afghanistan,ALA,2032,0.750916459
Afghanistan,ALA,2033,0.733765503
Afghanistan,ALA,2034,0.717006276
Afghanistan,ALA,2035,0.70062983
Afghanistan,ALA,2036,0.684627423
Afghanistan,ALA,2037,0.668990511
Afghanistan,ALA,2038,0.653710746
Afghanistan,ALA,2039,0.638779972
Afghanistan,ALA,2040,0.624190218
Afghanistan,ALA,2041,0.609933693
Afghanistan,ALA,2042,0.596002788
Afghanistan,ALA,2043,0.582390066
Afghanistan,ALA,2044,0.569088258
Afghanistan,ALA,2045,0.556090265
Afghanistan,ALA,2046,0.543389146
Afghanistan,ALA,2047,0.53097812
Afghanistan,ALA,2048,0.518850563
Afghanistan,ALA,2049,0.507
Afghanistan,ALA,2050,0.495420104
Afghanistan,ALB,2021,0.968209386
Afghanistan,ALB,2022,0.946095453
Afghanistan,ALB,2023,0.924486603
Afghanistan,ALB,2024,0.9033713
Afghanistan,ALB,2025,0.882738271
Afghanistan,ALB,2026,0.862576501
Afghanistan,ALB,2027,0.842875227
Afghanistan,ALB,2028,0.82362393
Afghanistan,ALB,2029,0.804812333
Afghanistan,ALB,2030,0.786430394
Afghanistan,ALB,2031,0.768468299
Afghanistan,ALB,2032,0.750916459
Afghanistan,ALB,2033,0.733765503
Afghanistan,ALB,2034,0.717006276
Afghanistan,ALB,2035,0.70062983
Afghanistan,ALB,2036,0.684627423
Afghanistan,ALB,2037,0.668990511
Afghanistan,ALB,2038,0.653710746
Afghanistan,ALB,2039,0.638779972
Afghanistan,ALB,2040,0.624190218
Afghanistan,ALB,2041,0.609933693
Afghanistan,ALB,2042,0.596002788
Afghanistan,ALB,2043,0.582390066
Afghanistan,ALB,2044,0.569088258
Afghanistan,ALB,2045,0.556090265
Afghanistan,ALB,2046,0.543389146
Afghanistan,ALB,2047,0.53097812
Afghanistan,ALB,2048,0.518850563
Afghanistan,ALB,2049,0.507
Afghanistan,ALB,2050,0.495420104
Afghanistan,AND,2021,0.968209386
Afghanistan,AND,2022,0.946095453
Afghanistan,AND,2023,0.924486603
Afghanistan,AND,2024,0.9033713
Afghanistan,AND,2025,0.882738271
Afghanistan,AND,2026,0.862576501
Afghanistan,AND,2027,0.842875227
Afghanistan,AND,2028,0.82362393
Afghanistan,AND,2029,0.804812333
Afghanistan,AND,2030,0.786430394
Afghanistan,AND,2031,0.768468299
Afghanistan,AND,2032,0.750916459
Afghanistan,AND,2033,0.733765503
Afghanistan,AND,2034,0.717006276
Afghanistan,AND,2035,0.70062983
Afghanistan,AND,2036,0.684627423
Afghanistan,AND,2037,0.668990511
Afghanistan,AND,2038,0.653710746
Afghanistan,AND,2039,0.638779972
Afghanistan,AND,2040,0.624190218
Afghanistan,AND,2041,0.609933693
Afghanistan,AND,2042,0.596002788
Afghanistan,AND,2043,0.582390066
Afghanistan,AND,2044,0.569088258
Afghanistan,AND,2045,0.556090265
Afghanistan,AND,2046,0.543389146
Afghanistan,AND,2047,0.53097812
Afghanistan,AND,2048,0.518850563
Afghanistan,AND,2049,0.507
Afghanistan,AND,2050,0.495420104
Afghanistan,ARE,2021,0.968209386
Afghanistan,ARE,2022,0.946095453
Afghanistan,ARE,2023,0.924486603
Afghanistan,ARE,2024,0.9033713
Afghanistan,ARE,2025,0.882738271
Afghanistan,ARE,2026,0.862576501
Afghanistan,ARE,2027,0.842875227
Afghanistan,ARE,2028,0.82362393
Afghanistan,ARE,2029,0.804812333
Afghanistan,ARE,2030,0.786430394
Afghanistan,ARE,2031,0.768468299
Afghanistan,ARE,2032,0.750916459
Afghanistan,ARE,2033,0.733765503
Afghanistan,ARE,2034,0.717006276
Afghanistan,ARE,2035,0.70062983
Afghanistan,ARE,2036,0.684627423
Afghanistan,ARE,2037,0.668990511
Afghanistan,ARE,2038,0.653710746
Afghanistan,ARE,2039,0.638779972
Afghanistan,ARE,2040,0.624190218
Afghanistan,ARE,2041,0.609933693
Afghanistan,ARE,2042,0.596002788
Afghanistan,ARE,2043,0.582390066
Afghanistan,ARE,2044,0.569088258
Afghanistan,ARE,2045,0.556090265
Afghanistan,ARE,2046,0.543389146
Afghanistan,ARE,2047,0.53097812
Afghanistan,ARE,2048,0.518850563
Afghanistan,ARE,2049,0.507
Afghanistan,ARE,2050,0.495420104
Afghanistan,ARG,2021,0.968209386
Afghanistan,ARG,2022,0.946095453
Afghanistan,ARG,2023,0.924486603
Afghanistan,ARG,2024,0.9033713
Afghanistan,ARG,2025,0.882738271
