,Nation,iso_code3,Year,occrate_trns_passenger_per_vehicle_public
0,Aruba,ABW,2004,78.34671428571428
1,Aruba,ABW,2005,78.34671428571428
2,Aruba,ABW,2006,78.34671428571428
3,Aruba,ABW,2007,78.34671428571428
4,Aruba,ABW,2008,78.34671428571428
5,Africa Eastern and Southern,AFE,2004,78.34671428571428
6,Africa Eastern and Southern,AFE,2005,78.34671428571428
7,Africa Eastern and Southern,AFE,2006,78.34671428571428
8,Africa Eastern and Southern,AFE,2007,78.34671428571428
9,Africa Eastern and Southern,AFE,2008,78.34671428571428
10,Afghanistan,AFG,2004,78.34671428571428
11,Afghanistan,AFG,2005,78.34671428571428
12,Afghanistan,AFG,2006,78.34671428571428
13,Afghanistan,AFG,2007,78.34671428571428
14,Afghanistan,AFG,2008,78.34671428571428
15,Africa Western and Central,AFW,2004,78.34671428571428
16,Africa Western and Central,AFW,2005,78.34671428571428
17,Africa Western and Central,AFW,2006,78.34671428571428
18,Africa Western and Central,AFW,2007,78.34671428571428
19,Africa Western and Central,AFW,2008,78.34671428571428
20,Angola,AGO,2004,78.34671428571428
21,Angola,AGO,2005,78.34671428571428
22,Angola,AGO,2006,78.34671428571428
23,Angola,AGO,2007,78.34671428571428
24,Angola,AGO,2008,78.34671428571428
25,Albania,ALB,2004,78.34671428571428
26,Albania,ALB,2005,78.34671428571428
27,Albania,ALB,2006,78.34671428571428
28,Albania,ALB,2007,78.34671428571428
29,Albania,ALB,2008,78.34671428571428
30,Andorra,AND,2004,78.34671428571428
31,Andorra,AND,2005,78.34671428571428
32,Andorra,AND,2006,78.34671428571428
33,Andorra,AND,2007,78.34671428571428
34,Andorra,AND,2008,78.34671428571428
35,Arab World,ARB,2004,78.34671428571428
36,Arab World,ARB,2005,78.34671428571428
37,Arab World,ARB,2006,78.34671428571428
38,Arab World,ARB,2007,78.34671428571428
39,Arab World,ARB,2008,78.34671428571428
40,United Arab Emirates,ARE,2004,78.34671428571428
41,United Arab Emirates,ARE,2005,78.34671428571428
42,United Arab Emirates,ARE,2006,78.34671428571428
43,United Arab Emirates,ARE,2007,78.34671428571428
44,United Arab Emirates,ARE,2008,78.34671428571428
45,Argentina,ARG,2004,78.34671428571428
46,Argentina,ARG,2005,78.34671428571428
47,Argentina,ARG,2006,78.34671428571428
48,Argentina,ARG,2007,78.34671428571428
49,Argentina,ARG,2008,78.34671428571428
50,Armenia,ARM,2004,78.34671428571428
51,Armenia,ARM,2005,78.34671428571428
52,Armenia,ARM,2006,78.34671428571428
53,Armenia,ARM,2007,78.34671428571428
54,Armenia,ARM,2008,78.34671428571428
55,American Samoa,ASM,2004,78.34671428571428
56,American Samoa,ASM,2005,78.34671428571428
57,American Samoa,ASM,2006,78.34671428571428
58,American Samoa,ASM,2007,78.34671428571428
59,American Samoa,ASM,2008,78.34671428571428
60,Antigua and Barbuda,ATG,2004,78.34671428571428
61,Antigua and Barbuda,ATG,2005,78.34671428571428
62,Antigua and Barbuda,ATG,2006,78.34671428571428
63,Antigua and Barbuda,ATG,2007,78.34671428571428
64,Antigua and Barbuda,ATG,2008,78.34671428571428
65,Australia,AUS,2004,78.34671428571428
66,Australia,AUS,2005,78.34671428571428
67,Australia,AUS,2006,78.34671428571428
68,Australia,AUS,2007,78.34671428571428
69,Australia,AUS,2008,78.34671428571428
70,Austria,AUT,2004,74.33571428571427
71,Austria,AUT,2005,73.98571428571428
72,Austria,AUT,2006,73.98571428571428
73,Austria,AUT,2007,73.98571428571428
74,Austria,AUT,2008,73.98571428571428
75,Azerbaijan,AZE,2004,78.34671428571428
76,Azerbaijan,AZE,2005,78.34671428571428
77,Azerbaijan,AZE,2006,78.34671428571428
78,Azerbaijan,AZE,2007,78.34671428571428
79,Azerbaijan,AZE,2008,78.34671428571428
