,Nation,iso_code3,Year,occrate_trns_passenger_per_vehicle_rail_passenger
0,Aruba,ABW,2004,132.57142857142856
1,Aruba,ABW,2005,132.57142857142856
2,Aruba,ABW,2006,132.57142857142856
3,Aruba,ABW,2007,132.57142857142856
4,Aruba,ABW,2008,132.57142857142856
5,Africa Eastern and Southern,AFE,2004,132.57142857142856
6,Africa Eastern and Southern,AFE,2005,132.57142857142856
7,Africa Eastern and Southern,AFE,2006,132.57142857142856
8,Africa Eastern and Southern,AFE,2007,132.57142857142856
9,Africa Eastern and Southern,AFE,2008,132.57142857142856
10,Afghanistan,AFG,2004,132.57142857142856
11,Afghanistan,AFG,2005,132.57142857142856
12,Afghanistan,AFG,2006,132.57142857142856
13,Afghanistan,AFG,2007,132.57142857142856
14,Afghanistan,AFG,2008,132.57142857142856
15,Africa Western and Central,AFW,2004,132.57142857142856
16,Africa Western and Central,AFW,2005,132.57142857142856
17,Africa Western and Central,AFW,2006,132.57142857142856
18,Africa Western and Central,AFW,2007,132.57142857142856
19,Africa Western and Central,AFW,2008,132.57142857142856
20,Angola,AGO,2004,132.57142857142856
21,Angola,AGO,2005,132.57142857142856
22,Angola,AGO,2006,132.57142857142856
23,Angola,AGO,2007,132.57142857142856
24,Angola,AGO,2008,132.57142857142856
25,Albania,ALB,2004,132.57142857142856
26,Albania,ALB,2005,132.57142857142856
27,Albania,ALB,2006,132.57142857142856
28,Albania,ALB,2007,132.57142857142856
29,Albania,ALB,2008,132.57142857142856
30,Andorra,AND,2004,132.57142857142856
31,Andorra,AND,2005,132.57142857142856
32,Andorra,AND,2006,132.57142857142856
33,Andorra,AND,2007,132.57142857142856
34,Andorra,AND,2008,132.57142857142856
35,Arab World,ARB,2004,132.57142857142856
36,Arab World,ARB,2005,132.57142857142856
37,Arab World,ARB,2006,132.57142857142856
38,Arab World,ARB,2007,132.57142857142856
39,Arab World,ARB,2008,132.57142857142856
40,United Arab Emirates,ARE,2004,132.57142857142856
41,United Arab Emirates,ARE,2005,132.57142857142856
42,United Arab Emirates,ARE,2006,132.57142857142856
43,United Arab Emirates,ARE,2007,132.57142857142856
44,United Arab Emirates,ARE,2008,132.57142857142856
45,Argentina,ARG,2004,132.57142857142856
46,Argentina,ARG,2005,132.57142857142856
47,Argentina,ARG,2006,132.57142857142856
48,Argentina,ARG,2007,132.57142857142856
49,Argentina,ARG,2008,132.57142857142856
50,Armenia,ARM,2004,132.57142857142856
51,Armenia,ARM,2005,132.57142857142856
52,Armenia,ARM,2006,132.57142857142856
53,Armenia,ARM,2007,132.57142857142856
54,Armenia,ARM,2008,132.57142857142856
55,American Samoa,ASM,2004,132.57142857142856
56,American Samoa,ASM,2005,132.57142857142856
57,American Samoa,ASM,2006,132.57142857142856
58,American Samoa,ASM,2007,132.57142857142856
59,American Samoa,ASM,2008,132.57142857142856
60,Antigua and Barbuda,ATG,2004,132.57142857142856
61,Antigua and Barbuda,ATG,2005,132.57142857142856
62,Antigua and Barbuda,ATG,2006,132.57142857142856
63,Antigua and Barbuda,ATG,2007,132.57142857142856
64,Antigua and Barbuda,ATG,2008,132.57142857142856
65,Australia,AUS,2004,132.57142857142856
66,Australia,AUS,2005,132.57142857142856
67,Australia,AUS,2006,132.57142857142856
68,Australia,AUS,2007,132.57142857142856
69,Australia,AUS,2008,132.57142857142856
70,Austria,AUT,2004,132.57142857142856
71,Austria,AUT,2005,132.57142857142856
72,Austria,AUT,2006,132.57142857142856
73,Austria,AUT,2007,132.57142857142856
74,Austria,AUT,2008,132.57142857142856
75,Azerbaijan,AZE,2004,132.57142857142856
76,Azerbaijan,AZE,2005,132.57142857142856
77,Azerbaijan,AZE,2006,132.57142857142856
78,Azerbaijan,AZE,2007,132.57142857142856
79,Azerbaijan,AZE,2008,132.57142857142856
80,Burundi,BDI,2004,132.57142857142856
81,Burundi,BDI,2005,132.57142857142856
82,Burundi,BDI,2006,132.57142857142856
83,Burundi,BDI,2007,132.57142857142856
84,Burundi,BDI,2008,132.57142857142856
85,Belgium,BEL,2004,132.57142857142856
86,Belgium,BEL,2005,132.57142857142856
87,Belgium,BEL,2006,132.57142857142856
88,Belgium,BEL,2007,132.57142857142856
89,Belgium,BEL,2008,132.57142857142856
90,Benin,BEN,2004,132.57142857142856
91,Benin,BEN,2005,132.57142857142856
92,Benin,BEN,2006,132.57142857142856
93,Benin,BEN,2007,132.57142857142856
94,Benin,BEN,2008,132.57142857142856
95,Burkina Faso,BFA,2004,132.57142857142856
96,Burkina Faso,BFA,2005,132.57142857142856
97,Burkina Faso,BFA,2006,132.57142857142856
98,Burkina Faso,BFA,2007,132.57142857142856
99,Burkina Faso,BFA,2008,132.57142857142856
100,Bangladesh,BGD,2004,132.57142857142856
101,Bangladesh,BGD,2005,132.57142857142856
102,Bangladesh,BGD,2006,132.57142857142856
103,Bangladesh,BGD,2007,132.57142857142856
104,Bangladesh,BGD,2008,132.57142857142856
105,Bulgaria,BGR,2004,132.57142857142856
106,Bulgaria,BGR,2005,132.57142857142856
107,Bulgaria,BGR,2006,132.57142857142856
108,Bulgaria,BGR,2007,132.57142857142856
109,Bulgaria,BGR,2008,132.57142857142856
110,Bahrain,BHR,2004,132.57142857142856
111,Bahrain,BHR,2005,132.57142857142856
112,Bahrain,BHR,2006,132.57142857142856
113,Bahrain,BHR,2007,132.57142857142856
114,Bahrain,BHR,2008,132.57142857142856
115,"Bahamas, The",BHS,2004,132.57142857142856
116,"Bahamas, The",BHS,2005,132.57142857142856
117,"Bahamas, The",BHS,2006,132.57142857142856
118,"Bahamas, The",BHS,2007,132.57142857142856
119,"Bahamas, The",BHS,2008,132.57142857142856
120,Bosnia and Herzegovina,BIH,2004,132.57142857142856
121,Bosnia and Herzegovina,BIH,2005,132.57142857142856
122,Bosnia and Herzegovina,BIH,2006,132.57142857142856
123,Bosnia and Herzegovina,BIH,2007,132.57142857142856
124,Bosnia and Herzegovina,BIH,2008,132.57142857142856
125,Belarus,BLR,2004,132.57142857142856
126,Belarus,BLR,2005,132.57142857142856
127,Belarus,BLR,2006,132.57142857142856
128,Belarus,BLR,2007,132.57142857142856
129,Belarus,BLR,2008,132.57142857142856
130,Belize,BLZ,2004,132.57142857142856
131,Belize,BLZ,2005,132.57142857142856
132,Belize,BLZ,2006,132.57142857142856
133,Belize,BLZ,2007,132.57142857142856
134,Belize,BLZ,2008,132.57142857142856
