Nation,Year,prodinit_ippu_plastic_tonne
argentina,1990,1787.2304780000002
argentina,1991,1787.2304780000002
argentina,1992,1787.2304780000002
argentina,1993,1787.2304780000002
argentina,1994,1787.2304780000002
argentina,1995,1787.2304780000002
argentina,1996,1787.2304780000002
argentina,1997,1787.2304780000002
argentina,1998,1787.2304780000002
argentina,1999,1787.2304780000002
argentina,2000,1787.2304780000002
argentina,2001,1787.2304780000002
argentina,2002,1787.2304780000002
argentina,2003,1787.2304780000002
argentina,2004,1787.2304780000002
argentina,2005,1787.2304780000002
argentina,2006,1787.2304780000002
argentina,2007,1787.2304780000002
argentina,2008,1787.2304780000002
argentina,2009,1787.2304780000002
argentina,2010,1787.2304780000002
argentina,2011,1787.2304780000002
argentina,2012,1787.2304780000002
argentina,2013,1787.2304780000002
argentina,2014,1787.2304780000002
argentina,2015,1787.2304780000002
argentina,2016,1787.2304780000002
argentina,2017,1787.2304780000002
argentina,2018,1787.2304780000002
argentina,2019,1787.2304780000002
bahamas,1990,79.81782783999999
bahamas,1991,79.81782783999999
bahamas,1992,79.81782783999999
bahamas,1993,79.81782783999999
bahamas,1994,79.81782783999999
bahamas,1995,79.81782783999999
bahamas,1996,79.81782783999999
bahamas,1997,79.81782783999999
bahamas,1998,79.81782783999999
bahamas,1999,79.81782783999999
bahamas,2000,79.81782783999999
bahamas,2001,79.81782783999999
bahamas,2002,79.81782783999999
bahamas,2003,79.81782783999999
bahamas,2004,79.81782783999999
bahamas,2005,79.81782783999999
bahamas,2006,79.81782783999999
bahamas,2007,79.81782783999999
bahamas,2008,79.81782783999999
bahamas,2009,79.81782783999999
bahamas,2010,79.81782783999999
bahamas,2011,79.81782783999999
bahamas,2012,79.81782783999999
bahamas,2013,79.81782783999999
bahamas,2014,79.81782783999999
bahamas,2015,79.81782783999999
bahamas,2016,79.81782783999999
bahamas,2017,79.81782783999999
bahamas,2018,79.81782783999999
bahamas,2019,79.81782783999999
barbados,1990,5.815123284
barbados,1991,5.815123284
barbados,1992,5.815123284
barbados,1993,5.815123284
barbados,1994,5.815123284
barbados,1995,5.815123284
barbados,1996,5.815123284
barbados,1997,5.815123284
barbados,1998,5.815123284
barbados,1999,5.815123284
barbados,2000,5.815123284
barbados,2001,5.815123284
barbados,2002,5.815123284
barbados,2003,5.815123284
barbados,2004,5.815123284
barbados,2005,5.815123284
barbados,2006,5.815123284
barbados,2007,5.815123284
barbados,2008,5.815123284
barbados,2009,5.815123284
barbados,2010,5.815123284
barbados,2011,5.815123284
barbados,2012,5.815123284
barbados,2013,5.815123284
barbados,2014,5.815123284
barbados,2015,5.815123284
barbados,2016,5.815123284
barbados,2017,5.815123284
barbados,2018,5.815123284
