"Nation","area_gnrl_country_ha","iso_code3"
"Afghanistan",65286000,"AFG"
"Albania",2875000,"ALB"
"Algeria",238174100,"DZA"
"American Samoa",20000,"ASM"
"Andorra",47000,"AND"
"Angola",124670000,"AGO"
"Antigua and Barbuda",44000,"ATG"
"Argentina",278040000,"ARG"
"Armenia",2974000,"ARM"
"Aruba",18000,"ABW"
"Australia",774122000,"AUS"
"Austria",8387900,"AUT"
"Azerbaijan",8660000,"AZE"
"Bahamas",1388000,"BHS"
"Bahrain",78500,"BHR"
"Bangladesh",14757000,"BGD"
"Barbados",43000,"BRB"
"Belarus",20761000,"BLR"
"Belgium",3053000,"BEL"
"Belize",2297000,"BLZ"
"Benin",11476000,"BEN"
"Bermuda",429000,"BMU"
"Bhutan",3839000,"BTN"
"Bolivia",109858000,"BOL"
"Bosnia and Herzegovina",5121000,"BIH"
"Botswana",58173000,"BWA"
"Brazil",851577000,"BRA"
"British Virgin Islands",15000,"VGB"
"Brunei Darussalam",577000,"BRN"
"Bulgaria",11100000,"BGR"
"Burkina Faso",27422000,"BFA"
"Burundi",2783000,"BDI"
"Cabo Verde",403000,"CPV"
"Cambodia",18104000,"KHM"
"Cameroon",47544000,"CMR"
"Canada",987975000,"CAN"
"Cayman Islands",26400,"CYM"
"Central African Republic",62298000,"CAF"
"Chad",128400000,"TCD"
"Channel Islands",19800,"CHI"
"Chile",75670000,"CHL"
"China",956291000,"CHN"
"China",960001290,"CHN"
"Colombia",114061905,"COL"
"Comoros",186100,"COM"
"Costa Rica",5110000,"CRI"
"Croatia",8807000,"HRV"
"Cuba",10988000,"CUB"
"Cyprus",925000,"CYP"
"Czechia",7887101,"CZE"
"Denmark",4292000,"DNK"
"Djibouti",2320000,"DJI"
"Dominica",75000,"DMA"
"Dominican Republic",4867000,"DOM"
"Ecuador",25637000,"ECU"
"Egypt",100145000,"EGY"
"El Salvador",2104000,"SLV"
"Equatorial Guinea",2805000,"GNQ"
"Eritrea",12163032.7,"ERI"
"Estonia",4534000,"EST"
"Eswatini",1736000,"SWZ"
"Ethiopia",113623954.4,"ETH"
"Faroe Islands",1295967,"FRO"
"Fiji",1827000,"FJI"
"Finland",33846000,"FIN"
"France",54908687,"FRA"
"French Polynesia",347100,"PYF"
"Gabon",26767000,"GAB"
"Georgia",6970000,"GEO"
"Germany",35759000,"DEU"
"Ghana",23853000,"GHA"
"Gibraltar",1000,"GIB"
"Greece",13196000,"GRC"
"Greenland",41045000,"GRL"
"Grenada",34000,"GRD"
"Guam",54000,"GUM"
"Guatemala",10889000,"GTM"
"Guinea",24586000,"GIN"
"Guinea-Bissau",3613000,"GNB"
"Guyana",21497000,"GUY"
"Haiti",2775000,"HTI"
"Honduras",11249000,"HND"
"Hungary",9303000,"HUN"
"Iceland",10300000,"ISL"
"India",328726000,"IND"
"Indonesia",191690677,"IDN"
"Iraq",43505200,"IRQ"
"Ireland",7028000,"IRL"
"Isle of Man",57000,"IMN"
"Israel",2207000,"ISR"
"Italy",30206800,"ITA"
"Jamaica",1099000,"JAM"
"Japan",37797400,"JPN"
"Jordan",8931800,"JOR"
"Kazakhstan",272490000,"KAZ"
"Kenya",58037000,"KEN"
"Kiribati",81000,"KIR"
"Korea",10041000,"KOR"
"Kuwait",1782000,"KWT"
"Latvia",6459000,"LVA"
"Lebanon",1045000,"LBN"
"Lesotho",3036000,"LSO"
"Liberia",11137000,"LBR"
"Libya",175954000,"LBY"
"Liechtenstein",16000,"LIE"
"Lithuania",6529000,"LTU"
"Luxembourg",259000,"LUX"
"Madagascar",58729500,"MDG"
"Malawi",11848000,"MWI"
"Malaysia",33024100,"MYS"
"Maldives",30000,"MDV"
"Mali",124019000,"MLI"
"Malta",32000,"MLT"
"Marshall Islands",18000,"MHL"
"Mauritania",103070000,"MRT"
"Mauritius",204000,"MUS"
"Mexico",196437500,"MEX"
"Monaco",7492,"MCO"
"Mongolia",156411574.9,"MNG"
"Montenegro",1381000,"MNE"
"Morocco",44655000,"MAR"
"Mozambique",79938000,"MOZ"
"Myanmar",67659000,"MMR"
"Namibia",82429000,"NAM"
"Nauru",2000,"NRU"
"Nepal",14718000,"NPL"
"Netherlands",4154000,"NLD"
"New Caledonia",1858000,"NCL"
"New Zealand",26771000,"NZL"
"Nicaragua",13037000,"NIC"
"Niger",126700000,"NER"
"Nigeria",92377000,"NGA"
"North Macedonia",2571000,"MKD"
"Northern Mariana Islands",46000,"MNP"
"Norway",62449900,"NOR"
"Oman",30950000,"OMN"
"Pakistan",79610000,"PAK"
"Palau",46000,"PLW"
"Panama",7532000,"PAN"
"Papua New Guinea",46284000,"PNG"
"Paraguay",40675200,"PRY"
"Peru",128522000,"PER"
"Philippines",3e+07,"PHL"
"Poland",31271000,"POL"
"Portugal",9223000,"PRT"
"Puerto Rico",887000,"PRI"
"Qatar",1149000,"QAT"
"Romania",23840000,"ROU"
"Russian Federation",1709825000,"RUS"
"Rwanda",2634000,"RWA"
"Samoa",284000,"WSM"
"San Marino",6000,"SMR"
"Sao Tome and Principe",96000,"STP"
"Saudi Arabia",214969000,"SAU"
"Senegal",19671000,"SEN"
"Serbia",8499000,"SRB"
"Seychelles",46000,"SYC"
"Sierra Leone",7230000,"SLE"
"Singapore",72800,"SGP"
"Sint Maarten (Dutch part)",3400,"SXM"
"Slovenia",2048000,"SVN"
"Solomon Islands",2890000,"SLB"
"Somalia",63766000,"SOM"
"South Africa",121909000,"ZAF"
"South Sudan",64688300,"SSD"
"Spain",50596989.1,"ESP"
"Sri Lanka",6561000,"LKA"
"Sudan",187800000,"SDN"
"Suriname",16382000,"SUR"
"Sweden",52886070.4,"SWE"
"Switzerland",4129039,"CHE"
"Syrian Arab Republic",18518000,"SYR"
"Tajikistan",14138000,"TJK"
"Thailand",51312000,"THA"
"Timor-Leste",1487000,"TLS"
"Togo",5679000,"TGO"
"Tonga",75000,"TON"
"Trinidad and Tobago",513000,"TTO"
"Tunisia",16361000,"TUN"
"Turkey",78535000,"TUR"
"Turkmenistan",48810000,"TKM"
"Turks and Caicos Islands",95000,"TCA"
"Tuvalu",3000,"TUV"
"Uganda",24155000,"UGA"
"Ukraine",60355000,"UKR"
"United Arab Emirates",9864790,"ARE"
"United Kingdom",24361000,"GBR"
"United States",983151000,"USA"
