"iso_code3","Year","gdp_mmm_usd","Nation"
"ABW",2010,3.186183441,"Aruba"
"ABW",2011,3.3934250018,"Aruba"
"ABW",2012,3.6006665626,"Aruba"
"ABW",2013,3.8079081234,"Aruba"
"ABW",2014,4.0151496842,"Aruba"
"AFG",2010,32.6529695,"Afghanistan"
"AFG",2011,35.369177504,"Afghanistan"
"AFG",2012,38.085385508,"Afghanistan"
"AFG",2014,43.517801516,"Afghanistan"
"AFG",2013,40.801593512,"Afghanistan"
"AGO",2010,125.4085252,"Angola"
"AGO",2011,134.44145848,"Angola"
"AGO",2013,152.50732504,"Angola"
"AGO",2014,161.54025832,"Angola"
"AGO",2012,143.47439176,"Angola"
"ALB",2010,20.45424303,"Albania"
"ALB",2011,21.159910106,"Albania"
"ALB",2012,21.865577182,"Albania"
"ALB",2013,22.571244258,"Albania"
"ALB",2014,23.276911334,"Albania"
"ARE",2010,382.2691949,"United Arab Emirates"
"ARE",2012,412.03059678,"United Arab Emirates"
"ARE",2013,426.91129772,"United Arab Emirates"
"ARE",2014,441.79199866,"United Arab Emirates"
"ARE",2011,397.14989584,"United Arab Emirates"
"ARG",2011,579.43003814,"Argentina"
"ARG",2012,599.33317778,"Argentina"
"ARG",2013,619.23631742,"Argentina"
"ARG",2010,559.5268985,"Argentina"
"ARG",2014,639.13945706,"Argentina"
"ARM",2010,14.57687474,"Armenia"
"ARM",2011,15.229412106,"Armenia"
"ARM",2012,15.881949472,"Armenia"
"ARM",2014,17.187024204,"Armenia"
"ARM",2013,16.534486838,"Armenia"
"AUS",2010,828.4609968,"Australia"
"AUS",2011,861.79223694,"Australia"
"AUS",2012,895.12347708,"Australia"
"AUS",2014,961.78595736,"Australia"
"AUS",2013,928.45471722,"Australia"
"AUT",2010,303.5474064,"Austria"
"AUT",2011,310.97406008,"Austria"
"AUT",2012,318.40071376,"Austria"
"AUT",2013,325.82736744,"Austria"
"AUT",2014,333.25402112,"Austria"
"AZE",2013,100.086886024,"Azerbaijan"
"AZE",2012,95.026319836,"Azerbaijan"
"AZE",2010,84.90518746,"Azerbaijan"
