Year,Nation,iso_code3,population_gnrl_urban
2021,Aruba,ABW,55440.12493048
2022,Aruba,ABW,56148.25855386
2023,Aruba,ABW,56856.39217724
2024,Aruba,ABW,57564.52580062
2025,Aruba,ABW,58272.659424
2026,Aruba,ABW,58932.834305832
2027,Aruba,ABW,59593.00918766401
2028,Aruba,ABW,60253.184069496
2029,Aruba,ABW,60913.358951327995
2030,Aruba,ABW,61573.53383316
2031,Aruba,ABW,62175.653079516
2032,Aruba,ABW,62777.772325872
2033,Aruba,ABW,63379.891572228
2034,Aruba,ABW,63982.01081858401
2035,Aruba,ABW,64584.13006494
2036,Aruba,ABW,65146.160761326
2037,Aruba,ABW,65708.191457712
2038,Aruba,ABW,66270.222154098
2039,Aruba,ABW,66832.252850484
2040,Aruba,ABW,67394.28354687
2041,Aruba,ABW,67908.923790912
2042,Aruba,ABW,68423.564034954
2043,Aruba,ABW,68938.204278996
2044,Aruba,ABW,69452.844523038
2045,Aruba,ABW,69967.48476708
2046,Aruba,ABW,70439.259620364
2047,Aruba,ABW,70911.034473648
2048,Aruba,ABW,71382.80932693201
2049,Aruba,ABW,71854.584180216
2050,Aruba,ABW,72326.3590335
2021,Afghanistan,AFG,10953783.125805499
2022,Afghanistan,AFG,11340452.8579742
2023,Afghanistan,AFG,11727122.590142999
2024,Afghanistan,AFG,12113792.3223117
2025,Afghanistan,AFG,12500462.0544804
2026,Afghanistan,AFG,12935498.261256501
2027,Afghanistan,AFG,13370534.468032598
2028,Afghanistan,AFG,13805570.674808599
2029,Afghanistan,AFG,14240606.881584698
2030,Afghanistan,AFG,14675643.0883608
2031,Afghanistan,AFG,15149885.8673471
2032,Afghanistan,AFG,15624128.646333499
2033,Afghanistan,AFG,16098371.4253198
2034,Afghanistan,AFG,16572614.204306198
2035,Afghanistan,AFG,17046856.983292498
2036,Afghanistan,AFG,17549826.5979837
2037,Afghanistan,AFG,18052796.2126749
2038,Afghanistan,AFG,18555765.827366002
2039,Afghanistan,AFG,19058735.4420572
2040,Afghanistan,AFG,19561705.056748398
2041,Afghanistan,AFG,20087196.7427459
2042,Afghanistan,AFG,20612688.428743303
2043,Afghanistan,AFG,21138180.114740804
2044,Afghanistan,AFG,21663671.8007382
2045,Afghanistan,AFG,22189163.486735698
2046,Afghanistan,AFG,22730660.153823398
2047,Afghanistan,AFG,23272156.8209112
2048,Afghanistan,AFG,23813653.4879989
2049,Afghanistan,AFG,24355150.1550867
2050,Afghanistan,AFG,24896646.8221744
2021,Angola,AGO,17508050.4126086
2022,Angola,AGO,18150033.164274696
2023,Angola,AGO,18792015.915940803
2024,Angola,AGO,19433998.667606898
2025,Angola,AGO,20075981.419273
2026,Angola,AGO,20759866.8226469
2027,Angola,AGO,21443752.2260207
2028,Angola,AGO,22127637.629394602
2029,Angola,AGO,22811523.0327684
2030,Angola,AGO,23495408.4361423
2031,Angola,AGO,24208852.604491502
2032,Angola,AGO,24922296.7728406
2033,Angola,AGO,25635740.9411898
2034,Angola,AGO,26349185.109538898
2035,Angola,AGO,27062629.2778881
2036,Angola,AGO,27808900.7965891
2037,Angola,AGO,28555172.3152901
2038,Angola,AGO,29301443.8339912
2039,Angola,AGO,30047715.352692198
2040,Angola,AGO,30793986.8713932
2041,Angola,AGO,31560310.3059857
2042,Angola,AGO,32326633.7405781
2043,Angola,AGO,33092957.1751706
2044,Angola,AGO,33859280.609763004
2045,Angola,AGO,34625604.0443555
2046,Angola,AGO,35406952.7547219
2047,Angola,AGO,36188301.4650882
2048,Angola,AGO,36969650.1754546
2049,Angola,AGO,37750998.885821
2050,Angola,AGO,38532347.5961874
2021,Albania,ALB,2066216.97672292
2022,Albania,ALB,2100910.60787144
2023,Albania,ALB,2135604.23901995
2024,Albania,ALB,2170297.87016847
2025,Albania,ALB,2204991.50131699
2026,Albania,ALB,2238178.66399858
2027,Albania,ALB,2271365.82668016
2028,Albania,ALB,2304552.98936175
2029,Albania,ALB,2337740.15204333
2030,Albania,ALB,2370927.31472492
2031,Albania,ALB,2402039.70869831
2032,Albania,ALB,2433152.10267169
2033,Albania,ALB,2464264.49664508
2034,Albania,ALB,2495376.89061846
2035,Albania,ALB,2526489.28459185
2036,Albania,ALB,2555286.44875674
2037,Albania,ALB,2584083.61292164
2038,Albania,ALB,2612880.77708653
2039,Albania,ALB,2641677.94125143
2040,Albania,ALB,2670475.10541632
2041,Albania,ALB,2696872.44027668
2042,Albania,ALB,2723269.77513705
2043,Albania,ALB,2749667.10999741
2044,Albania,ALB,2776064.44485778
2045,Albania,ALB,2802461.77971814
2046,Albania,ALB,2826421.53878761
