Year,iso_code3,frac_waso_compost_food,frac_waso_compost_methane_flared,frac_waso_compost_sludge,frac_waso_compost_yard,frac_waso_initial_composition_ind_chemical_industrial,frac_waso_initial_composition_ind_food,frac_waso_initial_composition_ind_glass,frac_waso_initial_composition_ind_metal,frac_waso_initial_composition_ind_nappies,frac_waso_initial_composition_ind_other,frac_waso_initial_composition_ind_paper,frac_waso_initial_composition_ind_plastic,frac_waso_initial_composition_ind_rubber_leather,frac_waso_initial_composition_ind_sludge,frac_waso_initial_composition_ind_textiles,frac_waso_initial_composition_ind_wood,frac_waso_initial_composition_ind_yard,frac_waso_initial_composition_mun_chemical_industrial,frac_waso_initial_composition_mun_food,frac_waso_initial_composition_mun_glass,frac_waso_initial_composition_mun_metal,frac_waso_initial_composition_mun_nappies,frac_waso_initial_composition_mun_other,frac_waso_initial_composition_mun_paper,frac_waso_initial_composition_mun_plastic,frac_waso_initial_composition_mun_rubber_leather,frac_waso_initial_composition_mun_sludge,frac_waso_initial_composition_mun_textiles,frac_waso_initial_composition_mun_wood,frac_waso_initial_composition_mun_yard,frac_waso_isw_incinerated_recovered_for_energy,frac_waso_landfill_gas_recovered,frac_waso_msw_incinerated_recovered_for_energy,frac_waso_non_recycled_incinerated,frac_waso_non_recycled_landfilled,frac_waso_non_recycled_open_dump,frac_waso_recycled_glass,frac_waso_recycled_metal,frac_waso_recycled_paper,frac_waso_recycled_plastic,frac_waso_recycled_rubber_leather,frac_waso_recycled_textiles,frac_waso_recycled_wood
2021,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2022,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2023,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2024,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2025,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2026,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2027,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2028,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2029,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2030,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2031,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2032,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2033,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2034,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2035,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2036,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2037,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2038,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2039,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2040,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2041,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2042,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2043,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2044,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2045,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2046,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2047,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2048,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2049,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2050,IRN,0.03,0.03,0.03,0.03,0.882242578527266,0,0,0,0,0.117757421472734,0,0,0,0,0,0,0,0.01,0.729,0.019,0.023,0.01,0.01,0.073,0.085,0.011,0.01,0.01,0.013,0.115857006874032,0.0431010761323323,0.491077744071839,0.0431010761323323,0.0048543689320388,0.1213592233009708,0.8737864077669903,0.05,0.05,0.05,0.05,0.05,0.05,0.05
