Year,iso_code3,ef_ippu_tonne_c2f6_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c2f6_per_tonne_production_chemicals,ef_ippu_tonne_c2f6_per_tonne_production_electronics,ef_ippu_tonne_c2f6_per_tonne_production_metals,ef_ippu_tonne_c2h3f3_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_c2h3f3_per_tonne_production_chemicals,ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_c2hf5_per_tonne_production_chemicals,ef_ippu_tonne_c3f8_per_tonne_production_chemicals,ef_ippu_tonne_c3f8_per_tonne_production_electronics,ef_ippu_tonne_c3h2f6_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c3h2f6_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_c3h3f5_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c3h3f5_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_c3hf7_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c3hf7_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_c3hf7_per_tonne_production_chemicals,ef_ippu_tonne_c4f10_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c4f10_per_tonne_production_chemicals,ef_ippu_tonne_c4h5f5_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c4h5f5_per_tonne_production_chemicals,ef_ippu_tonne_c5f12_per_tonne_production_chemicals,ef_ippu_tonne_c5h2f10_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c6f14_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c6f14_per_tonne_production_chemicals,ef_ippu_tonne_cc4f8_per_tonne_production_chemicals,ef_ippu_tonne_cc4f8_per_tonne_production_electronics,ef_ippu_tonne_cf4_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_cf4_per_tonne_production_chemicals,ef_ippu_tonne_cf4_per_tonne_production_electronics,ef_ippu_tonne_cf4_per_tonne_production_metals,ef_ippu_tonne_ch2f2_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_ch2f2_per_tonne_production_chemicals,ef_ippu_tonne_ch2f2_per_tonne_production_electronics,ef_ippu_tonne_ch3chf2_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_ch3chf2_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_ch3chf2_per_tonne_production_chemicals,ef_ippu_tonne_ch3f_per_tonne_production_electronics,ef_ippu_tonne_chf2cf3_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_chf2cf3_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_chf2cf3_per_tonne_production_chemicals,ef_ippu_tonne_chf3_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_chf3_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_chf3_per_tonne_production_chemicals,ef_ippu_tonne_chf3_per_tonne_production_electronics,ef_ippu_tonne_nf3_per_tonne_production_chemicals,ef_ippu_tonne_nf3_per_tonne_production_electronics,ef_ippu_tonne_sf6_per_mmm_gdp_other_product_manufacturing,ef_ippu_tonne_sf6_per_tonne_production_chemicals,ef_ippu_tonne_sf6_per_tonne_production_electronics,ef_ippu_tonne_sf6_per_tonne_production_metals,frac_ippu_cement_clinker,net_imports_cement_clinker_tonne,prodinit_ippu_cement_tonne,prodinit_ippu_chemicals_tonne,prodinit_ippu_electronics_tonne,prodinit_ippu_glass_tonne,prodinit_ippu_lime_and_carbonite_tonne,prodinit_ippu_metals_tonne,prodinit_ippu_mining_tonne,prodinit_ippu_paper_tonne,prodinit_ippu_plastic_tonne,prodinit_ippu_rubber_and_leather_tonne,prodinit_ippu_textiles_tonne
2010,IRN,0.0,0.0,0.0,2.1050703767104245e-07,0.3251427702408992,0.0,0.2275183309039697,0.2275183309039697,0.0,0.0,0.0,0.0,0.0,0.147192649263792,0.147192649263792,0.0,0.0,0.0,0.0,0.0,0.1115387747091724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0271443790091018e-06,0.1525698894177543,0.0,0.0001559868391244,0.0,0.0,0.0,0.0,0.9868075417564504,0.9868075417564504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038249068696912,0.0,3.910569345140343e-06,0.0,0.72,-727411.7,61620000.0,3012383.29976959,756923.030575685,1382000.0,67493.7021979324,13254100.0,81010408.094453,500800.0,2072031.44727482,61878.7139443815,258167.233569829
2011,IRN,0.0,0.0,0.0,9.255809415816445e-08,0.3268877444117644,0.0,0.2134248907156777,0.2134248907156777,0.0,0.0,0.0,0.0,0.0,0.1508590243540185,0.1508590243540185,0.0,0.0,0.0,0.0,0.0,0.1139066501638578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.796705535612912e-07,0.1149880374737753,0.0,7.96203560211549e-05,0.0,0.0,0.0,0.0,0.9778699235797716,0.9778699235797716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037448669711678,0.0,2.5930318322394777e-06,0.0,0.72,-1360459.3,66460000.0,3351190.34665964,1149397.68638669,1391000.0,423088.723240322,14633800.0,76868799.8844571,519500.0,2522427.10935019,64429.6581661472,329278.567568448
2012,IRN,0.0,0.0,0.0,1.4615236205126668e-07,0.328538865628972,0.0,0.2132710829834221,0.2132710829834221,0.0,0.0,0.0,0.0,0.0,0.1543256753227321,0.1543256753227321,0.0,0.0,0.0,0.0,0.0,0.1213021004443475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.830816939883644e-07,0.0834995130218777,0.0,8.854670769539758e-05,0.0,0.0,0.0,0.0,0.9694130121159836,0.9694130121159836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036742067087977,0.0,3.896297064285162e-06,0.0,0.72,-3616475.859714286,70100000.0,2556026.54467429,771245.095130167,1438000.0,50726.6829346967,15321000.0,81291571.9886668,532800.0,1812541.79054484,47952.0609779905,208703.943386145
2013,IRN,0.0,0.0,0.0,1.3900662230808388e-07,0.3301035061939979,0.0,0.2176589789861774,0.2176589789861774,0.0,0.0,0.0,0.0,0.0,0.1464223713705782,0.1464223713705782,0.0,0.0,0.0,0.0,0.0,0.1241962484768734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.030809565152266e-06,0.0791743575180574,0.0,9.843962285758282e-05,0.0,0.0,0.0,0.0,0.9613990415712236,0.9613990415712236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036017997610974,0.0,4.47821518488607e-06,0.0,0.72,-2837120.0,71000000.0,2648798.80666525,675492.327883069,1697000.0,257158.456171612,15969199.0,76015230.7080439,559451.0,1938328.53098153,50415.8671914321,262543.999181823
2014,IRN,0.0,0.0,0.0,1.0485969442785285e-07,0.331588289330935,0.0,0.221822919225,0.221822919225,0.0,0.0,0.0,0.0,0.0,0.1518182736820041,0.1518182736820041,0.0,0.0,0.0,0.0,0.0,0.1231439536350273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.145338326897186e-07,0.1028896882015783,0.0,9.936469763616624e-05,0.0,0.0,0.0,0.0,1.088741754094187,1.088741754094187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035355724788918,0.0,3.4144441146285205e-06,0.0,0.72,-3311649.868,66464000.0,2729455.28870173,892426.63752367,1740000.0,236218.038493373,17290113.999999996,77547557.1272749,589940.0,2178987.14285435,66131.2749287867,335932.538723584
2015,IRN,0.0,0.0,0.0,8.81676442011093e-08,0.3329991744695239,0.0,0.2257796223730455,0.2257796223730455,0.0,0.0,0.0,0.0,0.0,0.1615743941938774,0.1615743941938774,0.0,0.0,0.0,0.0,0.0,0.1176790032321918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33281081754115e-07,0.1271533873611312,0.0,0.0001445489997698,0.0,0.0,0.0,0.0,1.26628825388036,1.26628825388036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034734539225916,0.0,3.948650528918899e-06,0.0,0.72,-3173451.0,58214962.75700001,3481403.80987808,777480.807054489,1312357.627,840757.212453809,17737547.768,63131322.8409232,542309.0,2501857.6189292,62753.6517538263,326763.722623763
2016,IRN,0.0,0.0,0.0,7.97214831363262e-08,0.3906730071184023,0.0,0.2516155903748475,0.2516155903748475,0.0,0.0,0.0,0.0,0.0,0.1677973576807739,0.1677973576807739,0.0,0.0,0.0,0.0,0.0,0.1218579433136033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.568975162066164e-07,0.1278195087035352,0.0,0.0001182280184924,0.0,0.0,0.0,0.0,1.4941255219891478,1.4941255219891478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035162378298563,0.0,3.252381701266016e-06,0.0,0.72,-5095130.0,55527134.67,3128775.16795237,950570.553689477,1287067.61,1383967.16160268,19297397.934000004,75330480.5532724,580138.0,2479836.76551328,56754.6827680968,360036.651474579
2017,IRN,0.0,0.0,0.0,6.75655801813966e-08,0.4587774456673963,0.0,0.2764498190290392,0.2764498190290392,0.0,0.0,0.0,0.0,0.0,0.1858845573122886,0.1858845573122886,0.0,0.0,0.0,0.0,0.0,0.1291790415118761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.567354013282249e-07,0.128492646050898,0.0,0.000124951503108,0.0,0.0,0.0,0.0,1.692547742384493,1.692547742384493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035614885789781,0.0,3.463337124126633e-06,0.0,0.72,-6047200.0,55986756.65099999,3364717.6269641,899421.537193127,1481074.4330000002,2125041.88879874,22348786.533000004,81944446.2467574,1007961.4110000002,2619034.74914822,58831.9165842708,326081.811585509
2018,IRN,0.0,0.0,0.0,9.75447977049802e-08,0.5428816592819788,0.0,0.3052915830431094,0.3052915830431094,0.0,0.0,0.0,0.0,0.0,0.1976337643049704,0.1976337643049704,0.0,0.0,0.0,0.0,0.0,0.1406359555811563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.037602737132051e-07,0.1291729108354591,0.0,0.0001986390772273,0.0,0.0,0.0,0.0,1.945772166554108,1.945772166554108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036045908944287,0.0,5.5430554627937545e-06,0.0,0.72,-6253230.0,56905760.07600001,2165273.41308709,565770.212833642,1671129.059,466726.169185552,24539730.955,47502600.5039337,996085.37,1656345.73754551,33725.3669899043,180717.778586548
2019,IRN,0.0,0.0,0.0,2.0148012681480105e-07,0.5457710763426316,0.0,0.3069164578080537,0.3069164578080537,0.0,0.0,0.0,0.0,0.0,0.1986856443244558,0.1986856443244558,0.0,0.0,0.0,0.0,0.0,0.1413844721730316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6601780122240077e-06,0.1298604168617923,0.0,0.0002500248420126,0.0,0.0,0.0,0.0,1.956128285973616,1.956128285973616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036494727982663,0.0,7.0264587305862285e-06,0.0,0.72,-3616475.859714286,61665375.218,2124411.0309173,449491.626893221,1838783.232,300495.797464431,26982009.819,65583554.3999577,1029541.2829999998,1796201.46345378,29652.4215543009,118746.179801681
